icl_example_index,token_role,layer,target_mode,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,train_r2,test_mse_fv,test_r2_fv,test_r2_fv_testmean_baseline,test_mse_pp,test_r2_pp,test_r2_pp_testmean_baseline
5,pre_label_token,0,perprompt,0.1,0.604552149772644,True,3400,1190,0.5626044273376465,0.0,0.3455448278859884,-0.03815165559923428,-0.23616634560151195,0.726439096146271,-5.143666270690517e-08,-0.0936764862374746
5,pre_label_token,1,perprompt,100000.0,0.5111973285675049,False,3400,1190,0.2631474435329437,0.532269156184553,0.29938856333243746,0.10051979480475015,-0.07104501755603643,0.6681974715545398,0.0801740855232771,-0.005991922350206957
5,pre_label_token,2,perprompt,10000.0,0.5054954290390015,False,3400,1190,0.18894171714782715,0.6641659610786639,0.3095238437171744,0.07006945301914314,-0.10730338840620246,0.6701821655786337,0.07744199946581032,-0.008979940475941861
5,pre_label_token,3,perprompt,10000.0,0.48562896251678467,False,3400,1190,0.1799861192703247,0.6800840687975849,0.30086228346624294,0.09609216379038898,-0.07631716485857631,0.6585205879531989,0.09349507024233061,0.008576924661177765
5,pre_label_token,4,perprompt,10000.0,0.44036561250686646,False,3400,1190,0.16733478009700775,0.702571163741337,0.2859618579640108,0.14085886308932705,-0.023011766963634273,0.6359405581690684,0.12457824165388875,0.04257185660310192
5,pre_label_token,5,perprompt,10000.0,0.42672526836395264,False,3400,1190,0.15959309041500092,0.7163316130123141,0.263112948121143,0.20950591455044,0.05872886725229942,0.6056330191988905,0.1662989319221807,0.0882007921921294
5,pre_label_token,6,perprompt,10000.0,0.4119448959827423,False,3400,1190,0.15765276551246643,0.7197804392359477,0.25893134910519383,0.22206907160308176,0.07368829236058749,0.598662002948152,0.175895079274774,0.09869587237029875
5,pre_label_token,7,perprompt,10000.0,0.39755377173423767,False,3400,1190,0.15462462604045868,0.7251627990697256,0.24770565834365973,0.25579543214689193,0.11384754234975791,0.5824625512131122,0.19819488755081938,0.12308464707493616
5,pre_label_token,8,perprompt,10000.0,0.39235347509384155,False,3400,1190,0.15285047888755798,0.7283162530183487,0.23912413300586347,0.281577686772157,0.14454744569199673,0.5726134099880187,0.21175299831874161,0.1379128332569034
5,pre_label_token,9,perprompt,10000.0,0.3675830066204071,False,3400,1190,0.14989012479782104,0.733578127873735,0.20601404013753938,0.381053340737484,0.26299686006745215,0.5294998970352301,0.2711021101701262,0.20282155802915236
5,pre_label_token,10,perprompt,10000.0,0.36121588945388794,False,3400,1190,0.15027190744876862,0.732899529141844,0.19747598071058256,0.40670500678593213,0.293541266664191,0.5177498088163488,0.2872770226791037,0.22051167859724874
5,pre_label_token,11,perprompt,10000.0,0.36004096269607544,False,3400,1190,0.14913076162338257,0.734927856275326,0.19634985082289752,0.4100883409092423,0.2975699302574182,0.5154849525259323,0.2903947739385392,0.2239214896642413
5,pre_label_token,12,perprompt,10000.0,0.3606192171573639,False,3400,1190,0.14773942530155182,0.7374008839555645,0.1932445373855719,0.4194179156154736,0.3086790068633416,0.5126612078241941,0.2942818786689454,0.2281727244887597
5,pre_label_token,13,perprompt,10000.0,0.35775813460350037,False,3400,1190,0.14643266797065735,0.7397235768946839,0.1883399915294487,0.4341530874067777,0.32622473187068945,0.5098277292331728,0.29818238285683607,0.23243861398410337
5,pre_label_token,14,perprompt,10000.0,0.36304205656051636,False,3400,1190,0.14504453539848328,0.7421909100771528,0.19372749168331885,0.4179669322311985,0.30695126620233726,0.5175793719892742,0.28751164225938997,0.2207682765022202
5,pre_label_token,15,perprompt,10000.0,0.3655128479003906,False,3400,1190,0.1440614014863968,0.7439383792834278,0.19600504867169036,0.41112426127395985,0.2988034397207806,0.5210058324477251,0.28279485230015744,0.2156096344986299
5,pre_label_token,16,perprompt,10000.0,0.3646123707294464,False,3400,1190,0.14361077547073364,0.7447393435022761,0.18963632022633273,0.43025840956973893,0.32158719202461694,0.5139980252049551,0.2924416453216294,0.22616010465113268
5,pre_label_token,17,perprompt,10000.0,0.37010112404823303,False,3400,1190,0.14379866421222687,0.7444053810726124,0.19497723298914293,0.4142122211170154,0.302480390014089,0.5225017643776261,0.28073558537085463,0.2133574627950091
5,pre_label_token,18,perprompt,10000.0,0.37395715713500977,False,3400,1190,0.14241154491901398,0.7468709132046238,0.1978898729596819,0.4054615127759915,0.2920605914297443,0.5281467598025539,0.2729648090659531,0.20485874790767256
5,pre_label_token,19,perprompt,10000.0,0.3792001008987427,False,3400,1190,0.1416545808315277,0.7482163773543967,0.20207721245389024,0.3928811090840493,0.2770806300973284,0.5341483492811187,0.26470315324497007,0.19582316966363633
5,pre_label_token,20,perprompt,10000.0,0.38739198446273804,False,3400,1190,0.14186348021030426,0.7478450696137785,0.2059939889346852,0.3811135823841819,0.2630685920690822,0.5402077234091879,0.25636195234886194,0.1867005948458148
5,pre_label_token,21,perprompt,10000.0,0.39173561334609985,False,3400,1190,0.14118650555610657,0.7490483567215627,0.20829294108543076,0.3742066320008083,0.2548442256495751,0.5441660456296776,0.25091301320848336,0.18074121853957426
