family,n_nat,n_alt,tok_nat,tok_alt,ratio_L4,ratio_L8,ratio_L12,ratio_L16,ratio_L20,ratio_L24,cos_L4,cos_L8,cos_L12,cos_L16,cos_L20,cos_L24,read_write_cos_L4,read_write_cos_L8,read_write_cos_L12,read_write_cos_L16,read_write_cos_L20,read_write_cos_L24
sql_bool_case,289,293,3.6,3.6,0.567,0.469,0.401,0.329,0.279,0.274,0.998,0.997,0.998,0.998,0.997,0.998,0.052,0.03,0.047,0.019,0.046,-0.028
py_indent,283,279,8.1,8.2,0.367,0.344,0.262,0.218,0.167,0.136,0.995,0.996,0.992,0.988,0.981,0.973,0.131,0.203,0.22,0.2,0.261,0.068
py2_except,275,274,3.5,3.5,0.805,0.818,0.609,0.651,0.54,0.383,1.0,1.0,1.0,1.0,0.999,0.999,-0.007,0.099,0.135,0.186,0.061,-0.025
py_tabs,275,277,16.1,13.5,0.324,0.287,0.242,0.215,0.184,0.192,0.993,0.992,0.989,0.985,0.982,0.982,0.154,0.213,0.163,0.117,0.15,0.122
py_self_name,293,278,11.7,11.6,0.881,0.939,0.82,0.68,0.54,0.512,1.0,0.999,0.999,0.999,0.999,0.999,0.036,-0.007,-0.012,0.037,0.075,0.029
sql_keyword_case,282,262,4.6,4.6,0.389,0.431,0.395,0.353,0.328,0.319,0.997,0.997,0.997,0.997,0.996,0.997,0.186,0.394,0.455,0.429,0.54,0.315
py_builtin_generics,240,237,5.4,13.1,0.712,0.617,0.568,0.522,0.488,0.433,0.998,0.996,0.995,0.995,0.994,0.994,0.042,0.085,0.038,0.031,0.138,0.134
docstring_style,289,268,167.8,198.2,0.146,0.16,0.136,0.12,0.116,0.114,0.996,0.995,0.989,0.988,0.988,0.99,0.264,0.341,0.319,0.384,0.472,0.247
docstring_quotes,257,259,7.0,7.0,0.55,0.457,0.367,0.31,0.225,0.211,0.999,0.998,0.996,0.994,0.99,0.99,-0.064,-0.103,-0.148,-0.108,0.061,0.073
js_camel_snake,251,235,13.1,13.4,0.328,0.301,0.274,0.231,0.213,0.248,0.986,0.986,0.984,0.985,0.987,0.991,0.072,0.354,0.349,0.293,0.453,0.594
py_class_naming,274,232,9.1,9.5,0.358,0.325,0.306,0.296,0.261,0.255,0.986,0.98,0.982,0.988,0.989,0.99,0.124,0.288,0.435,0.412,0.439,0.491
py_fstring,245,246,23.1,24.2,0.409,0.445,0.382,0.315,0.281,0.285,0.993,0.993,0.992,0.99,0.989,0.991,0.033,0.029,-0.189,-0.213,-0.203,-0.138
py_type_hints,225,236,14.6,3.5,0.607,0.705,0.613,0.575,0.574,0.571,0.987,0.987,0.986,0.987,0.988,0.987,0.08,0.055,0.128,0.166,0.168,0.175
py_is_none,253,226,4.2,3.5,0.801,0.909,0.847,0.794,0.7,0.613,0.999,0.999,0.998,0.997,0.996,0.997,0.009,0.084,0.055,0.018,0.093,0.121
py_quotes,230,219,8.8,8.9,0.427,0.451,0.371,0.3,0.219,0.184,0.995,0.993,0.99,0.985,0.974,0.971,0.114,0.348,0.344,0.31,0.265,0.166
sql_join_style,266,221,20.9,18.3,0.45,0.506,0.398,0.342,0.277,0.205,0.997,0.997,0.996,0.994,0.992,0.988,0.086,0.075,0.099,0.067,0.081,-0.037
c_comment_style,241,215,6.3,8.3,0.652,0.612,0.523,0.43,0.357,0.304,0.987,0.986,0.983,0.978,0.969,0.968,-0.101,-0.135,-0.121,-0.124,-0.004,-0.036
py_snake_camel,248,227,22.1,20.1,0.346,0.255,0.239,0.205,0.208,0.256,0.981,0.972,0.968,0.968,0.974,0.983,0.116,0.403,0.389,0.337,0.51,0.613
js_arrow,230,224,11.6,20.3,0.49,0.468,0.37,0.301,0.27,0.254,0.995,0.993,0.99,0.988,0.987,0.984,-0.0,0.101,0.126,0.112,0.1,-0.006
js_hungarian,264,212,6.4,13.1,0.421,0.496,0.45,0.383,0.34,0.263,0.975,0.977,0.973,0.976,0.979,0.966,0.034,0.104,0.104,0.088,0.114,0.032
bash_test,245,225,8.0,9.2,0.546,0.589,0.484,0.409,0.331,0.35,0.999,0.999,0.997,0.996,0.994,0.994,0.015,0.038,0.03,0.012,0.042,-0.005
js_quotes,213,224,8.3,8.4,0.412,0.439,0.349,0.274,0.212,0.182,0.992,0.989,0.983,0.977,0.962,0.966,0.21,0.458,0.419,0.352,0.287,0.145
hex_constants,274,201,7.5,11.3,0.676,0.848,0.735,0.625,0.619,0.668,0.995,0.991,0.986,0.981,0.984,0.986,-0.04,-0.046,-0.041,-0.037,0.195,0.302
r_assignment,246,193,3.5,3.5,0.728,0.661,0.54,0.457,0.372,0.307,0.998,0.998,0.998,0.997,0.995,0.991,0.042,0.041,0.024,0.012,0.092,-0.015
js_template,230,208,17.0,23.1,0.568,0.569,0.47,0.378,0.333,0.31,0.997,0.996,0.995,0.993,0.99,0.991,0.04,0.015,-0.008,0.001,0.005,0.134
py_enumerate,205,210,15.2,29.5,0.465,0.454,0.401,0.356,0.311,0.271,0.994,0.991,0.987,0.983,0.979,0.974,0.079,0.097,0.206,0.19,0.181,0.015
trailing_commas,237,208,4.1,3.6,0.411,0.562,0.484,0.411,0.421,0.319,0.973,0.965,0.96,0.951,0.954,0.942,0.01,0.04,0.063,0.039,0.117,0.072
operator_spaces,230,175,9.1,5.8,0.46,0.555,0.504,0.459,0.422,0.363,0.986,0.988,0.985,0.985,0.984,0.978,0.035,0.2,0.261,0.249,0.43,0.271
num_separators,225,194,14.8,4.7,0.944,1.441,1.16,0.98,0.825,0.771,0.998,0.997,0.996,0.994,0.993,0.992,0.022,-0.082,-0.106,-0.086,-0.054,-0.156
py2_print,213,207,11.9,16.8,0.388,0.447,0.375,0.311,0.289,0.294,0.996,0.996,0.995,0.993,0.99,0.993,0.08,0.174,0.22,0.238,0.288,0.076
js_func_pascal,178,196,3.8,4.1,0.415,0.465,0.414,0.36,0.297,0.259,0.976,0.975,0.967,0.967,0.958,0.944,0.046,0.206,0.267,0.23,0.3,0.145
