set,metric,n_fam,before,after
55 pool families,sampling k=0,55,0.275,0.285
55 pool families,sampling k=4,55,0.726,0.719
55 pool families,write: unsteered 0-shot,55,0.275,0.281
55 pool families,write: L24 a2,55,0.508,0.543
55 pool families,read: unsteered k=3 wrong,55,0.061,0.062
55 pool families,read: L8 a4,55,0.569,0.581
55 pool families,read: real 3-shot,55,0.713,0.711
48 changed pool families,sampling k=0,48,0.277,0.288
48 changed pool families,sampling k=4,48,0.734,0.726
48 changed pool families,write: unsteered 0-shot,48,0.275,0.282
48 changed pool families,write: L24 a2,48,0.508,0.548
48 changed pool families,read: unsteered k=3 wrong,48,0.057,0.058
48 changed pool families,read: L8 a4,48,0.583,0.597
48 changed pool families,read: real 3-shot,48,0.723,0.721
7 untouched pool families,sampling k=0,7,0.261,0.261
7 untouched pool families,sampling k=4,7,0.67,0.67
7 untouched pool families,write: unsteered 0-shot,7,0.275,0.275
7 untouched pool families,write: L24 a2,7,0.507,0.507
7 untouched pool families,read: unsteered k=3 wrong,7,0.088,0.088
7 untouched pool families,read: L8 a4,7,0.473,0.473
7 untouched pool families,read: real 3-shot,7,0.645,0.645
