family,style,unscorable_pooled,unscorable_k0,unscorable_k1,unscorable_k2,unscorable_k3,unscorable_k4
py_snake_camel,nat,0.114,0.155,0.13,0.075,0.11,0.1
py_snake_camel,alt,0.128,0.205,0.125,0.09,0.12,0.1
js_camel_snake,nat,0.174,0.345,0.21,0.13,0.11,0.075
js_camel_snake,alt,0.18,0.285,0.245,0.145,0.12,0.105
js_func_pascal,nat,0.355,0.515,0.39,0.31,0.325,0.235
js_func_pascal,alt,0.25,0.595,0.27,0.135,0.145,0.105
py_const_naming,nat,0.424,0.965,0.395,0.29,0.29,0.18
py_const_naming,alt,0.418,0.95,0.375,0.33,0.22,0.215
py_class_naming,nat,0.045,0.03,0.08,0.04,0.04,0.035
py_class_naming,alt,0.126,0.03,0.265,0.105,0.125,0.105
py_private,nat,0.51,0.47,0.485,0.515,0.58,0.5
py_private,alt,0.503,0.465,0.47,0.545,0.545,0.49
py_bool_prefix,nat,0.679,0.925,0.585,0.64,0.645,0.6
py_bool_prefix,alt,0.75,0.9,0.635,0.75,0.72,0.745
py_loop_vars,nat,0.021,0.05,0.03,0.005,0.015,0.005
py_loop_vars,alt,0.024,0.06,0.015,0.005,0.025,0.015
js_hungarian,nat,0.068,0.19,0.04,0.03,0.045,0.035
js_hungarian,alt,0.059,0.195,0.045,0.03,0.02,0.005
py_abbrev,nat,0.427,0.415,0.365,0.47,0.46,0.425
py_abbrev,alt,0.404,0.385,0.365,0.43,0.395,0.445
py_quotes,nat,0.156,0.365,0.155,0.08,0.1,0.08
py_quotes,alt,0.165,0.34,0.175,0.085,0.115,0.11
js_quotes,nat,0.208,0.315,0.23,0.17,0.18,0.145
js_quotes,alt,0.202,0.275,0.17,0.19,0.225,0.15
py_fstring,nat,0.246,0.695,0.175,0.09,0.14,0.13
py_fstring,alt,0.268,0.625,0.255,0.125,0.165,0.17
js_template,nat,0.268,0.63,0.18,0.185,0.2,0.145
js_template,alt,0.319,0.625,0.24,0.26,0.24,0.23
num_separators,nat,0.184,0.38,0.13,0.145,0.135,0.13
num_separators,alt,0.177,0.33,0.195,0.13,0.125,0.105
hex_constants,nat,0.016,0.045,0.01,0.015,0.01,0.0
hex_constants,alt,0.011,0.01,0.015,0.005,0.015,0.01
float_literals,nat,0.208,0.375,0.195,0.175,0.165,0.13
float_literals,alt,0.239,0.34,0.25,0.195,0.225,0.185
sql_bool_case,nat,0.06,0.195,0.025,0.02,0.025,0.035
sql_bool_case,alt,0.057,0.17,0.02,0.035,0.035,0.025
py2_print,nat,0.375,0.71,0.395,0.235,0.26,0.275
py2_print,alt,0.375,0.685,0.345,0.29,0.255,0.3
py2_iter,nat,0.138,0.195,0.145,0.125,0.12,0.105
py2_iter,alt,0.132,0.2,0.105,0.12,0.125,0.11
py2_except,nat,0.239,0.83,0.155,0.1,0.08,0.03
py2_except,alt,0.262,0.86,0.265,0.105,0.05,0.03
js_var,nat,0.338,0.48,0.295,0.22,0.28,0.415
js_var,alt,0.356,0.475,0.325,0.27,0.295,0.415
js_arrow,nat,0.077,0.025,0.165,0.065,0.06,0.07
js_arrow,alt,0.068,0.01,0.16,0.08,0.045,0.045
js_semicolons,nat,0.152,0.115,0.18,0.19,0.14,0.135
js_semicolons,alt,0.214,0.075,0.195,0.26,0.255,0.285
js_strict_eq,nat,0.157,0.15,0.11,0.18,0.135,0.21
js_strict_eq,alt,0.152,0.105,0.095,0.2,0.16,0.2
trailing_commas,nat,0.119,0.255,0.125,0.085,0.065,0.065
trailing_commas,alt,0.122,0.23,0.13,0.11,0.05,0.09
py_paren_if,nat,0.24,0.325,0.19,0.255,0.215,0.215
py_paren_if,alt,0.261,0.335,0.245,0.265,0.24,0.22
py_type_hints,nat,0.123,0.145,0.23,0.085,0.085,0.07
py_type_hints,alt,0.216,0.12,0.37,0.215,0.23,0.145
py_optional,nat,0.507,0.825,0.72,0.44,0.285,0.265
py_optional,alt,0.437,0.825,0.435,0.37,0.275,0.28
py_builtin_generics,nat,0.279,0.835,0.33,0.09,0.1,0.04
py_builtin_generics,alt,0.202,0.82,0.07,0.035,0.045,0.04
py_literal_ctor,nat,0.355,0.49,0.4,0.335,0.28,0.27
py_literal_ctor,alt,0.326,0.51,0.375,0.275,0.255,0.215
py_comprehension,nat,0.323,0.44,0.33,0.31,0.26,0.275
py_comprehension,alt,0.335,0.53,0.36,0.235,0.28,0.27
py_not_in,nat,0.267,0.39,0.29,0.225,0.255,0.175
py_not_in,alt,0.279,0.375,0.255,0.285,0.235,0.245
py_is_none,nat,0.158,0.385,0.145,0.11,0.065,0.085
py_is_none,alt,0.201,0.435,0.2,0.13,0.135,0.105
py_ternary,nat,0.535,0.695,0.505,0.455,0.545,0.475
py_ternary,alt,0.526,0.67,0.52,0.48,0.54,0.42
early_return,nat,0.446,0.55,0.48,0.47,0.415,0.315
early_return,alt,0.171,0.535,0.055,0.115,0.08,0.07
py_join_concat,nat,0.251,0.465,0.25,0.21,0.18,0.15
py_join_concat,alt,0.228,0.485,0.205,0.175,0.125,0.15
py_with_open,nat,0.306,0.63,0.17,0.27,0.17,0.29
py_with_open,alt,0.341,0.65,0.23,0.335,0.16,0.33
py_enumerate,nat,0.187,0.33,0.19,0.13,0.11,0.175
py_enumerate,alt,0.122,0.215,0.09,0.11,0.075,0.12
py_self_name,nat,0.0,0.0,0.0,0.0,0.0,0.0
py_self_name,alt,0.011,0.0,0.01,0.02,0.005,0.02
py_indent,nat,0.02,0.09,0.0,0.0,0.005,0.005
py_indent,alt,0.019,0.075,0.005,0.005,0.0,0.01
py_tabs,nat,0.019,0.095,0.0,0.0,0.0,0.0
py_tabs,alt,0.023,0.11,0.0,0.005,0.0,0.0
c_braces,nat,0.09,0.13,0.12,0.055,0.06,0.085
c_braces,alt,0.079,0.14,0.095,0.055,0.035,0.07
operator_spaces,nat,0.151,0.125,0.185,0.155,0.2,0.09
