family,style,k,n,accuracy,ci_lo,ci_hi,style_ok,wrong_style,unscorable,style_ok_but_unfaithful,judge_ok,capped,unjudged
py_snake_camel,nat,0,200,0.715,0.649,0.773,0.815,0.015,0.17,0.1,0.89,0.465,0
py_snake_camel,nat,1,200,0.835,0.777,0.88,0.91,0.005,0.085,0.075,0.92,0.355,0
py_snake_camel,nat,2,200,0.865,0.811,0.906,0.92,0.0,0.08,0.055,0.94,0.36,0
py_snake_camel,nat,3,200,0.805,0.745,0.854,0.875,0.005,0.12,0.07,0.925,0.365,0
py_snake_camel,nat,4,200,0.835,0.777,0.88,0.885,0.0,0.115,0.05,0.935,0.405,0
py_snake_camel,alt,0,200,0.015,0.005,0.043,0.015,0.825,0.16,0.0,0.885,0.505,0
py_snake_camel,alt,1,200,0.63,0.561,0.694,0.675,0.215,0.11,0.045,0.93,0.435,0
py_snake_camel,alt,2,200,0.775,0.712,0.827,0.865,0.065,0.07,0.09,0.905,0.36,0
py_snake_camel,alt,3,200,0.74,0.675,0.796,0.795,0.065,0.14,0.055,0.91,0.325,0
py_snake_camel,alt,4,200,0.75,0.686,0.805,0.835,0.065,0.1,0.085,0.895,0.365,0
js_camel_snake,nat,0,200,0.585,0.516,0.651,0.69,0.025,0.285,0.105,0.86,0.43,0
js_camel_snake,nat,1,200,0.685,0.618,0.745,0.77,0.0,0.23,0.085,0.875,0.345,0
js_camel_snake,nat,2,200,0.795,0.734,0.845,0.89,0.0,0.11,0.095,0.905,0.34,0
js_camel_snake,nat,3,200,0.775,0.712,0.827,0.865,0.0,0.135,0.09,0.9,0.325,0
js_camel_snake,nat,4,200,0.87,0.816,0.91,0.935,0.005,0.06,0.065,0.93,0.295,0
js_camel_snake,alt,0,200,0.01,0.003,0.036,0.015,0.71,0.275,0.005,0.88,0.46,0
js_camel_snake,alt,1,200,0.465,0.397,0.534,0.51,0.28,0.21,0.045,0.905,0.435,0
js_camel_snake,alt,2,200,0.765,0.702,0.818,0.81,0.07,0.12,0.045,0.95,0.345,0
js_camel_snake,alt,3,200,0.785,0.723,0.836,0.82,0.075,0.105,0.035,0.935,0.34,0
js_camel_snake,alt,4,200,0.79,0.728,0.841,0.855,0.055,0.09,0.065,0.905,0.325,0
js_func_pascal,nat,0,200,0.14,0.099,0.195,0.205,0.005,0.79,0.065,0.77,0.52,0
js_func_pascal,nat,1,200,0.325,0.264,0.393,0.375,0.0,0.625,0.05,0.83,0.49,0
js_func_pascal,nat,2,200,0.375,0.311,0.444,0.445,0.0,0.555,0.07,0.86,0.51,0
js_func_pascal,nat,3,200,0.475,0.407,0.544,0.53,0.0,0.47,0.055,0.88,0.52,0
js_func_pascal,nat,4,200,0.505,0.436,0.574,0.53,0.01,0.46,0.025,0.895,0.51,0
js_func_pascal,alt,0,200,0.0,0.0,0.019,0.0,0.245,0.755,0.0,0.835,0.49,0
js_func_pascal,alt,1,200,0.15,0.107,0.206,0.165,0.185,0.65,0.015,0.84,0.505,0
js_func_pascal,alt,2,200,0.32,0.259,0.388,0.35,0.175,0.475,0.03,0.88,0.51,0
js_func_pascal,alt,3,200,0.28,0.222,0.346,0.325,0.245,0.43,0.045,0.82,0.535,0
js_func_pascal,alt,4,200,0.345,0.283,0.413,0.375,0.195,0.43,0.03,0.925,0.6,0
py_const_naming,nat,0,200,0.025,0.011,0.057,0.03,0.005,0.965,0.005,0.75,0.515,0
py_const_naming,nat,1,200,0.59,0.521,0.656,0.65,0.0,0.35,0.06,0.805,0.295,0
py_const_naming,nat,2,200,0.6,0.531,0.665,0.665,0.005,0.33,0.065,0.835,0.21,0
py_const_naming,nat,3,200,0.645,0.577,0.708,0.73,0.005,0.265,0.085,0.83,0.275,0
py_const_naming,nat,4,200,0.69,0.623,0.75,0.8,0.015,0.185,0.11,0.84,0.295,0
py_const_naming,alt,0,200,0.01,0.003,0.036,0.01,0.035,0.955,0.0,0.75,0.5,0
py_const_naming,alt,1,200,0.465,0.397,0.534,0.61,0.015,0.375,0.145,0.68,0.36,0
py_const_naming,alt,2,200,0.505,0.436,0.574,0.64,0.02,0.34,0.135,0.72,0.375,0
py_const_naming,alt,3,200,0.575,0.506,0.641,0.73,0.02,0.25,0.155,0.745,0.35,0
py_const_naming,alt,4,200,0.675,0.607,0.736,0.825,0.01,0.165,0.15,0.79,0.35,0
