family,language,n,k0_nat,k0_alt,k4_nat,k4_alt,min_k4,keep,excluded_by_decision
py2_except,Python,200,0.125,0.005,0.935,0.94,0.935,True,False
js_quotes,JavaScript,200,0.275,0.49,0.905,0.915,0.905,True,False
sql_bool_case,SQL,200,0.4,0.485,0.93,0.9,0.9,True,False
docstring_style,Python,200,0.2,0.06,0.89,0.885,0.885,True,False
js_semicolons,JavaScript,200,0.82,0.1,0.905,0.88,0.88,True,False
py_indent,Python,200,0.68,0.025,0.88,0.905,0.88,True,False
py_self_name,Python,200,0.915,0.0,0.88,0.905,0.88,True,False
py_tabs,Python,200,0.67,0.01,0.89,0.88,0.88,True,False
bash_test,Bash,200,0.45,0.36,0.87,0.88,0.87,True,False
py_const_naming,Python,200,0.095,0.015,0.865,0.865,0.865,True,False
docstring_quotes,Python,200,0.135,0.005,0.89,0.855,0.855,True,False
num_separators,Python,200,0.725,0.035,0.85,0.835,0.835,True,False
py_quotes,Python,200,0.375,0.4,0.83,0.865,0.83,True,False
trailing_commas,Python,200,0.315,0.645,0.955,0.83,0.83,True,False
blank_lines,Python,200,0.05,0.53,0.815,0.85,0.815,True,False
py_optional,Python,200,0.055,0.27,0.83,0.81,0.81,True,False
py_snake_camel,Python,200,0.615,0.025,0.83,0.78,0.78,True,False
js_strict_eq,JavaScript,200,0.71,0.04,0.88,0.775,0.775,True,False
py_builtin_generics,Python,200,0.04,0.075,0.775,0.8,0.775,True,False
js_camel_snake,JavaScript,200,0.485,0.025,0.815,0.77,0.77,True,False
py_literal_ctor,Python,200,0.56,0.055,0.84,0.77,0.77,True,False
py2_print,Python,200,0.49,0.015,0.76,0.76,0.76,True,False
py_is_none,Python,200,0.55,0.015,0.81,0.76,0.76,True,False
sql_keyword_case,SQL,200,0.325,0.03,0.78,0.755,0.755,True,False
js_arrow,JavaScript,200,0.7,0.01,0.815,0.745,0.745,True,False
py_fstring,Python,200,0.34,0.18,0.845,0.745,0.745,True,False
bash_subst,Bash,200,0.605,0.01,0.805,0.735,0.735,True,False
comment_case,Python,200,0.37,0.125,0.805,0.73,0.73,True,False
js_template,JavaScript,200,0.535,0.115,0.765,0.725,0.725,True,False
js_hungarian,JavaScript,200,0.69,0.015,0.85,0.715,0.715,False,True
js_func_pascal,JavaScript,200,0.275,0.015,0.785,0.705,0.705,True,False
py_type_hints,Python,200,0.55,0.13,0.825,0.705,0.705,True,False
php_array,PHP,200,0.44,0.065,0.7,0.805,0.7,True,False
py_class_naming,Python,200,0.825,0.025,0.915,0.7,0.7,True,False
hex_constants,JavaScript,200,0.9,0.045,0.88,0.69,0.69,True,False
py_with_open,Python,200,0.67,0.03,0.8,0.68,0.68,True,False
sql_join_style,SQL,200,0.78,0.02,0.9,0.68,0.68,True,False
py2_iter,Python,200,0.715,0.005,0.82,0.675,0.675,True,False
operator_spaces,Python,200,0.835,0.005,0.905,0.66,0.66,True,False
py_join_concat,Python,200,0.23,0.115,0.66,0.715,0.66,True,False
py_paren_if,Python,200,0.455,0.005,0.73,0.66,0.66,True,False
r_assignment,R,200,0.55,0.135,0.725,0.655,0.655,True,False
py_enumerate,Python,200,0.665,0.105,0.745,0.64,0.64,True,False
line_wrap,Python,200,0.03,0.33,0.625,0.685,0.625,True,False
js_var,JavaScript,200,0.475,0.105,0.67,0.62,0.62,True,False
comma_space,Python,200,0.82,0.005,0.88,0.6,0.6,True,False
rust_question,Rust,200,0.66,0.115,0.835,0.6,0.6,True,False
float_literals,Python,200,0.375,0.205,0.68,0.55,0.55,True,False
py_loop_vars,Python,200,0.25,0.52,0.545,0.815,0.545,True,False
py_comprehension,Python,200,0.27,0.175,0.64,0.515,0.515,True,False
c_comment_style,JavaScript,200,0.185,0.01,0.5,0.53,0.5,True,False
py_private,Python,200,0.1,0.655,0.485,0.59,0.485,True,False
py_not_in,Python,200,0.515,0.035,0.735,0.375,0.375,True,False
comment_language,Python,200,0.16,0.025,0.3,0.3,0.3,True,False
css_shorthand,CSS,200,0.21,0.37,0.61,0.285,0.285,False,False
py_ternary,Python,200,0.045,0.255,0.27,0.485,0.27,False,False
early_return,Python,200,0.36,0.035,0.26,0.825,0.26,False,False
py_bool_prefix,Python,200,0.005,0.07,0.31,0.2,0.2,False,False
c_braces,C,200,0.78,0.015,0.875,0.145,0.145,False,False
py_abbrev,Python,200,0.065,0.3,0.145,0.375,0.145,False,False
