property,direction,layer,alpha,overall,coherent_only,unscorable,incoherent,n
all_caps,alt,2,8.0,0.017,0.018,0.109,0.083,60
all_caps,alt,4,32.0,0.217,0.232,0.054,0.067,60
all_caps,alt,6,32.0,0.45,0.54,0.06,0.167,60
all_caps,alt,8,32.0,0.367,0.478,0.043,0.233,60
all_caps,alt,10,16.0,0.517,0.585,0.094,0.117,60
all_caps,alt,12,16.0,0.333,0.4,0.12,0.167,60
all_caps,alt,16,32.0,0.55,0.943,0.029,0.417,60
all_caps,alt,20,16.0,0.583,0.833,0.071,0.3,60
all_caps,alt,24,32.0,0.35,0.447,0.191,0.217,60
all_caps,nat,2,32.0,0.4,0.585,0.146,0.317,60
all_caps,nat,4,32.0,0.7,0.857,0.041,0.183,60
all_caps,nat,6,32.0,0.967,1.0,0.0,0.033,60
all_caps,nat,8,8.0,0.817,0.831,0.051,0.017,60
all_caps,nat,10,16.0,0.867,0.897,0.052,0.033,60
all_caps,nat,12,16.0,0.867,0.881,0.068,0.017,60
all_caps,nat,16,2.0,0.8,0.814,0.068,0.017,60
all_caps,nat,20,32.0,0.967,0.983,0.017,0.017,60
all_caps,nat,24,16.0,0.983,1.0,0.0,0.017,60
ampersand,alt,2,0.5,0.0,0.0,0.741,0.1,60
ampersand,alt,4,0.5,0.0,0.0,0.648,0.1,60
ampersand,alt,6,0.5,0.0,0.0,0.685,0.1,60
ampersand,alt,8,0.5,0.0,0.0,0.643,0.067,60
ampersand,alt,10,0.5,0.0,0.0,0.625,0.067,60
ampersand,alt,12,32.0,0.483,0.537,0.463,0.1,60
ampersand,alt,16,32.0,0.417,0.472,0.528,0.117,60
ampersand,alt,20,16.0,0.967,1.0,0.0,0.033,60
ampersand,alt,24,16.0,0.967,1.0,0.0,0.033,60
ampersand,nat,2,0.5,0.233,0.255,0.745,0.083,60
ampersand,nat,4,0.5,0.317,0.352,0.648,0.1,60
ampersand,nat,6,0.5,0.283,0.315,0.685,0.1,60
ampersand,nat,8,32.0,0.383,0.418,0.582,0.083,60
ampersand,nat,10,8.0,0.317,0.339,0.661,0.067,60
ampersand,nat,12,32.0,0.733,0.746,0.254,0.017,60
ampersand,nat,16,32.0,0.917,0.932,0.068,0.017,60
ampersand,nat,20,32.0,1.0,1.0,0.0,0.0,60
ampersand,nat,24,32.0,1.0,1.0,0.0,0.0,60
contractions,alt,2,16.0,0.1,0.1,0.833,0.0,60
contractions,alt,4,16.0,0.117,0.117,0.867,0.0,60
contractions,alt,6,0.5,0.117,0.117,0.833,0.0,60
contractions,alt,8,4.0,0.067,0.067,0.917,0.0,60
contractions,alt,10,4.0,0.117,0.117,0.883,0.0,60
contractions,alt,12,2.0,0.1,0.1,0.867,0.0,60
contractions,alt,16,32.0,0.2,0.203,0.797,0.017,60
