bracket,alpha,layer_config,mean_acc,median_acc,mean_uplift
cosine_M,0.5,3,0.0017,0.0,0.001
cosine_M,0.5,4,0.0017,0.0,0.001
cosine_M,0.5,5,0.0007,0.0,0.0
cosine_M,0.5,6,0.0007,0.0,-0.0
cosine_M,0.5,7,0.002,0.0,0.0013
cosine_M,0.5,8,0.002,0.0,0.0013
cosine_M,0.5,9,0.002,0.0,0.0013
cosine_M,0.5,10,0.0013,0.0,0.0007
cosine_M,0.5,11,0.0013,0.0,0.0007
cosine_M,0.5,12,0.0013,0.0,0.0007
cosine_M,0.5,13,0.0003,0.0,-0.0003
cosine_M,0.5,14,0.0013,0.0,0.0007
cosine_M,0.5,15,0.0003,0.0,-0.0003
cosine_M,0.5,3-15,0.092,0.0767,0.0913
cosine_M,0.5,7-11,0.0093,0.0067,0.0087
cosine_M,1.0,3,0.0027,0.0,0.002
cosine_M,1.0,4,0.0037,0.0,0.003
cosine_M,1.0,5,0.0023,0.0,0.0017
cosine_M,1.0,6,0.004,0.0,0.0033
cosine_M,1.0,7,0.0033,0.0,0.0027
cosine_M,1.0,8,0.0023,0.0,0.0017
cosine_M,1.0,9,0.0033,0.0,0.0027
cosine_M,1.0,10,0.0013,0.0,0.0007
cosine_M,1.0,11,0.001,0.0,0.0003
cosine_M,1.0,12,0.0013,0.0,0.0007
cosine_M,1.0,13,0.0017,0.0,0.001
cosine_M,1.0,14,0.002,0.0,0.0013
cosine_M,1.0,15,0.001,0.0,0.0003
cosine_M,1.0,3-15,0.126,0.08,0.1253
cosine_M,1.0,7-11,0.05,0.0333,0.0493
cosine_M,2.0,3,0.0143,0.0067,0.0137
cosine_M,2.0,4,0.012,0.0067,0.0114
cosine_M,2.0,5,0.0107,0.0067,0.01
cosine_M,2.0,6,0.01,0.0067,0.0093
cosine_M,2.0,7,0.0127,0.0067,0.012
cosine_M,2.0,8,0.0053,0.0,0.0047
cosine_M,2.0,9,0.0053,0.0034,0.0047
cosine_M,2.0,10,0.005,0.0,0.0043
cosine_M,2.0,11,0.004,0.0,0.0033
cosine_M,2.0,12,0.0017,0.0,0.001
cosine_M,2.0,13,0.001,0.0,0.0003
cosine_M,2.0,14,0.001,0.0,0.0003
cosine_M,2.0,15,0.0003,0.0,-0.0003
cosine_M,2.0,3-15,0.079,0.0234,0.0783
cosine_M,2.0,7-11,0.0547,0.0234,0.054
cosine_M,4.0,3,0.1403,0.11,0.1397
cosine_M,4.0,4,0.1013,0.0667,0.1007
cosine_M,4.0,5,0.0723,0.06,0.0717
cosine_M,4.0,6,0.0683,0.05,0.0677
cosine_M,4.0,7,0.0517,0.0466,0.051
cosine_M,4.0,8,0.0293,0.0234,0.0287
