icl_example_index,token_role,k,feature_dim,target_dim,best_alpha,cv_mse,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
3,pre_label_token,1,2,2,0.01,31.644678673377403,2600,1170,24.741708755493164,14.896484375,49.483421325683594,29.79296875
3,pre_label_token,2,4,4,10.0,31.341322772686297,2600,1170,22.62997817993164,13.133514404296875,90.51991271972656,52.534061431884766
3,pre_label_token,3,6,6,0.01,26.262395207331732,2600,1170,16.8949031829834,12.411351203918457,101.36942291259766,74.46810913085938
3,pre_label_token,4,8,8,100.0,34.84824033297025,2600,1170,16.2099666595459,9.569319725036621,129.6797332763672,76.55455017089844
3,pre_label_token,5,10,10,100.0,29.136972506009617,2600,1170,10.401124954223633,8.096583366394043,104.01126098632812,80.96583557128906
3,pre_label_token,6,12,12,316.22776601683796,27.691071370442707,2600,1170,9.530342102050781,8.120561599731445,114.3641128540039,97.44673919677734
3,pre_label_token,7,14,14,1000.0,30.455492265303057,2600,1170,11.379380226135254,8.744117736816406,159.3113250732422,122.41767120361328
3,pre_label_token,8,16,16,316.22776601683796,27.099013413649338,2600,1170,7.528041839599609,7.584770679473877,120.44866943359375,121.3563461303711
3,pre_label_token,9,18,18,316.22776601683796,28.216325328859508,2600,1170,7.123560905456543,7.955798149108887,128.22410583496094,143.20436096191406
3,pre_label_token,10,20,20,316.22776601683796,29.544475060096154,2600,1170,6.720200538635254,7.155965328216553,134.4040069580078,143.1193084716797
3,first_label_token,1,2,2,1.0,31.20768815260667,2600,1170,25.219568252563477,17.602680206298828,50.43913650512695,35.205360412597656
3,first_label_token,2,4,4,31.622776601683793,33.15040057842548,2600,1170,23.40787696838379,17.12213897705078,93.63150787353516,68.4885482788086
3,first_label_token,3,6,6,100.0,28.750302421374197,2600,1170,17.80992317199707,13.622360229492188,106.85954284667969,81.73416900634766
3,first_label_token,4,8,8,31.622776601683793,28.625653451772838,2600,1170,16.066627502441406,12.416858673095703,128.5330352783203,99.33486938476562
3,first_label_token,5,10,10,31.622776601683793,26.61991447566106,2600,1170,13.554640769958496,10.57603931427002,135.54638671875,105.76039123535156
3,first_label_token,6,12,12,1000.0,32.95708114232772,2600,1170,15.070039749145508,10.557639122009277,180.84048461914062,126.69166564941406
3,first_label_token,7,14,14,1000.0,33.08718531346583,2600,1170,13.536728858947754,9.659919738769531,189.5142059326172,135.23887634277344
3,first_label_token,8,16,16,1000.0,32.520473515437196,2600,1170,11.56962776184082,8.817091941833496,185.11404418945312,141.07347106933594
3,first_label_token,9,18,18,1000.0,32.13312944461138,2600,1170,10.220203399658203,8.372711181640625,183.9636688232422,150.7087860107422
3,first_label_token,10,20,20,316.22776601683796,29.767571983924277,2600,1170,7.019131183624268,7.536273956298828,140.3826141357422,150.7254638671875
3,last_label_token,1,2,2,1.0,36.15905231182392,2600,1170,28.772716522216797,27.97819709777832,57.545433044433594,55.956398010253906
3,last_label_token,2,4,4,100.0,32.115618121807394,2600,1170,22.32387924194336,18.314128875732422,89.29551696777344,73.25651550292969
3,last_label_token,3,6,6,100.0,28.335079580453726,2600,1170,17.612037658691406,14.014832496643066,105.67221069335938,84.0889892578125
3,last_label_token,4,8,8,31.622776601683793,26.880086763822117,2600,1170,15.111430168151855,13.217510223388672,120.89144134521484,105.74007415771484
3,last_label_token,5,10,10,31.622776601683793,24.141950458233172,2600,1170,12.030635833740234,10.468193054199219,120.30634307861328,104.68192291259766
3,last_label_token,6,12,12,316.22776601683796,28.826694492437902,2600,1170,10.273653030395508,10.922670364379883,123.28384399414062,131.07205200195312
3,last_label_token,7,14,14,1000.0,30.570082954155218,2600,1170,11.852856636047363,9.877337455749512,165.93997192382812,138.28273010253906
3,last_label_token,8,16,16,1000.0,29.946907677283654,2600,1170,9.893031120300293,8.710004806518555,158.28851318359375,139.36007690429688
3,last_label_token,9,18,18,316.22776601683796,27.482904584835737,2600,1170,6.8456196784973145,7.711001396179199,123.22115325927734,138.79803466796875
3,last_label_token,10,20,20,1000.0,30.45048681640625,2600,1170,8.161774635314941,7.079276084899902,163.2355194091797,141.5855255126953
