variant,n_shots,n_points,pointbiserial_r,spearman_rho
L13,pooled,72450,0.3598,0.3112
L13,0,10350,0.0639,0.0549
L13,1,10350,0.1398,0.1365
L13,2,10350,0.0171,0.013
L13,3,10350,-0.0338,-0.0341
L13,4,10350,-0.0428,-0.0442
L13,5,10350,-0.056,-0.0629
L13,6,10350,-0.0565,-0.0664
meanL9-20,pooled,72450,0.3301,0.2758
meanL9-20,0,10350,0.0578,0.0516
meanL9-20,1,10350,0.0721,0.0725
meanL9-20,2,10350,-0.0467,-0.0483
meanL9-20,3,10350,-0.1085,-0.1057
meanL9-20,4,10350,-0.1014,-0.102
meanL9-20,5,10350,-0.1333,-0.1333
meanL9-20,6,10350,-0.127,-0.1237
