family,arm,alpha,margin_unsteered,margin_cf,margin_steered,alt_top_unsteered,alt_top_cf,alt_top_steered
sql_bool_case,read,0.5,-5.510937690734863,-5.631249904632568,-0.5140625238418579,0.0,0.0,0.25
sql_bool_case,read,1.0,-5.510937690734863,-5.631249904632568,5.425000190734863,0.0,0.0,0.975
sql_bool_case,read,2.0,-5.510937690734863,-5.631249904632568,7.71875,0.0,0.0,1.0
sql_bool_case,read,4.0,-5.510937690734863,-5.631249904632568,5.986718654632568,0.0,0.0,1.0
sql_bool_case,read,8.0,-5.510937690734863,-5.631249904632568,3.7125000953674316,0.0,0.0,1.0
py_indent,read,0.5,-11.228124618530273,-8.3671875,-9.821874618530273,0.0,0.0,0.0
py_indent,read,1.0,-11.228124618530273,-8.3671875,-4.389062404632568,0.0,0.0,0.175
py_indent,read,2.0,-11.228124618530273,-8.3671875,4.520312309265137,0.0,0.0,0.9
py_indent,read,4.0,-11.228124618530273,-8.3671875,7.224218845367432,0.0,0.0,1.0
py_indent,read,8.0,-11.228124618530273,-8.3671875,7.472851753234863,0.0,0.0,1.0
py_indent,ctrl_family,0.5,-11.228124618530273,-8.3671875,-11.159375190734863,0.0,0.0,0.0
py_indent,ctrl_family,1.0,-11.228124618530273,-8.3671875,-11.060937881469727,0.0,0.0,0.0
py_indent,ctrl_family,2.0,-11.228124618530273,-8.3671875,-10.793749809265137,0.0,0.0,0.0
py_indent,ctrl_family,4.0,-11.228124618530273,-8.3671875,-9.567187309265137,0.0,0.0,0.0
py_indent,ctrl_family,8.0,-11.228124618530273,-8.3671875,-6.604687690734863,0.0,0.0,0.0
py_indent,ctrl_random,0.5,-11.228124618530273,-8.3671875,-11.190625190734863,0.0,0.0,0.0
py_indent,ctrl_random,1.0,-11.228124618530273,-8.3671875,-11.149999618530273,0.0,0.0,0.0
py_indent,ctrl_random,2.0,-11.228124618530273,-8.3671875,-11.015625,0.0,0.0,0.0
py_indent,ctrl_random,4.0,-11.228124618530273,-8.3671875,-10.2109375,0.0,0.0,0.0
py_indent,ctrl_random,8.0,-11.228124618530273,-8.3671875,-8.9453125,0.0,0.0,0.0
py2_except,read,0.5,-13.34375,-5.784375190734863,-4.481249809265137,0.0,0.0,0.0
py2_except,read,1.0,-13.34375,-5.784375190734863,5.584374904632568,0.0,0.0,1.0
py2_except,read,2.0,-13.34375,-5.784375190734863,9.503125190734863,0.0,0.0,1.0
py2_except,read,4.0,-13.34375,-5.784375190734863,8.795312881469727,0.0,0.0,1.0
py2_except,read,8.0,-13.34375,-5.784375190734863,4.599999904632568,0.0,0.0,1.0
py_tabs,read,0.5,-11.800000190734863,-6.454687595367432,-10.790624618530273,0.0,0.1,0.0
py_tabs,read,1.0,-11.800000190734863,-6.454687595367432,-5.2890625,0.0,0.1,0.025
py_tabs,read,2.0,-11.800000190734863,-6.454687595367432,6.228125095367432,0.0,0.1,0.9
py_tabs,read,4.0,-11.800000190734863,-6.454687595367432,5.665625095367432,0.0,0.1,0.975
py_tabs,read,8.0,-11.800000190734863,-6.454687595367432,5.8125,0.0,0.1,0.975
py_tabs,ctrl_family,0.5,-11.800000190734863,-6.454687595367432,-11.481249809265137,0.0,0.1,0.0
py_tabs,ctrl_family,1.0,-11.800000190734863,-6.454687595367432,-10.629687309265137,0.0,0.1,0.0
py_tabs,ctrl_family,2.0,-11.800000190734863,-6.454687595367432,-8.667187690734863,0.0,0.1,0.0
py_tabs,ctrl_family,4.0,-11.800000190734863,-6.454687595367432,-4.8203125,0.0,0.1,0.0
py_tabs,ctrl_family,8.0,-11.800000190734863,-6.454687595367432,-4.020312309265137,0.0,0.1,0.0
py_tabs,ctrl_random,0.5,-11.800000190734863,-6.454687595367432,-11.815625190734863,0.0,0.1,0.0
py_tabs,ctrl_random,1.0,-11.800000190734863,-6.454687595367432,-11.810937881469727,0.0,0.1,0.0
py_tabs,ctrl_random,2.0,-11.800000190734863,-6.454687595367432,-11.8125,0.0,0.1,0.0
py_tabs,ctrl_random,4.0,-11.800000190734863,-6.454687595367432,-11.746874809265137,0.0,0.1,0.0
py_tabs,ctrl_random,8.0,-11.800000190734863,-6.454687595367432,-11.303125381469727,0.0,0.1,0.0
py_self_name,read,0.5,-12.63671875,-5.870312690734863,-11.053906440734863,0.0,0.0,0.0
py_self_name,read,1.0,-12.63671875,-5.870312690734863,-2.1265625953674316,0.0,0.0,0.2
