variant,median_within_task_rho,n_positive,n_tasks
L9,0.9643,69,69
L10,0.9643,69,69
L11,0.9643,69,69
L12,0.9643,69,69
L13,0.9643,69,69
L14,0.9643,69,69
L15,0.9643,69,69
L16,0.9643,69,69
L17,0.9643,69,69
L18,0.9643,69,69
L19,0.9643,69,69
L20,0.9643,69,69
maxL9-20,0.9643,69,69
meanL9-20,0.9643,69,69
