variant,bucket,n_points,mean_acc,sem_acc
L9,[0.05,0.15),47,0.0004,0.0002
L9,[0.15,0.25),59,0.1452,0.0199
L9,[0.25,0.35),197,0.4707,0.0153
L9,[0.35,0.45),180,0.5501,0.0141
L10,[-0.05,0.05),1,0.0000,0.0000
L10,[0.05,0.15),47,0.0089,0.0084
L10,[0.15,0.25),70,0.1790,0.0236
L10,[0.25,0.35),276,0.5095,0.0129
L10,[0.35,0.45),89,0.5255,0.0172
L11,[-0.05,0.05),1,0.0000,0.0000
L11,[0.05,0.15),28,0.0005,0.0003
L11,[0.15,0.25),61,0.0858,0.0191
L11,[0.25,0.35),280,0.4709,0.0131
L11,[0.35,0.45),113,0.5596,0.0167
L12,[-0.05,0.05),1,0.0000,0.0000
L12,[0.05,0.15),20,0.0003,0.0003
L12,[0.15,0.25),46,0.0106,0.0085
L12,[0.25,0.35),128,0.3681,0.0222
L12,[0.35,0.45),288,0.5303,0.0108
L13,[-0.05,0.05),1,0.0000,0.0000
L13,[0.05,0.15),18,0.0004,0.0004
L13,[0.15,0.25),42,0.0014,0.0006
L13,[0.25,0.35),68,0.3047,0.0312
L13,[0.35,0.45),321,0.5056,0.0114
L13,[0.45,0.55),33,0.5224,0.0301
L14,[-0.05,0.05),1,0.0000,0.0000
L14,[0.05,0.15),20,0.0003,0.0003
L14,[0.15,0.25),42,0.0083,0.0068
L14,[0.25,0.35),137,0.4313,0.0249
L14,[0.35,0.45),270,0.4986,0.0110
L14,[0.45,0.55),13,0.4821,0.0295
L15,[-0.05,0.05),1,0.0000,0.0000
L15,[0.05,0.15),21,0.0003,0.0003
L15,[0.15,0.25),41,0.0156,0.0105
L15,[0.25,0.35),95,0.3409,0.0259
L15,[0.35,0.45),251,0.5100,0.0133
L15,[0.45,0.55),74,0.5311,0.0182
L16,[-0.05,0.05),1,0.0000,0.0000
L16,[0.05,0.15),20,0.0003,0.0003
L16,[0.15,0.25),45,0.0412,0.0177
L16,[0.25,0.35),140,0.4477,0.0245
L16,[0.35,0.45),223,0.4833,0.0128
L16,[0.45,0.55),54,0.5188,0.0197
L17,[-0.05,0.05),1,0.0000,0.0000
L17,[0.05,0.15),22,0.0003,0.0003
L17,[0.15,0.25),46,0.0536,0.0184
L17,[0.25,0.35),170,0.4691,0.0215
L17,[0.35,0.45),198,0.4800,0.0132
L17,[0.45,0.55),46,0.5017,0.0182
L18,[-0.05,0.05),1,0.0000,0.0000
L18,[0.05,0.15),25,0.0011,0.0008
L18,[0.15,0.25),52,0.1314,0.0333
L18,[0.25,0.35),193,0.4790,0.0190
L18,[0.35,0.45),150,0.4644,0.0158
L18,[0.45,0.55),62,0.5059,0.0162
L19,[-0.05,0.05),1,0.0000,0.0000
L19,[0.05,0.15),24,0.0011,0.0009
L19,[0.15,0.25),76,0.2756,0.0361
L19,[0.25,0.35),210,0.4787,0.0176
L19,[0.35,0.45),114,0.4294,0.0177
L19,[0.45,0.55),58,0.5153,0.0156
L20,[-0.05,0.05),1,0.0000,0.0000
L20,[0.05,0.15),26,0.0162,0.0151
L20,[0.15,0.25),85,0.3129,0.0341
L20,[0.25,0.35),213,0.4633,0.0172
L20,[0.35,0.45),124,0.4640,0.0173
L20,[0.45,0.55),32,0.5044,0.0218
L20,[0.55,0.65),2,0.4767,0.0167
maxL9-20,[0.05,0.15),16,0.0004,0.0004
maxL9-20,[0.15,0.25),44,0.0014,0.0006
maxL9-20,[0.25,0.35),45,0.1886,0.0271
maxL9-20,[0.35,0.45),277,0.5012,0.0133
maxL9-20,[0.45,0.55),99,0.5253,0.0152
maxL9-20,[0.55,0.65),2,0.4767,0.0167
meanL9-20,[-0.05,0.05),1,0.0000,0.0000
meanL9-20,[0.05,0.15),22,0.0003,0.0003
meanL9-20,[0.15,0.25),47,0.0461,0.0177
meanL9-20,[0.25,0.35),177,0.4584,0.0208
meanL9-20,[0.35,0.45),225,0.4968,0.0115
meanL9-20,[0.45,0.55),11,0.4770,0.0255
