layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
0,0.53773,0.56234,0.59348,0.53003,0.55851,0.59231,0.52881,0.55870,0.59160,0.52918,0.55905,0.59157,0.52879,0.55884,0.59192,0.52956,0.55874,0.59205,0.52934,0.55883,0.59203,0.52954,0.55898,0.59196,0.53008,0.55901,0.59225,0.53032,0.55920,0.59282,0.53006,0.55931
1,0.48582,0.53657,0.57554,0.48806,0.53768,0.58177,0.49137,0.53900,0.58499,0.49419,0.53935,0.58709,0.49567,0.53952,0.58864,0.49736,0.53946,0.58959,0.49783,0.53973,0.59013,0.49841,0.54004,0.59027,0.49883,0.54018,0.59096,0.49969,0.54059,0.59205,0.49927,0.54078
2,0.43434,0.48446,0.56286,0.45472,0.49535,0.57549,0.46012,0.50539,0.58154,0.46387,0.51103,0.58488,0.46594,0.51411,0.58754,0.46779,0.51613,0.58883,0.46844,0.51794,0.58975,0.46925,0.51897,0.59040,0.46990,0.51946,0.59120,0.47121,0.52020,0.59268,0.47060,0.52057
3,0.45699,0.49188,0.60703,0.48046,0.50043,0.62638,0.48905,0.51282,0.63724,0.49464,0.52124,0.64316,0.49792,0.52575,0.64717,0.50051,0.52871,0.64916,0.50160,0.53133,0.65077,0.50307,0.53315,0.65210,0.50421,0.53428,0.65317,0.50563,0.53528,0.65511,0.50508,0.53562
4,0.47240,0.49483,0.64362,0.51829,0.51433,0.68602,0.53435,0.54152,0.70361,0.54346,0.55538,0.71292,0.54892,0.56196,0.71872,0.55243,0.56568,0.72186,0.55450,0.56816,0.72436,0.55635,0.56957,0.72641,0.55764,0.57036,0.72764,0.55959,0.57115,0.73012,0.55920,0.57126
5,0.48985,0.51571,0.66880,0.52580,0.53045,0.71460,0.54192,0.55788,0.73699,0.55094,0.56987,0.74824,0.55628,0.57523,0.75433,0.55909,0.57763,0.75720,0.56065,0.57883,0.75913,0.56164,0.57927,0.76044,0.56231,0.57906,0.76121,0.56378,0.57890,0.76318,0.56259,0.57829
6,0.49037,0.50492,0.69116,0.54132,0.51060,0.76611,0.56323,0.55215,0.80003,0.57357,0.56959,0.81511,0.57952,0.57843,0.82279,0.58226,0.58437,0.82674,0.58357,0.58796,0.82918,0.58441,0.59038,0.83117,0.58477,0.59152,0.83207,0.58630,0.59251,0.83419,0.58515,0.59277
7,0.46136,0.45356,0.65272,0.51043,0.48290,0.71843,0.53100,0.52142,0.74612,0.53865,0.53540,0.75702,0.54300,0.54120,0.76189,0.54429,0.54487,0.76404,0.54522,0.54759,0.76513,0.54538,0.54888,0.76573,0.54536,0.54947,0.76556,0.54631,0.54971,0.76663,0.54477,0.54935
8,0.43730,0.42281,0.63266,0.48811,0.45024,0.69124,0.50968,0.49264,0.71288,0.51587,0.50621,0.71989,0.51825,0.51194,0.72260,0.51801,0.51562,0.72315,0.51834,0.51868,0.72319,0.51823,0.52009,0.72309,0.51783,0.52073,0.72202,0.51854,0.52084,0.72256,0.51704,0.52062
9,0.40097,0.38439,0.58693,0.45001,0.40410,0.64333,0.47071,0.44065,0.66292,0.47497,0.45061,0.66897,0.47657,0.45405,0.67078,0.47637,0.45693,0.67081,0.47676,0.45958,0.67061,0.47675,0.46101,0.67034,0.47671,0.46190,0.66929,0.47750,0.46240,0.66962,0.47622,0.46247
10,0.36610,0.37397,0.54769,0.41466,0.37907,0.60076,0.43537,0.42089,0.61939,0.43891,0.43044,0.62396,0.43965,0.43380,0.62492,0.43899,0.43664,0.62486,0.43921,0.43934,0.62446,0.43889,0.44083,0.62390,0.43890,0.44170,0.62272,0.43948,0.44208,0.62266,0.43823,0.44206
11,0.33720,0.34540,0.50492,0.36997,0.35710,0.55366,0.39184,0.39175,0.56747,0.39438,0.40074,0.57038,0.39477,0.40315,0.57027,0.39395,0.40507,0.56976,0.39404,0.40675,0.56906,0.39342,0.40756,0.56813,0.39281,0.40781,0.56663,0.39311,0.40765,0.56642,0.39169,0.40716
12,0.30011,0.31016,0.46415,0.33249,0.30821,0.51032,0.34994,0.33992,0.51867,0.35082,0.34737,0.52026,0.35091,0.34941,0.51985,0.35002,0.35089,0.51936,0.34986,0.35230,0.51852,0.34927,0.35280,0.51750,0.34882,0.35307,0.51591,0.34915,0.35300,0.51565,0.34762,0.35264
13,0.27843,0.28953,0.44260,0.31039,0.29156,0.48632,0.32582,0.31430,0.49148,0.32589,0.32009,0.49251,0.32622,0.32165,0.49257,0.32551,0.32307,0.49194,0.32577,0.32441,0.49129,0.32546,0.32488,0.49062,0.32516,0.32500,0.48894,0.32575,0.32490,0.48870,0.32445,0.32484
14,0.26020,0.27157,0.41501,0.28847,0.26355,0.46483,0.30264,0.28289,0.47152,0.30334,0.28856,0.47406,0.30441,0.29014,0.47546,0.30430,0.29159,0.47591,0.30496,0.29322,0.47599,0.30487,0.29387,0.47592,0.30480,0.29428,0.47470,0.30553,0.29447,0.47479,0.30440,0.29463
15,0.26301,0.25379,0.40397,0.27970,0.24485,0.44661,0.29232,0.26243,0.45305,0.29317,0.26756,0.45600,0.29451,0.26954,0.45771,0.29478,0.27132,0.45843,0.29568,0.27323,0.45884,0.29587,0.27412,0.45902,0.29579,0.27476,0.45803,0.29667,0.27515,0.45833,0.29577,0.27532
16,0.26444,0.24653,0.39343,0.27800,0.23730,0.43246,0.28752,0.24754,0.43661,0.28797,0.25003,0.43901,0.28902,0.25076,0.44039,0.28911,0.25156,0.44088,0.28953,0.25281,0.44106,0.28949,0.25334,0.44116,0.28911,0.25354,0.44004,0.28999,0.25366,0.44010,0.28885,0.25367
17,0.25370,0.22555,0.37428,0.26338,0.21127,0.40887,0.27017,0.21497,0.41156,0.26998,0.21606,0.41331,0.27043,0.21551,0.41409,0.27023,0.21540,0.41424,0.26989,0.21594,0.41398,0.26950,0.21622,0.41395,0.26868,0.21614,0.41267,0.26940,0.21613,0.41241,0.26794,0.21608
18,0.25702,0.22180,0.36395,0.26113,0.20710,0.39696,0.26692,0.20675,0.39921,0.26601,0.20748,0.40118,0.26599,0.20712,0.40247,0.26560,0.20713,0.40300,0.26513,0.20745,0.40311,0.26476,0.20774,0.40336,0.26380,0.20763,0.40232,0.26466,0.20765,0.40249,0.26313,0.20748
19,0.24826,0.21506,0.34521,0.24696,0.19793,0.37116,0.24899,0.19524,0.37187,0.24767,0.19459,0.37301,0.24734,0.19349,0.37406,0.24685,0.19317,0.37459,0.24620,0.19315,0.37472,0.24574,0.19331,0.37497,0.24474,0.19314,0.37399,0.24546,0.19301,0.37414,0.24388,0.19279
20,0.24485,0.20191,0.32358,0.23668,0.18139,0.34186,0.23856,0.17679,0.34036,0.23683,0.17617,0.34081,0.23617,0.17528,0.34150,0.23576,0.17501,0.34261,0.23489,0.17490,0.34293,0.23471,0.17514,0.34330,0.23375,0.17489,0.34216,0.23453,0.17470,0.34138,0.23315,0.17445
21,0.23191,0.19066,0.30273,0.22147,0.16611,0.31742,0.22325,0.15994,0.31548,0.22175,0.15937,0.31586,0.22114,0.15859,0.31662,0.22079,0.15833,0.31791,0.21991,0.15813,0.31838,0.21984,0.15832,0.31890,0.21895,0.15808,0.31787,0.21974,0.15787,0.31718,0.21849,0.15757
