family,mean,median,sd,min,max
read_taskunique_v1,-0.0088,-0.0756,0.2217,-0.3447,0.9959
write_centered,-0.0099,-0.0515,0.2634,-0.4781,0.9926
write_raw,0.3926,0.3548,0.1745,0.0499,0.9951
pair_agreement_pearson,0.9289,,,,
pair_agreement_spearman,0.9019,,,,
