m,task_added_seed_order,unit_sr_seed,unit_sr_mean,unit_sr_min,unit_sr_max,raw_sr_seed,raw_sr_mean,raw_sr_min,raw_sr_max
1,person-sport,12.5011,12.2698,11.4057,13.2227,5.6134,5.6170,4.6245,6.8364
2,present-past,16.8774,16.3492,13.2187,19.5058,7.5242,7.9931,6.6392,9.5424
3,singular-plural,15.8755,17.7837,13.8739,21.9169,7.3602,9.2044,7.7575,10.2568
4,ag_news,19.4126,18.8539,15.6891,21.6034,8.8506,10.2341,8.8428,11.4050
5,capitalize_second_letter,19.4750,19.3674,15.3104,23.3251,10.3693,10.7064,9.0435,11.8158
6,person-occupation,19.4813,19.6679,16.2115,22.5653,10.7189,11.1127,9.2632,12.3212
7,english-french,19.5677,19.9265,17.1813,22.4950,10.8227,11.4521,10.2224,12.7532
8,next_item,19.2689,20.2464,17.5639,22.5974,11.2399,11.7395,11.0557,12.4123
9,commonsense_qa,20.0217,20.4189,17.4834,22.6720,11.9429,11.9376,11.2261,12.5851
10,national_parks,20.7245,20.4228,17.3271,22.7748,12.1148,12.0756,11.3309,12.7725
11,park-country,20.9053,20.5142,17.4263,22.3328,12.0973,12.1769,11.3523,12.7990
12,country-capital,21.0021,20.5799,17.8922,22.7664,12.1479,12.2467,11.5085,12.8486
13,prev_item,20.5825,20.8036,18.3315,22.2294,12.1680,12.3931,11.6583,12.7951
14,person-instrument,20.8562,20.8909,18.8505,21.9269,12.1777,12.4676,11.7169,12.8628
15,next_capital_letter,20.6322,20.8620,19.5459,21.9485,12.2859,12.5402,12.1367,12.8664
16,capitalize_last_letter,20.4298,20.8911,19.6982,21.7225,12.3785,12.5948,12.3346,12.8916
17,english-german,20.5423,20.8389,19.6956,21.6680,12.4897,12.6155,12.2262,12.8318
18,english-spanish,20.4837,20.8749,20.3990,21.3671,12.4806,12.6485,12.2596,12.8661
19,lowercase_last_letter,20.4286,20.9552,20.4286,21.2734,12.5278,12.7250,12.5278,12.7835
20,sentiment,20.9402,20.9402,20.9402,20.9402,12.7276,12.7276,12.7276,12.7276

task,single_task_sr_unit,single_task_sr_raw
national_parks,12.1752,5.1915
english-spanish,11.7343,5.9294
next_capital_letter,13.1206,6.8145
commonsense_qa,13.2195,5.8048
capitalize_last_letter,13.2227,6.8066
country-capital,12.8383,5.2799
english-french,11.8634,5.8342
ag_news,11.5033,4.6245
sentiment,11.9424,5.1330
present-past,12.1610,4.6319
person-occupation,11.8979,5.1047
prev_item,11.8397,6.4597
capitalize_second_letter,12.5226,6.8364
lowercase_last_letter,12.8034,6.2297
singular-plural,11.5547,5.0332
person-sport,12.5011,5.6134
park-country,11.4057,5.3314
english-german,11.9596,6.3360
person-instrument,12.8264,5.3134
next_item,11.8507,5.6179
