m,sr_seed_order,task_added_seed_order,sr_mean,sr_min,sr_max
1,10.6060,person-sport,10.6250,9.6958,11.5462
2,16.8499,present-past,15.0399,11.4770,17.9739
3,15.7995,singular-plural,17.1005,12.2524,20.5457
4,19.3871,ag_news,18.5207,14.8682,21.3267
5,19.6577,capitalize_second_letter,19.1241,14.8009,24.0510
6,19.7053,person-occupation,19.4223,15.9529,22.4662
7,20.1538,english-french,19.7812,16.8629,22.3726
8,19.9639,next_item,20.1768,17.9257,22.2120
9,20.7398,commonsense_qa,20.5022,17.9881,22.2566
10,21.3804,national_parks,20.5602,17.6427,22.6629
11,21.4826,park-country,20.6986,17.4527,22.5791
12,21.6568,country-capital,20.8840,18.0754,22.9511
13,21.2909,prev_item,21.1784,18.4607,22.6742
14,21.4274,person-instrument,21.2732,18.9837,22.3649
15,21.0718,next_capital_letter,21.2797,19.6128,22.5692
16,20.7965,capitalize_last_letter,21.3232,19.8881,22.5363
17,21.1170,english-german,21.2747,20.0388,22.2501
18,21.2004,english-spanish,21.3040,20.7675,21.9881
19,20.9362,lowercase_last_letter,21.4009,20.9362,21.8009
20,21.3786,sentiment,21.3786,21.3786,21.3786

task,single_task_sr
national_parks,10.1997
english-spanish,11.3757
next_capital_letter,11.0312
commonsense_qa,11.3667
capitalize_last_letter,11.5462
country-capital,11.1018
english-french,11.3764
ag_news,10.3226
sentiment,9.8603
present-past,10.6833
person-occupation,10.0229
prev_item,10.4009
capitalize_second_letter,10.6822
lowercase_last_letter,10.7870
singular-plural,10.1587
person-sport,10.6060
park-country,9.6958
english-german,11.7917
person-instrument,9.8140
next_item,10.3079
