family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4
py_snake_camel,alt,24,2.0,0.785,0.723,0.836,0.92,0.005,0.84,0.0,,0.0,0.92
py_snake_camel,nat,24,0.5,0.875,0.822,0.914,1.0,0.0,0.875,0.9,,0.905,0.965
js_camel_snake,alt,24,2.0,0.645,0.577,0.708,0.765,0.075,0.825,0.0,,0.0,0.9
js_camel_snake,nat,24,1.0,0.845,0.788,0.889,0.975,0.025,0.865,0.86,,0.845,0.885
py_const_naming,alt,24,0.5,0.0,0.0,0.019,0.0,0.965,0.75,0.0,,0.0,0.6
py_const_naming,nat,24,0.5,0.03,0.014,0.064,0.035,0.96,0.735,0.015,,0.015,0.655
py_class_naming,alt,24,2.0,0.47,0.402,0.539,0.635,0.325,0.685,0.395,,0.4,0.63
py_class_naming,nat,24,1.0,0.13,0.09,0.184,0.155,0.385,0.83,0.115,,0.155,0.46
py_private,alt,24,4.0,0.37,0.306,0.439,0.385,0.6,0.955,0.025,,0.015,0.385
py_private,nat,24,4.0,0.225,0.173,0.288,0.225,0.765,0.965,0.05,,0.075,0.455
py_bool_prefix,alt,24,4.0,0.065,0.038,0.108,0.075,0.905,0.84,0.07,,0.09,0.315
py_bool_prefix,nat,24,4.0,0.125,0.086,0.178,0.145,0.79,0.83,0.005,,0.01,0.575
py_loop_vars,alt,24,4.0,0.218,0.165,0.282,0.261,0.66,0.846,0.074,,0.059,0.473
py_loop_vars,nat,24,4.0,0.628,0.557,0.694,0.681,0.271,0.867,0.346,,0.314,0.495
js_hungarian,alt,24,4.0,0.02,0.008,0.05,0.02,0.49,0.83,0.005,,0.005,0.855
js_hungarian,nat,24,0.5,0.56,0.491,0.627,0.625,0.375,0.88,0.535,,0.54,0.66
py_abbrev,alt,24,0.5,0.43,0.363,0.499,0.45,0.44,0.92,0.38,,0.37,0.755
py_abbrev,nat,24,4.0,0.16,0.116,0.217,0.17,0.56,0.865,0.125,,0.12,0.725
py_quotes,alt,24,2.0,0.505,0.435,0.575,0.526,0.312,0.932,0.333,,0.333,0.719
py_quotes,nat,24,2.0,0.453,0.384,0.524,0.516,0.391,0.885,0.281,,0.266,0.812
js_quotes,alt,24,1.0,0.704,0.635,0.764,0.735,0.228,0.921,0.534,,0.492,0.799
js_quotes,nat,24,2.0,0.704,0.635,0.764,0.741,0.212,0.921,0.201,,0.159,0.778
py_fstring,alt,24,4.0,0.325,0.264,0.393,0.35,0.595,0.86,0.125,,0.155,0.84
py_fstring,nat,24,4.0,0.855,0.8,0.897,0.915,0.085,0.925,0.18,,0.195,0.705
js_template,alt,24,4.0,0.379,0.314,0.448,0.419,0.551,0.904,0.141,,0.126,0.813
js_template,nat,24,1.0,0.242,0.188,0.307,0.298,0.586,0.879,0.247,,0.207,0.894
num_separators,alt,24,4.0,0.672,0.587,0.746,0.817,0.176,0.809,0.0,,0.0,0.496
num_separators,nat,24,2.0,0.489,0.405,0.573,0.527,0.473,0.863,0.328,,0.305,0.832
hex_constants,alt,24,4.0,0.249,0.191,0.317,0.305,0.644,0.78,0.006,,0.0,0.684
hex_constants,nat,24,0.5,0.362,0.294,0.435,0.384,0.616,0.921,0.379,,0.345,0.514
float_literals,alt,24,4.0,0.333,0.265,0.409,0.395,0.525,0.698,0.025,,0.019,0.519
float_literals,nat,24,4.0,0.66,0.585,0.729,0.679,0.309,0.914,0.488,,0.512,0.531
sql_bool_case,alt,24,1.0,0.857,0.788,0.907,0.857,0.128,0.962,0.609,,0.549,0.917
sql_bool_case,nat,24,4.0,0.895,0.831,0.936,0.895,0.105,0.992,0.218,,0.293,0.902
py2_print,alt,24,4.0,0.145,0.103,0.2,0.265,0.73,0.595,0.0,,0.015,0.67
py2_print,nat,24,2.0,0.22,0.168,0.282,0.26,0.735,0.8,0.215,,0.2,0.73
py2_iter,alt,24,4.0,0.75,0.673,0.814,0.896,0.076,0.819,0.035,,0.035,0.549
py2_iter,nat,24,4.0,0.694,0.615,0.764,0.792,0.194,0.861,0.688,,0.611,0.764
js_var,alt,24,4.0,0.375,0.311,0.444,0.545,0.305,0.63,0.045,,0.13,0.495
js_var,nat,24,4.0,0.535,0.466,0.603,0.625,0.325,0.735,0.4,,0.415,0.535
js_arrow,alt,24,4.0,0.878,0.824,0.916,1.0,0.0,0.878,0.051,,0.041,0.566
js_arrow,nat,24,1.0,0.878,0.824,0.916,0.985,0.015,0.883,0.781,,0.786,0.607
js_semicolons,alt,24,2.0,0.678,0.599,0.748,0.753,0.11,0.87,0.075,,0.027,0.589
js_semicolons,nat,24,1.0,0.795,0.722,0.852,0.863,0.096,0.925,0.815,,0.822,0.856
trailing_commas,alt,24,0.5,0.577,0.491,0.658,0.623,0.277,0.9,0.523,,0.454,0.662
trailing_commas,nat,24,2.0,0.431,0.349,0.517,0.462,0.331,0.777,0.131,,0.123,0.846
py_paren_if,alt,24,2.0,0.467,0.399,0.537,0.548,0.317,0.804,0.02,,0.01,0.563
py_paren_if,nat,24,2.0,0.663,0.595,0.725,0.724,0.271,0.889,0.633,,0.618,0.633
py_type_hints,alt,24,0.5,0.812,0.751,0.861,0.844,0.135,0.953,0.682,,0.745,0.828
py_type_hints,nat,24,4.0,0.906,0.857,0.94,0.969,0.021,0.927,0.104,,0.073,0.719
py_optional,alt,24,0.5,0.005,0.001,0.029,0.01,0.885,0.628,0.0,,0.021,0.602
py_optional,nat,24,0.5,0.178,0.13,0.238,0.199,0.791,0.66,0.157,,0.126,0.597
py_comprehension,alt,24,0.5,0.191,0.142,0.252,0.242,0.438,0.851,0.129,,0.124,0.649
py_comprehension,nat,24,2.0,0.433,0.365,0.503,0.505,0.464,0.804,0.361,,0.361,0.598
py_not_in,alt,24,4.0,0.152,0.105,0.215,0.159,0.677,0.829,0.03,,0.006,0.378
py_not_in,nat,24,1.0,0.415,0.342,0.491,0.439,0.549,0.878,0.366,,0.39,0.518
py_ternary,alt,24,4.0,0.417,0.349,0.489,0.449,0.492,0.877,0.251,,0.246,0.492
py_ternary,nat,24,0.5,0.134,0.092,0.19,0.144,0.588,0.893,0.139,,0.134,0.449
early_return,alt,24,4.0,0.315,0.255,0.382,0.335,0.315,0.95,0.205,,0.235,0.825
early_return,nat,24,4.0,0.305,0.245,0.372,0.325,0.62,0.875,0.31,,0.305,0.49
py_join_concat,alt,24,4.0,0.216,0.162,0.282,0.25,0.528,0.773,0.062,,0.125,0.528
py_join_concat,nat,24,4.0,0.602,0.529,0.672,0.727,0.222,0.835,0.438,,0.42,0.676
py_with_open,alt,24,2.0,0.035,0.017,0.07,0.035,0.945,0.87,0.005,,0.01,0.86
py_with_open,nat,24,4.0,0.11,0.074,0.161,0.155,0.845,0.835,0.07,,0.05,0.575
py_enumerate,alt,24,2.0,0.273,0.215,0.339,0.283,0.616,0.929,0.278,,0.414,0.798
py_enumerate,nat,24,4.0,0.646,0.578,0.71,0.712,0.253,0.899,0.172,,0.152,0.763
py_self_name,alt,24,2.0,0.75,0.686,0.805,0.81,0.05,0.915,0.0,,0.0,0.895
py_self_name,nat,24,1.0,0.99,0.964,0.997,1.0,0.0,0.99,0.97,,0.955,0.91
py_indent,alt,24,4.0,0.78,0.718,0.832,0.945,0.035,0.82,0.005,,0.055,0.55
py_indent,nat,24,1.0,0.9,0.851,0.934,0.98,0.02,0.91,0.73,,0.75,0.925
py_tabs,alt,24,2.0,0.67,0.602,0.731,0.82,0.13,0.81,0.01,,0.01,0.915
py_tabs,nat,24,2.0,0.895,0.845,0.93,0.99,0.01,0.895,0.79,,0.755,0.92
operator_spaces,alt,24,1.0,0.332,0.268,0.402,0.358,0.203,0.952,0.032,,0.091,0.668
operator_spaces,nat,24,0.5,0.802,0.739,0.853,0.834,0.112,0.952,0.775,,0.754,0.861
comma_space,alt,24,4.0,0.5,0.43,0.57,0.583,0.161,0.802,0.01,,0.005,0.693
comma_space,nat,24,0.5,0.766,0.701,0.82,0.833,0.161,0.917,0.76,,0.745,0.839
line_wrap,alt,24,0.5,0.675,0.607,0.736,0.755,0.245,0.89,0.66,,0.685,0.395
line_wrap,nat,24,4.0,0.845,0.788,0.889,1.0,0.0,0.845,0.01,,0.01,0.66
docstring_style,alt,24,4.0,0.91,0.862,0.942,0.92,0.07,0.965,0.05,,0.035,0.97
docstring_style,nat,24,4.0,0.955,0.916,0.976,0.955,0.045,0.97,0.683,,0.719,0.975
docstring_quotes,alt,24,2.0,0.11,0.074,0.161,0.11,0.825,0.88,0.025,,0.01,0.905
docstring_quotes,nat,24,2.0,0.24,0.186,0.304,0.245,0.755,0.93,0.15,,0.125,0.96
comment_case,alt,24,2.0,0.28,0.222,0.346,0.345,0.62,0.65,0.045,,0.045,0.575
comment_case,nat,24,0.5,0.205,0.155,0.266,0.245,0.72,0.635,0.22,,0.175,0.69
comment_language,alt,24,2.0,0.06,0.035,0.102,0.12,0.74,0.535,0.0,,0.0,0.565
comment_language,nat,24,1.0,0.365,0.301,0.434,0.415,0.585,0.73,0.35,,0.305,0.63
c_comment_style,alt,24,4.0,0.13,0.09,0.184,0.22,0.72,0.715,0.005,,0.005,0.775
c_comment_style,nat,24,4.0,0.395,0.33,0.464,0.55,0.45,0.795,0.3,,0.325,0.885
sql_keyword_case,alt,24,2.0,0.275,0.218,0.341,0.305,0.235,0.66,0.02,,0.01,0.87
sql_keyword_case,nat,24,1.0,0.71,0.644,0.768,0.845,0.12,0.74,0.675,,0.67,0.885
