icl_example_index,token_role,k,activation_k,fv_k,feature_dim,target_dim,layer,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
1,pre_label_token,1,1,16,1,16,11,2600,910,41.282169342041016,25.895952224731445,0.16261179745197296,0.20034490525722504,0.09918902069330215
1,pre_label_token,2,2,16,2,16,11,2600,910,37.45337677001953,26.15123176574707,0.14765548706054688,0.2013421654701233,0.09918902069330215
1,pre_label_token,4,4,16,4,16,11,2600,910,32.39334487915039,27.668445587158203,0.1278897523880005,0.20726874470710754,0.09918902069330215
1,pre_label_token,8,8,16,8,16,11,2600,910,25.653648376464844,27.68829917907715,0.10156278312206268,0.20734621584415436,0.09918902069330215
1,pre_label_token,16,16,16,16,16,11,2600,910,21.369041442871094,27.052480697631836,0.08482594788074493,0.20486266911029816,0.09918902069330215
1,pre_label_token,32,32,16,32,16,11,2600,910,18.213382720947266,29.467041015625,0.07249922305345535,0.2142944484949112,0.09918902069330215
1,pre_label_token,64,64,16,64,16,11,2600,910,16.18918800354004,30.08745002746582,0.06459220498800278,0.21671800315380096,0.09918902069330215
1,pre_label_token,128,128,16,128,16,11,2600,910,14.153095245361328,31.330963134765625,0.056638699024915695,0.22157542407512665,0.09918902069330215
1,pre_label_token,256,256,16,256,16,11,2600,910,11.820197105407715,32.987823486328125,0.0475258007645607,0.22804753482341766,0.09918902069330215
1,pre_label_token,512,512,16,512,16,11,2600,910,9.554718017578125,35.69181442260742,0.038676321506500244,0.23860995471477509,0.09918902069330215
1,pre_label_token,1024,1024,16,1024,16,11,2600,910,6.187816619873047,39.764190673828125,0.0255243219435215,0.25451767444610596,0.09918902069330215
1,first_label_token,1,1,16,1,16,11,2600,910,43.318931579589844,25.79848861694336,0.17056772112846375,0.19996419548988342,0.09918902069330215
1,first_label_token,2,2,16,2,16,11,2600,910,38.31300354003906,21.684572219848633,0.15101346373558044,0.18389418721199036,0.09918902069330215
1,first_label_token,4,4,16,4,16,11,2600,910,26.39316177368164,17.792152404785156,0.10445144772529602,0.16868942975997925,0.09918902069330215
1,first_label_token,8,8,16,8,16,11,2600,910,16.983747482299805,15.349152565002441,0.06769590079784393,0.1591464877128601,0.09918902069330215
1,first_label_token,16,16,16,16,16,11,2600,910,10.229971885681152,13.685264587402344,0.04131397232413292,0.1526470184326172,0.09918902069330215
1,first_label_token,32,32,16,32,16,11,2600,910,7.8866286277771,13.1902437210083,0.03216027095913887,0.15071332454681396,0.09918902069330215
1,first_label_token,64,64,16,64,16,11,2600,910,5.602701187133789,13.483475685119629,0.023238707333803177,0.15185868740081787,0.09918902069330215
1,first_label_token,128,128,16,128,16,11,2600,910,4.267795085906982,14.293612480163574,0.018024234101176262,0.15502332150936127,0.09918902069330215
1,first_label_token,256,256,16,256,16,11,2600,910,3.036167860031128,14.621759414672852,0.013213183730840683,0.15630514919757843,0.09918902069330215
1,first_label_token,512,512,16,512,16,11,2600,910,1.9324049949645996,15.333149909973145,0.008901609107851982,0.1590839922428131,0.09918902069330215
1,first_label_token,1024,1024,16,1024,16,11,2600,910,0.7905930876731873,16.63226318359375,0.00444140424951911,0.1641586422920227,0.09918902069330215
