layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-1.507812,-1.468711,-1.507812,0.052718,0.000000,-1.468711,0.046700,-0.000000,nan
1,-1.507812,-1.468711,-1.508207,0.052741,-0.000395,-1.469815,0.046698,-0.001105,2.800003
2,-1.507812,-1.468711,-1.508325,0.052718,-0.000513,-1.469815,0.046675,-0.001105,2.153849
3,-1.507812,-1.468711,-1.507931,0.052707,-0.000118,-1.469302,0.046735,-0.000592,5.000010
4,-1.507812,-1.468711,-1.504182,0.052710,0.003630,-1.466856,0.046729,0.001854,0.510869
5,-1.507812,-1.468711,-1.164931,0.053856,0.342882,-1.303780,0.047960,0.164931,0.481013
6,-1.507812,-1.468711,-1.187973,0.053625,0.319839,-1.343553,0.048222,0.125158,0.391315
7,-1.507812,-1.468711,-1.055122,0.054894,0.452691,-1.279514,0.048970,0.189197,0.417938
8,-1.507812,-1.468711,-0.995936,0.054768,0.511877,-1.252446,0.049207,0.216264,0.422493
9,-1.507812,-1.468711,0.474866,0.052042,1.982678,-0.999684,0.047685,0.469026,0.236562
10,-1.507812,-1.468711,0.741398,0.055905,2.249211,-0.901791,0.046602,0.566919,0.252052
11,-1.507812,-1.468711,0.744871,0.052050,2.252683,-0.859612,0.045033,0.609099,0.270388
12,-1.507812,-1.468711,1.266848,0.050425,2.774661,-0.886719,0.047973,0.581992,0.209752
13,-1.507812,-1.468711,3.925268,0.044257,5.433081,0.655303,0.035244,2.124014,0.390941
14,-1.507812,-1.468711,4.045691,0.042732,5.553504,0.860914,0.043529,2.329624,0.419487
15,-1.507812,-1.468711,2.151436,0.056092,3.659249,0.317393,0.044784,1.786103,0.488107
16,-1.507812,-1.468711,1.399700,0.055693,2.907513,-0.100971,0.047564,1.367740,0.470416
17,-1.507812,-1.468711,0.690301,0.055885,2.198114,-0.136364,0.045612,1.332347,0.606132
18,-1.507812,-1.468711,-0.030066,0.051052,1.477746,-0.500631,0.046360,0.968079,0.655105
19,-1.507812,-1.468711,-0.672072,0.052092,0.835740,-0.839646,0.045724,0.629064,0.752703
20,-1.507812,-1.468711,-0.946378,0.053568,0.561435,-1.025568,0.047910,0.443142,0.789304
21,-1.507812,-1.468711,-1.128946,0.055302,0.378867,-1.132418,0.049215,0.336293,0.887628
22,-1.507812,-1.468711,-1.215080,0.055532,0.292732,-1.187816,0.049340,0.280895,0.959563
23,-1.507812,-1.468711,-1.289181,0.055501,0.218632,-1.242819,0.049341,0.225892,1.033207
24,-1.507812,-1.468711,-1.326862,0.054536,0.180950,-1.280777,0.048289,0.187934,1.038596
25,-1.507812,-1.468711,-1.437421,0.056780,0.070391,-1.409249,0.051224,0.059462,0.844731
26,-1.507812,-1.468711,-1.472735,0.057430,0.035077,-1.438684,0.051562,0.030027,0.856018
27,-1.507812,-1.468711,-1.537484,0.058831,-0.029672,-1.497790,0.052925,-0.029080,0.980053
28,-1.507812,-1.468711,-1.558436,0.059209,-0.050623,-1.508878,0.053084,-0.040167,0.793453
