layer,input,cue,label,query_cue
0,20.59328,17.98397,23.18529,17.89103
1,21.13874,20.02463,25.92049,20.00215
2,20.98753,18.72026,26.59820,19.19672
3,24.69562,21.69864,32.12547,22.27604
4,30.66453,28.26841,40.92393,29.69013
5,33.19364,29.89020,44.16384,30.36351
6,37.51402,32.63022,55.36908,34.50118
7,37.63794,32.43394,54.72942,33.62435
8,39.03021,32.65221,57.51488,33.83479
9,39.64589,31.75418,57.93386,32.82888
10,38.60590,33.51069,56.53025,34.56038
11,36.24929,32.52115,54.18877,33.06511
12,34.10942,30.00247,51.94531,30.37370
13,33.56752,30.29149,51.92057,30.74489
14,32.96347,28.10433,51.85694,28.36801
15,34.38146,28.27378,53.10067,28.89415
16,36.49530,29.23902,54.87032,29.39928
17,36.07063,26.86140,53.82281,26.16654
18,38.19808,28.42381,56.23814,27.43833
19,38.16823,29.83257,56.11821,28.28262
20,40.60968,30.06500,56.46677,28.18405
21,40.31268,29.41262,55.75259,27.23501
22,40.29662,29.00489,55.24336,26.72197
23,41.10636,31.53716,56.74282,29.52705
24,37.08300,29.66490,53.67467,27.94977
25,34.57673,29.19925,53.20455,28.12994
26,31.21952,23.42460,52.13823,22.93010
27,37.68501,34.48689,60.76247,31.73081
