layer,alpha,train_perprompt,train_centroid,train_centroid_refall,test_perprompt,test_centroid,test_centroid_refall
5,1000.0,0.9717,0.9988,0.9988,0.5903,0.6224,0.6482
6,1000.0,0.9674,0.9993,0.9993,0.611,0.6498,0.6741
7,1000.0,0.9638,0.9995,0.9995,0.6224,0.6656,0.6886
8,1000.0,0.9596,0.9996,0.9996,0.6307,0.6796,0.7014
9,1000.0,0.9558,0.9997,0.9997,0.6266,0.6811,0.7031
10,1000.0,0.9529,0.9997,0.9997,0.626,0.6845,0.7063
11,3162.2776601683795,0.971,0.9992,0.9992,0.6498,0.6843,0.706
12,3162.2776601683795,0.9691,0.9994,0.9994,0.6526,0.6897,0.711
13,3162.2776601683795,0.9679,0.9994,0.9994,0.6532,0.6921,0.7133
14,3162.2776601683795,0.967,0.9995,0.9995,0.6494,0.6898,0.711
15,3162.2776601683795,0.9657,0.9995,0.9995,0.6468,0.6894,0.7108
