layer,alpha,train_perprompt,train_centroid,train_centroid_refall,test_perprompt,test_centroid,test_centroid_refall
0,3162.2776601683795,0.8571,0.9014,0.9018,0.2787,0.3543,0.3981
1,3162.2776601683795,0.8935,0.9382,0.9384,0.3479,0.429,0.469
2,10000.0,0.8731,0.9092,0.9095,0.3704,0.4303,0.4701
3,10000.0,0.9065,0.9441,0.9443,0.4323,0.4908,0.5262
4,10000.0,0.9254,0.9628,0.9629,0.4653,0.5229,0.5562
5,10000.0,0.9357,0.9736,0.9737,0.4858,0.5451,0.577
6,10000.0,0.9466,0.9838,0.9839,0.5158,0.5768,0.6066
7,10000.0,0.95,0.9881,0.9882,0.5288,0.592,0.6204
8,10000.0,0.9533,0.9915,0.9915,0.5439,0.607,0.6343
9,10000.0,0.953,0.993,0.9931,0.5501,0.6156,0.6424
10,10000.0,0.9527,0.994,0.9941,0.5541,0.6216,0.6479
11,10000.0,0.951,0.9947,0.9947,0.556,0.6261,0.652
12,10000.0,0.9497,0.9954,0.9954,0.5574,0.6305,0.656
13,10000.0,0.9484,0.9957,0.9957,0.555,0.6325,0.6579
14,10000.0,0.9474,0.9959,0.9959,0.5519,0.6324,0.6577
15,10000.0,0.9462,0.9963,0.9963,0.5517,0.6356,0.6608
16,10000.0,0.9446,0.9965,0.9966,0.544,0.6318,0.6575
17,10000.0,0.9429,0.9968,0.9968,0.5411,0.6327,0.6584
18,10000.0,0.9413,0.9969,0.9969,0.536,0.6314,0.6572
19,31622.776601683792,0.9534,0.9907,0.9907,0.5477,0.6099,0.6373
20,31622.776601683792,0.9536,0.9922,0.9922,0.5543,0.6177,0.6446
21,31622.776601683792,0.9531,0.9927,0.9927,0.5493,0.6143,0.6415
22,31622.776601683792,0.9525,0.9929,0.993,0.5461,0.6125,0.6398
23,31622.776601683792,0.952,0.9933,0.9933,0.5441,0.6118,0.6392
24,31622.776601683792,0.9515,0.994,0.994,0.5408,0.6101,0.6375
25,31622.776601683792,0.9508,0.9943,0.9943,0.5383,0.6094,0.6368
26,31622.776601683792,0.9498,0.9946,0.9947,0.534,0.6072,0.6348
27,31622.776601683792,0.9491,0.9948,0.9948,0.5303,0.6049,0.6326
