icl_example_index,token_role,layer,k,train_sample_count,test_sample_count,train_mse,test_mse
5,pre_label_token,0,5,2600,1170,137633.03125,137442.640625
5,pre_label_token,1,5,2600,1170,30.29069709777832,26.342042922973633
5,pre_label_token,2,5,2600,1170,29.36943817138672,24.067270278930664
5,pre_label_token,3,5,2600,1170,27.685047149658203,25.5230655670166
5,pre_label_token,4,5,2600,1170,20.85964012145996,18.996639251708984
5,pre_label_token,5,5,2600,1170,16.332624435424805,16.190793991088867
5,pre_label_token,6,5,2600,1170,11.671957015991211,15.954949378967285
5,pre_label_token,7,5,2600,1170,9.416084289550781,14.993361473083496
5,pre_label_token,8,5,2600,1170,9.833555221557617,15.968816757202148
5,pre_label_token,9,5,2600,1170,8.491605758666992,10.741926193237305
5,pre_label_token,10,5,2600,1170,8.27192211151123,8.505746841430664
5,pre_label_token,11,5,2600,1170,7.8818511962890625,7.868319511413574
5,pre_label_token,12,5,2600,1170,6.367923736572266,7.587121963500977
5,pre_label_token,13,5,2600,1170,6.177769184112549,7.44788122177124
5,pre_label_token,14,5,2600,1170,7.156203269958496,9.664706230163574
5,pre_label_token,15,5,2600,1170,6.819740295410156,9.661429405212402
5,pre_label_token,16,5,2600,1170,6.521435260772705,8.963200569152832
5,pre_label_token,17,5,2600,1170,7.578115463256836,9.596744537353516
5,pre_label_token,18,5,2600,1170,6.770159721374512,8.895654678344727
5,pre_label_token,19,5,2600,1170,6.873300075531006,9.410798072814941
5,pre_label_token,20,5,2600,1170,7.233400344848633,9.746224403381348
5,pre_label_token,21,5,2600,1170,7.35665225982666,9.2058744430542
5,pre_label_token,22,5,2600,1170,7.623256683349609,9.334905624389648
5,pre_label_token,23,5,2600,1170,8.028321266174316,9.847256660461426
5,pre_label_token,24,5,2600,1170,8.302140235900879,10.029539108276367
5,pre_label_token,25,5,2600,1170,8.806197166442871,10.339659690856934
5,pre_label_token,26,5,2600,1170,9.49366569519043,11.269877433776855
5,pre_label_token,27,5,2600,1170,9.694835662841797,13.036870002746582
5,pre_label_token,28,5,2600,1170,11.537861824035645,17.83806037902832
5,first_label_token,0,5,2600,1170,42.2906494140625,26.179542541503906
5,first_label_token,1,5,2600,1170,36.67612838745117,22.15447425842285
