task,group,n_shots,mean_cos_own_L24,mean_cos_gm_L24,mean_delta_cos_L24,acc
adjective_to_adverb,train,0,0.4372,0.5149,-0.0777,0.0000
adjective_to_adverb,train,1,0.5202,0.5409,-0.0207,0.5933
adjective_to_adverb,train,2,0.5214,0.5208,0.0005,0.7733
adjective_to_adverb,train,3,0.5241,0.5090,0.0151,0.8667
adjective_to_adverb,train,4,0.5253,0.5036,0.0217,0.9000
adjective_to_adverb,train,5,0.5239,0.4963,0.0276,0.9267
adjective_to_adverb,train,6,0.5223,0.4907,0.0316,0.9267
adjective_to_noun,train,0,0.4460,0.5169,-0.0709,0.0000
adjective_to_noun,train,1,0.5169,0.5594,-0.0425,0.2733
adjective_to_noun,train,2,0.5364,0.5647,-0.0284,0.4533
adjective_to_noun,train,3,0.5462,0.5661,-0.0199,0.6067
adjective_to_noun,train,4,0.5491,0.5641,-0.0150,0.6533
adjective_to_noun,train,5,0.5512,0.5627,-0.0115,0.6400
adjective_to_noun,train,6,0.5527,0.5612,-0.0085,0.6867
adverb_to_adjective,train,0,0.4748,0.5102,-0.0354,0.0133
adverb_to_adjective,train,1,0.5673,0.5741,-0.0069,0.7600
adverb_to_adjective,train,2,0.5699,0.5713,-0.0015,0.8400
adverb_to_adjective,train,3,0.5735,0.5693,0.0042,0.9067
adverb_to_adjective,train,4,0.5744,0.5659,0.0085,0.8733
adverb_to_adjective,train,5,0.5753,0.5643,0.0111,0.9400
adverb_to_adjective,train,6,0.5752,0.5620,0.0132,0.9333
ag_news,train,0,0.3921,0.4795,-0.0874,0.0000
ag_news,train,1,0.4977,0.5096,-0.0119,0.4933
ag_news,train,2,0.5029,0.4896,0.0133,0.5733
ag_news,train,3,0.5098,0.4880,0.0219,0.5400
ag_news,train,4,0.5137,0.4873,0.0264,0.5267
ag_news,train,5,0.5218,0.4927,0.0292,0.5133
ag_news,train,6,0.5270,0.4961,0.0309,0.5333
agent_noun_to_verb,train,0,0.4438,0.5087,-0.0649,0.0000
agent_noun_to_verb,train,1,0.5102,0.5332,-0.0231,0.4600
agent_noun_to_verb,train,2,0.5388,0.5473,-0.0085,0.7267
agent_noun_to_verb,train,3,0.5477,0.5482,-0.0005,0.8333
agent_noun_to_verb,train,4,0.5549,0.5507,0.0042,0.8400
agent_noun_to_verb,train,5,0.5579,0.5516,0.0063,0.9267
agent_noun_to_verb,train,6,0.5594,0.5504,0.0090,0.9267
animal_class,train,0,0.4614,0.5042,-0.0428,0.0000
animal_class,train,1,0.5096,0.5022,0.0075,0.4600
animal_class,train,2,0.5353,0.5195,0.0158,0.5533
animal_class,train,3,0.5439,0.5230,0.0209,0.7267
animal_class,train,4,0.5458,0.5218,0.0240,0.7533
animal_class,train,5,0.5463,0.5188,0.0274,0.8200
animal_class,train,6,0.5479,0.5185,0.0294,0.8533
animal_plant_object,train,0,0.4582,0.4962,-0.0380,0.0000
animal_plant_object,train,1,0.4917,0.5024,-0.0107,0.2000
animal_plant_object,train,2,0.5436,0.5432,0.0004,0.3667
animal_plant_object,train,3,0.5623,0.5548,0.0075,0.5867
animal_plant_object,train,4,0.5665,0.5533,0.0132,0.6800
animal_plant_object,train,5,0.5704,0.5533,0.0171,0.8133
animal_plant_object,train,6,0.5728,0.5535,0.0193,0.8400
antonym,train,0,0.4766,0.5120,-0.0353,0.0133
antonym,train,1,0.5347,0.5400,-0.0053,0.4800
antonym,train,2,0.5432,0.5461,-0.0029,0.5400
antonym,train,3,0.5485,0.5507,-0.0022,0.5467
antonym,train,4,0.5531,0.5547,-0.0016,0.5733
antonym,train,5,0.5555,0.5573,-0.0018,0.5267
antonym,train,6,0.5566,0.5580,-0.0014,0.5933
article_choice,train,0,0.4315,0.5088,-0.0773,0.0000
article_choice,train,1,0.4328,0.4787,-0.0459,0.0933
article_choice,train,2,0.4879,0.4991,-0.0113,0.6267
article_choice,train,3,0.4980,0.4958,0.0022,0.7867
article_choice,train,4,0.5035,0.4978,0.0057,0.7600
