family,prompts,instances,median_tokens_per_instance,whitespace_only_share,outside_prompt_share,shared_tokens_dropped
py_snake_camel,400,1600,2.0,0.0,0.0,1386
js_camel_snake,400,1600,2.0,0.0,0.0,722
py_const_naming,400,1600,3.0,0.0,0.0,14
py_class_naming,400,1600,2.0,0.0,0.0,210
py_private,400,1600,1.0,0.0,0.0,3234
py_bool_prefix,400,1600,2.0,0.0,0.0,1982
py_loop_vars,376,1504,1.0,0.0,0.0,34
js_hungarian,400,1600,2.0,0.0,0.0,2171
py_abbrev,400,1600,1.0,0.0,0.0,754
py_quotes,384,1536,1.0,0.0,0.0,422
js_quotes,378,1512,1.0,0.0,0.0,604
py_fstring,400,1600,1.0,0.0,0.0013,79
js_template,396,1584,1.0,0.0,0.0,396
num_separators,262,1048,3.0,0.0,0.0,3641
hex_constants,354,1416,2.0,0.0,0.0,845
float_literals,324,1296,1.0,0.004,0.0,8
sql_bool_case,266,1064,1.0,0.0,0.0,0
py2_print,400,1600,1.0,0.007,0.0006,506
py2_iter,288,1152,1.0,0.0,0.0,43
py2_except,354,1416,1.0,0.0,0.0,0
js_var,400,1600,1.0,0.0,0.0,0
js_arrow,392,1568,1.0,0.0,0.0,78
js_semicolons,292,1168,1.0,0.185,0.0,100
js_strict_eq,214,856,1.0,0.0,0.0,0
trailing_commas,260,1040,1.0,0.155,0.0,28
py_paren_if,398,1592,1.0,0.0,0.0,12
py_type_hints,384,1536,2.0,0.001,0.0,0
py_optional,382,1528,3.0,0.007,0.0,75
py_builtin_generics,226,904,1.0,0.003,0.0,102
py_comprehension,388,1552,1.0,0.001,0.0,66
py_not_in,328,1312,1.0,0.0,0.0,848
py_is_none,228,912,1.0,0.0,0.0,0
py_ternary,374,1496,3.0,0.014,0.0,705
early_return,400,1600,2.0,0.189,0.0,795
py_join_concat,352,1408,2.0,0.003,0.0,416
py_with_open,400,1600,2.0,0.064,0.0,604
py_enumerate,396,1584,2.0,0.0,0.0,82
py_self_name,400,1600,1.0,0.0,0.0,0
py_indent,400,1600,1.0,0.996,0.0,1728
py_tabs,400,1600,2.0,0.119,0.0,110
operator_spaces,374,1496,1.0,0.007,0.0,220
comma_space,384,1536,1.0,0.127,0.0,1462
line_wrap,400,1600,3.0,0.014,0.0006,1333
blank_lines,284,1136,1.0,0.364,0.0,20
docstring_style,398,1592,4.0,0.015,0.0,1432
docstring_quotes,400,1600,1.0,0.0,0.0,0
comment_case,400,1600,1.0,0.0,0.0,58
comment_language,400,1600,8.0,0.001,0.0,418
c_comment_style,400,1600,1.0,0.144,0.0,106
sql_keyword_case,400,1600,1.0,0.0,0.0,966
sql_join_style,366,1464,1.0,0.005,0.0,108
r_assignment,400,1600,1.0,0.0,0.0,0
rust_question,330,1320,1.0,0.007,0.0,46
bash_test,400,1600,1.0,0.0,0.0,20
php_array,386,1544,1.0,0.0,0.0,96
