family,n_nat,n_alt,tokens_per_prompt_nat,tokens_per_prompt_alt,layer,rel_norm,split_half_cos,cos_read_write,cos_read_write_L24
py_snake_camel,200,200,11.51,10.62,0,0.9038,,,0.002
py_snake_camel,200,200,11.51,10.62,1,0.4569,0.994,-0.011,0.022
py_snake_camel,200,200,11.51,10.62,2,0.4109,0.995,-0.004,0.044
py_snake_camel,200,200,11.51,10.62,3,0.3546,0.994,0.119,0.085
py_snake_camel,200,200,11.51,10.62,4,0.3822,0.995,0.151,0.089
py_snake_camel,200,200,11.51,10.62,5,0.3545,0.995,0.171,0.102
py_snake_camel,200,200,11.51,10.62,6,0.3322,0.994,0.305,0.137
py_snake_camel,200,200,11.51,10.62,7,0.2887,0.994,0.409,0.137
py_snake_camel,200,200,11.51,10.62,8,0.3102,0.994,0.465,0.143
py_snake_camel,200,200,11.51,10.62,9,0.3096,0.995,0.443,0.156
py_snake_camel,200,200,11.51,10.62,10,0.29,0.995,0.466,0.176
py_snake_camel,200,200,11.51,10.62,11,0.2826,0.996,0.454,0.169
py_snake_camel,200,200,11.51,10.62,12,0.2957,0.996,0.457,0.188
py_snake_camel,200,200,11.51,10.62,13,0.2855,0.996,0.464,0.191
py_snake_camel,200,200,11.51,10.62,14,0.2718,0.995,0.47,0.204
py_snake_camel,200,200,11.51,10.62,15,0.2605,0.995,0.404,0.207
py_snake_camel,200,200,11.51,10.62,16,0.2536,0.996,0.369,0.196
py_snake_camel,200,200,11.51,10.62,17,0.2413,0.995,0.377,0.213
py_snake_camel,200,200,11.51,10.62,18,0.2514,0.995,0.406,0.296
py_snake_camel,200,200,11.51,10.62,19,0.259,0.996,0.411,0.311
py_snake_camel,200,200,11.51,10.62,20,0.2575,0.997,0.537,0.364
py_snake_camel,200,200,11.51,10.62,21,0.2713,0.997,0.609,0.444
py_snake_camel,200,200,11.51,10.62,22,0.2724,0.997,0.613,0.458
py_snake_camel,200,200,11.51,10.62,23,0.2801,0.997,0.637,0.587
py_snake_camel,200,200,11.51,10.62,24,0.2822,0.997,0.593,0.593
py_snake_camel,200,200,11.51,10.62,25,0.2544,0.997,0.764,0.667
py_snake_camel,200,200,11.51,10.62,26,0.2538,0.997,0.818,0.666
py_snake_camel,200,200,11.51,10.62,27,0.3115,0.998,0.888,0.568
py_snake_camel,200,200,11.51,10.62,28,0.7356,1.0,0.986,0.136
js_camel_snake,200,200,7.41,7.93,0,0.9408,,,0.013
js_camel_snake,200,200,7.41,7.93,1,0.4711,0.993,-0.045,0.011
js_camel_snake,200,200,7.41,7.93,2,0.4147,0.994,-0.029,0.033
js_camel_snake,200,200,7.41,7.93,3,0.3762,0.994,0.091,0.071
js_camel_snake,200,200,7.41,7.93,4,0.3507,0.993,0.094,0.067
js_camel_snake,200,200,7.41,7.93,5,0.4656,0.996,0.148,0.07
js_camel_snake,200,200,7.41,7.93,6,0.4244,0.995,0.257,0.096
js_camel_snake,200,200,7.41,7.93,7,0.3757,0.995,0.371,0.1
js_camel_snake,200,200,7.41,7.93,8,0.3721,0.994,0.45,0.111
js_camel_snake,200,200,7.41,7.93,9,0.3805,0.994,0.433,0.123
js_camel_snake,200,200,7.41,7.93,10,0.3489,0.994,0.46,0.127
js_camel_snake,200,200,7.41,7.93,11,0.3312,0.994,0.468,0.122
js_camel_snake,200,200,7.41,7.93,12,0.3425,0.994,0.47,0.135
js_camel_snake,200,200,7.41,7.93,13,0.3323,0.994,0.483,0.144
js_camel_snake,200,200,7.41,7.93,14,0.3135,0.994,0.484,0.157
js_camel_snake,200,200,7.41,7.93,15,0.301,0.993,0.451,0.161
js_camel_snake,200,200,7.41,7.93,16,0.287,0.994,0.413,0.162
js_camel_snake,200,200,7.41,7.93,17,0.2727,0.993,0.398,0.181
js_camel_snake,200,200,7.41,7.93,18,0.2751,0.992,0.423,0.243
js_camel_snake,200,200,7.41,7.93,19,0.2713,0.994,0.426,0.266
js_camel_snake,200,200,7.41,7.93,20,0.2651,0.995,0.529,0.328
js_camel_snake,200,200,7.41,7.93,21,0.271,0.995,0.598,0.413
js_camel_snake,200,200,7.41,7.93,22,0.2791,0.996,0.583,0.408
js_camel_snake,200,200,7.41,7.93,23,0.2649,0.995,0.588,0.528
js_camel_snake,200,200,7.41,7.93,24,0.2757,0.997,0.566,0.566
js_camel_snake,200,200,7.41,7.93,25,0.2462,0.996,0.757,0.654
js_camel_snake,200,200,7.41,7.93,26,0.2457,0.996,0.822,0.662
js_camel_snake,200,200,7.41,7.93,27,0.2935,0.997,0.887,0.552
js_camel_snake,200,200,7.41,7.93,28,0.8065,1.0,0.988,0.062
py_const_naming,200,200,14.29,11.37,0,1.0365,,,0.049
py_const_naming,200,200,14.29,11.37,1,0.4657,0.993,0.041,0.175
py_const_naming,200,200,14.29,11.37,2,0.4115,0.994,0.132,0.233
py_const_naming,200,200,14.29,11.37,3,0.4175,0.994,0.228,0.287
py_const_naming,200,200,14.29,11.37,4,0.4302,0.994,0.329,0.294
py_const_naming,200,200,14.29,11.37,5,0.4327,0.995,0.503,0.322
py_const_naming,200,200,14.29,11.37,6,0.4056,0.995,0.488,0.345
py_const_naming,200,200,14.29,11.37,7,0.3745,0.995,0.508,0.355
py_const_naming,200,200,14.29,11.37,8,0.4043,0.995,0.635,0.384
py_const_naming,200,200,14.29,11.37,9,0.4159,0.995,0.617,0.406
py_const_naming,200,200,14.29,11.37,10,0.3954,0.995,0.64,0.415
py_const_naming,200,200,14.29,11.37,11,0.3822,0.996,0.657,0.414
py_const_naming,200,200,14.29,11.37,12,0.3868,0.995,0.662,0.429
py_const_naming,200,200,14.29,11.37,13,0.3754,0.995,0.635,0.432
py_const_naming,200,200,14.29,11.37,14,0.349,0.995,0.645,0.446
py_const_naming,200,200,14.29,11.37,15,0.3432,0.995,0.646,0.448
py_const_naming,200,200,14.29,11.37,16,0.3297,0.995,0.632,0.448
py_const_naming,200,200,14.29,11.37,17,0.3144,0.995,0.638,0.452
py_const_naming,200,200,14.29,11.37,18,0.3167,0.995,0.602,0.448
py_const_naming,200,200,14.29,11.37,19,0.339,0.996,0.628,0.456
py_const_naming,200,200,14.29,11.37,20,0.3342,0.996,0.65,0.456
py_const_naming,200,200,14.29,11.37,21,0.3449,0.996,0.608,0.511
py_const_naming,200,200,14.29,11.37,22,0.3571,0.997,0.587,0.518
py_const_naming,200,200,14.29,11.37,23,0.3531,0.996,0.524,0.523
py_const_naming,200,200,14.29,11.37,24,0.3634,0.997,0.528,0.528
py_const_naming,200,200,14.29,11.37,25,0.3865,0.998,0.578,0.49
py_const_naming,200,200,14.29,11.37,26,0.4094,0.998,0.501,0.473
py_const_naming,200,200,14.29,11.37,27,0.6158,0.999,0.457,0.369
py_const_naming,200,200,14.29,11.37,28,1.0966,1.0,0.603,0.023
py_class_naming,200,200,9.03,9.29,0,0.7964,,,-0.011
py_class_naming,200,200,9.03,9.29,1,0.3366,0.992,-0.037,0.034
py_class_naming,200,200,9.03,9.29,2,0.3227,0.995,-0.106,0.069
py_class_naming,200,200,9.03,9.29,3,0.3414,0.995,0.082,0.104
py_class_naming,200,200,9.03,9.29,4,0.3573,0.996,0.096,0.104
py_class_naming,200,200,9.03,9.29,5,0.3598,0.995,0.082,0.121
py_class_naming,200,200,9.03,9.29,6,0.3763,0.995,0.158,0.147
py_class_naming,200,200,9.03,9.29,7,0.3204,0.995,0.168,0.162
py_class_naming,200,200,9.03,9.29,8,0.3244,0.995,0.256,0.201
py_class_naming,200,200,9.03,9.29,9,0.3147,0.994,0.255,0.208
py_class_naming,200,200,9.03,9.29,10,0.3061,0.995,0.342,0.223
py_class_naming,200,200,9.03,9.29,11,0.2911,0.996,0.384,0.227
py_class_naming,200,200,9.03,9.29,12,0.3052,0.996,0.404,0.253
py_class_naming,200,200,9.03,9.29,13,0.3061,0.997,0.401,0.24
py_class_naming,200,200,9.03,9.29,14,0.2992,0.997,0.415,0.216
py_class_naming,200,200,9.03,9.29,15,0.2937,0.997,0.427,0.235
py_class_naming,200,200,9.03,9.29,16,0.2936,0.997,0.387,0.24
py_class_naming,200,200,9.03,9.29,17,0.2764,0.997,0.424,0.278
py_class_naming,200,200,9.03,9.29,18,0.2799,0.997,0.411,0.313
py_class_naming,200,200,9.03,9.29,19,0.2838,0.997,0.399,0.301
py_class_naming,200,200,9.03,9.29,20,0.2613,0.997,0.469,0.296
py_class_naming,200,200,9.03,9.29,21,0.2942,0.998,0.576,0.456
py_class_naming,200,200,9.03,9.29,22,0.2788,0.998,0.587,0.442
py_class_naming,200,200,9.03,9.29,23,0.2724,0.997,0.529,0.484
py_class_naming,200,200,9.03,9.29,24,0.2568,0.997,0.472,0.472
py_class_naming,200,200,9.03,9.29,25,0.2335,0.997,0.463,0.443
py_class_naming,200,200,9.03,9.29,26,0.2638,0.997,0.364,0.379
py_class_naming,200,200,9.03,9.29,27,0.3141,0.998,0.198,0.233
py_class_naming,200,200,9.03,9.29,28,0.8573,1.0,0.002,0.014
py_private,200,200,4.01,4.01,0,1.1963,,,-0.001
py_private,200,200,4.01,4.01,1,0.8026,1.0,0.011,-0.07
py_private,200,200,4.01,4.01,2,0.8663,1.0,-0.018,-0.069
py_private,200,200,4.01,4.01,3,0.6478,1.0,-0.024,-0.07
py_private,200,200,4.01,4.01,4,0.6512,1.0,-0.276,-0.078
py_private,200,200,4.01,4.01,5,0.6643,1.0,-0.321,-0.082
py_private,200,200,4.01,4.01,6,0.6102,1.0,-0.254,-0.092
py_private,200,200,4.01,4.01,7,0.6711,1.0,-0.28,-0.088
py_private,200,200,4.01,4.01,8,0.7277,1.0,-0.205,-0.097
py_private,200,200,4.01,4.01,9,0.7074,1.0,-0.204,-0.085
py_private,200,200,4.01,4.01,10,0.6262,1.0,-0.184,-0.095
py_private,200,200,4.01,4.01,11,0.612,1.0,-0.216,-0.095
py_private,200,200,4.01,4.01,12,0.6097,0.999,-0.222,-0.092
py_private,200,200,4.01,4.01,13,0.6066,0.999,-0.226,-0.09
py_private,200,200,4.01,4.01,14,0.5706,0.999,-0.234,-0.09
py_private,200,200,4.01,4.01,15,0.5464,0.999,-0.191,-0.087
py_private,200,200,4.01,4.01,16,0.5203,0.999,-0.186,-0.086
py_private,200,200,4.01,4.01,17,0.4987,0.999,-0.159,-0.083
py_private,200,200,4.01,4.01,18,0.4861,0.999,-0.103,-0.083
py_private,200,200,4.01,4.01,19,0.4483,0.999,-0.106,-0.083
py_private,200,200,4.01,4.01,20,0.399,0.999,-0.071,-0.085
py_private,200,200,4.01,4.01,21,0.414,0.999,-0.065,-0.1
py_private,200,200,4.01,4.01,22,0.3757,0.999,-0.078,-0.102
py_private,200,200,4.01,4.01,23,0.3521,0.998,-0.07,-0.101
py_private,200,200,4.01,4.01,24,0.2865,0.998,-0.097,-0.097
py_private,200,200,4.01,4.01,25,0.2299,0.998,-0.033,-0.076
py_private,200,200,4.01,4.01,26,0.1971,0.997,-0.012,-0.071
py_private,200,200,4.01,4.01,27,0.1615,0.996,0.083,-0.039
py_private,200,200,4.01,4.01,28,0.0747,0.992,0.232,0.0
py_bool_prefix,200,200,8.58,4.08,0,1.0835,,,-0.023
py_bool_prefix,200,200,8.58,4.08,1,0.477,0.99,0.092,-0.034
py_bool_prefix,200,200,8.58,4.08,2,0.4365,0.992,0.089,-0.047
py_bool_prefix,200,200,8.58,4.08,3,0.4812,0.994,0.033,-0.06
py_bool_prefix,200,200,8.58,4.08,4,0.5143,0.994,0.103,-0.053
py_bool_prefix,200,200,8.58,4.08,5,0.5061,0.994,0.136,-0.065
py_bool_prefix,200,200,8.58,4.08,6,0.4924,0.994,0.114,-0.06
py_bool_prefix,200,200,8.58,4.08,7,0.4654,0.994,0.145,-0.05
py_bool_prefix,200,200,8.58,4.08,8,0.49,0.993,0.202,-0.05
py_bool_prefix,200,200,8.58,4.08,9,0.4971,0.992,0.181,-0.056
py_bool_prefix,200,200,8.58,4.08,10,0.4594,0.993,0.253,-0.048
py_bool_prefix,200,200,8.58,4.08,11,0.4577,0.993,0.238,-0.038
py_bool_prefix,200,200,8.58,4.08,12,0.4675,0.992,0.218,-0.039
py_bool_prefix,200,200,8.58,4.08,13,0.4608,0.992,0.226,-0.037
py_bool_prefix,200,200,8.58,4.08,14,0.4412,0.991,0.191,-0.03
py_bool_prefix,200,200,8.58,4.08,15,0.41,0.991,0.187,-0.028
py_bool_prefix,200,200,8.58,4.08,16,0.408,0.99,0.158,-0.031
py_bool_prefix,200,200,8.58,4.08,17,0.3887,0.99,0.161,-0.016
py_bool_prefix,200,200,8.58,4.08,18,0.3862,0.989,0.123,-0.012
py_bool_prefix,200,200,8.58,4.08,19,0.3924,0.99,0.117,-0.006
py_bool_prefix,200,200,8.58,4.08,20,0.3783,0.991,0.151,-0.001
py_bool_prefix,200,200,8.58,4.08,21,0.3732,0.991,0.085,0.003
py_bool_prefix,200,200,8.58,4.08,22,0.356,0.991,0.101,-0.002
py_bool_prefix,200,200,8.58,4.08,23,0.3379,0.989,0.03,0.003
py_bool_prefix,200,200,8.58,4.08,24,0.2927,0.989,-0.008,-0.008
py_bool_prefix,200,200,8.58,4.08,25,0.2507,0.987,-0.016,-0.01
py_bool_prefix,200,200,8.58,4.08,26,0.2328,0.986,-0.011,-0.031
py_bool_prefix,200,200,8.58,4.08,27,0.2293,0.984,-0.021,-0.016
py_bool_prefix,200,200,8.58,4.08,28,0.1372,0.987,-0.275,-0.067
py_loop_vars,188,188,4.07,4.29,0,1.1183,,,-0.038
py_loop_vars,188,188,4.07,4.29,1,0.7912,0.998,0.034,-0.077
py_loop_vars,188,188,4.07,4.29,2,0.6362,0.997,0.05,-0.082
py_loop_vars,188,188,4.07,4.29,3,0.6322,0.997,0.014,-0.083
py_loop_vars,188,188,4.07,4.29,4,0.6145,0.997,-0.025,-0.078
py_loop_vars,188,188,4.07,4.29,5,0.6713,0.997,-0.039,-0.083
py_loop_vars,188,188,4.07,4.29,6,0.6287,0.997,-0.063,-0.079
py_loop_vars,188,188,4.07,4.29,7,0.6251,0.997,-0.027,-0.062
py_loop_vars,188,188,4.07,4.29,8,0.6803,0.997,0.041,-0.054
py_loop_vars,188,188,4.07,4.29,9,0.6865,0.996,0.062,-0.053
py_loop_vars,188,188,4.07,4.29,10,0.6219,0.996,0.11,-0.058
py_loop_vars,188,188,4.07,4.29,11,0.6022,0.996,0.099,-0.058
py_loop_vars,188,188,4.07,4.29,12,0.6076,0.996,0.093,-0.061
py_loop_vars,188,188,4.07,4.29,13,0.5952,0.995,0.1,-0.061
py_loop_vars,188,188,4.07,4.29,14,0.5745,0.995,0.103,-0.055
py_loop_vars,188,188,4.07,4.29,15,0.5451,0.995,0.075,-0.052
py_loop_vars,188,188,4.07,4.29,16,0.5211,0.995,0.06,-0.048
py_loop_vars,188,188,4.07,4.29,17,0.5026,0.994,0.066,-0.044
py_loop_vars,188,188,4.07,4.29,18,0.5132,0.994,0.083,-0.025
py_loop_vars,188,188,4.07,4.29,19,0.4939,0.994,0.11,-0.014
py_loop_vars,188,188,4.07,4.29,20,0.4606,0.994,0.14,-0.002
