layer,train_accuracy,test_accuracy,train_log_loss,test_log_loss
0,1.0,0.5857400722021661,0.0015295803618827332,0.7238026148163133
1,1.0,0.5830324909747292,0.001565298276159708,0.8140338002570325
2,1.0,0.605595667870036,0.0015418838966218939,0.7742103528827674
3,1.0,0.6001805054151624,0.001499957061877101,0.7772943966087825
4,1.0,0.6362815884476535,0.0014457285073165107,0.7212049375636373
5,1.0,0.7292418772563177,0.0013085220468289217,0.5619750002298839
6,1.0,0.7924187725631769,0.0012251950820219779,0.43954501204136437
7,1.0,0.8447653429602888,0.0011528237110224509,0.3528563878864645
8,1.0,0.9178700361010831,0.000990893533785952,0.22392561115917317
9,1.0,0.9476534296028881,0.0009333839487230513,0.16284695027030924
10,1.0,0.953971119133574,0.000922264715186456,0.14847680193155197
11,1.0,0.9675090252707581,0.0008602777215423792,0.1069015013415922
12,1.0,0.9711191335740073,0.000863278125030148,0.09456353409490127
13,1.0,0.9747292418772563,0.0008615259330600729,0.08514054938753962
14,1.0,0.9765342960288809,0.0008925002551529497,0.08555822186747115
15,1.0,0.973826714801444,0.0009113653812743043,0.09479559821506936
16,1.0,0.9711191335740073,0.000942328307637668,0.10412450804936485
17,1.0,0.9693140794223827,0.0009773974301851818,0.1182171611227702
18,1.0,0.9629963898916968,0.0009883063598692039,0.13165934452797867
19,1.0,0.9593862815884476,0.0010129385968952742,0.14904040941025729
20,1.0,0.9557761732851986,0.0010280740243772666,0.1513561744412439
21,1.0,0.9431407942238267,0.0010373979163043243,0.1717220037167453
22,1.0,0.9350180505415162,0.0010591516677093034,0.18329793231178595
23,1.0,0.9314079422382672,0.0010800286511448004,0.19470354610517793
24,1.0,0.9305054151624549,0.0010864433183047112,0.1927718697414914
25,1.0,0.927797833935018,0.0010892505310121218,0.19774780532836514
26,1.0,0.9305054151624549,0.0011038018664473847,0.19968883876216115
27,1.0,0.9250902527075813,0.001102379444229076,0.2033130881527075
28,1.0,0.9250902527075813,0.0010957073923821884,0.20829396972945713
