tag,split,n_test,lam,lofo_r2,r2_train_mean_denom,r2_test_mean_denom,cos_mean
v8_pairdiff_unitnorm_split66_s1,66/34,19,10.0,0.1,0.22,0.169,0.44
v8_pairdiff_unitnorm_split66_s2,66/34,19,10.0,0.094,0.237,0.157,0.427
v8_pairdiff_unitnorm_split66_s3,66/34,19,10.0,0.064,0.288,0.216,0.508
v8_pairdiff_unitnorm_split66_s4,66/34,19,10.0,0.09,0.21,0.152,0.428
v8_pairdiff_unitnorm_split66_s5,66/34,19,10.0,0.067,0.267,0.198,0.463
v8_pairdiff_unitnorm_split80_s1,80/20,11,10.0,0.098,0.273,0.186,0.482
v8_pairdiff_unitnorm_split80_s2,80/20,11,10.0,0.121,0.193,0.065,0.375
v8_pairdiff_unitnorm_split80_s3,80/20,11,10.0,0.097,0.346,0.237,0.57
v8_pairdiff_unitnorm_split80_s4,80/20,11,10.0,0.12,0.132,0.019,0.369
v8_pairdiff_unitnorm_split80_s5,80/20,11,10.0,0.114,0.208,0.121,0.422
