task,group,zero_shot,dummy6_unsteered,real_1shot,dummy1_steered_L6_best,dummy6_steered_best,real_6shot,dummy6_steer_a0.5,dummy6_steer_a1.0,dummy6_steer_a2.0,dummy6_steer_a4.0
adjective_to_adverb,train,0.0,0.0,0.2533,0.1067,0.7,0.7067,0.0,0.04,0.6867,0.7
adjective_to_noun,train,0.0,0.0,0.12,0.2067,0.4067,0.3133,0.0,0.0333,0.4067,0.3867
ag_news,heldout,0.0,0.0,0.1533,0.0067,0.1133,0.3333,0.0,0.0,0.1133,0.0667
agent_noun_to_verb,train,0.0,0.0,0.2333,0.2067,0.6,0.5867,0.0,0.0333,0.4533,0.6
animal_class,train,0.0,0.0,0.2333,0.08,0.36,0.6533,0.0,0.0733,0.3467,0.36
animal_plant_object,train,0.0,0.0,0.08,0.0267,0.1933,0.5933,0.0,0.0067,0.0867,0.1933
antonym,train,0.0133,0.0,0.0333,0.04,0.2067,0.32,0.0,0.0067,0.12,0.2067
article_choice,train,0.0,0.0,0.06,0.0267,0.2467,0.5333,0.0,0.0,0.12,0.2467
capitalize,train,0.0,0.0,0.2733,0.2667,0.8933,0.9067,0.0,0.22,0.8533,0.8933
capitalize_first_letter,train,0.0,0.0,0.0733,0.12,0.76,0.6067,0.0067,0.14,0.76,0.72
city-country,train,0.0067,0.0,0.3533,0.06,0.5733,0.74,0.0,0.0333,0.5133,0.5733
compound_first,train,0.0,0.0,0.1133,0.1333,0.4867,0.5467,0.0,0.0067,0.4133,0.4867
concrete_abstract,train,0.0,0.0,0.02,0.02,0.3067,0.4267,0.0,0.0,0.1733,0.3067
contains_letter_e,train,0.0267,0.0,0.2267,0.0333,0.3667,0.54,0.0,0.0,0.28,0.3667
country-capital,train,0.0,0.0,0.46,0.24,0.6933,0.7533,0.0,0.0933,0.6933,0.6667
day_after_textual_date,train,0.0,0.0,0.4267,0.0,0.0867,0.9533,0.0,0.0,0.0867,0.08
ends_with_ing,heldout,0.0067,0.0,0.26,0.04,0.34,0.5133,0.0,0.0067,0.1733,0.34
english-french,heldout,0.0,0.0,0.1867,0.1333,0.48,0.5533,0.0,0.0,0.4533,0.48
english-italian,train,0.0,0.0,0.2333,0.2467,0.5067,0.5467,0.0,0.0067,0.38,0.5067
english-portuguese,train,0.0,0.0,0.28,0.1933,0.5667,0.54,0.0,0.0267,0.46,0.5667
english-spanish,train,0.0,0.0,0.2933,0.2733,0.5467,0.5667,0.0,0.02,0.5,0.5467
first_digit,heldout,0.0067,0.0,0.06,0.0533,0.26,0.6067,0.0,0.0,0.12,0.26
first_three_letters,train,0.0,0.0,0.1,0.14,0.3733,0.3067,0.0,0.08,0.3467,0.3733
french-english,heldout,0.0,0.0,0.4533,0.3933,0.6867,0.62,0.0,0.02,0.4333,0.6867
french_noun_gender,train,0.0,0.0,0.1867,0.02,0.3267,0.6533,0.0,0.0,0.24,0.3267
german-english,train,0.0,0.0,0.2933,0.42,0.7067,0.6533,0.0,0.0267,0.4867,0.7067
german_noun_gender,train,0.0,0.0,0.0933,0.0,0.0933,0.38,0.0,0.0,0.0133,0.0933
gerund_to_base,heldout,0.0,0.0,0.2133,0.3533,0.86,0.72,0.0,0.1667,0.7867,0.86
gerund_to_past,train,0.0,0.0,0.1733,0.0533,0.5867,0.6067,0.0,0.0667,0.58,0.5867
hypernym_category,train,0.0,0.0,0.12,0.0667,0.3267,0.32,0.0067,0.0067,0.1333,0.3267
initials_two_words,heldout,0.0,0.0,0.04,0.0467,0.5933,0.6933,0.0,0.0667,0.5667,0.5933
iso_date_to_month,train,0.0,0.0,0.3333,0.0067,0.22,0.9733,0.0,0.0,0.22,0.1733
iso_date_year_plus_one,train,0.0,0.0,0.1133,0.0,0.0867,0.8467,0.0,0.0,0.0733,0.0867
landmark-country,train,0.0,0.0,0.1533,0.0533,0.4,0.5,0.0133,0.02,0.3267,0.4
language_identification,train,0.0,0.0,0.12,0.0067,0.1467,0.7667,0.0,0.0,0.14,0.1467
larger_of_pair,train,0.0,0.0,0.24,0.0533,0.3133,0.56,0.0,0.12,0.3067,0.3133
larger_than_1000,train,0.0,0.0,0.18,0.0133,0.3,0.5267,0.0,0.02,0.3,0.28
lowercase_first_letter,train,0.0,0.0,0.16,0.16,0.7467,0.6533,0.0067,0.1067,0.62,0.7467
lowercase_word,train,0.0,0.0,0.4267,0.6,0.9867,0.9733,0.0067,0.54,0.9667,0.9867
national_parks,train,0.0,0.0,0.2933,0.0533,0.3067,0.5267,0.0,0.0467,0.3067,0.2467
