task,icl_index,token_role,layer,n_rows,cell_rank90,stable_rank,rank90,participation_ratio,n_pca50,mean_pairwise_cos
commonsense_qa,1,pre_label_token,0,170,1,1.000001806239457,1,1.0000036124820657,1,0.16129350662231445
national_parks,1,pre_label_token,0,170,1,1.000001672331997,1,1.0000033446666827,1,0.8072097897529602
capitalize,1,pre_label_token,0,170,1,1.0000019635403372,1,1.0000039270843946,1,0.6751863360404968
capitalize_first_letter,1,pre_label_token,0,170,1,1.0000018363349676,1,1.0000036726731998,1,0.4298399090766907
commonsense_qa,1,pre_label_token,1,170,7,2.817068857059337,5,4.683169049573655,2,0.9999188184738159
national_parks,1,pre_label_token,1,170,7,2.9692551867330175,5,4.351303771632637,2,0.9999297261238098
capitalize,1,pre_label_token,1,170,7,3.0097860011848714,5,4.709787112007852,2,0.9998666048049927
capitalize_first_letter,1,pre_label_token,1,170,7,3.245818483433527,5,4.906675514344229,2,0.9998530745506287
commonsense_qa,1,pre_label_token,2,170,8,2.5517101726340425,6,4.442045016458164,2,0.9997509121894836
national_parks,1,pre_label_token,2,170,8,3.7184386262349647,5,5.157280294800048,2,0.9997768402099609
capitalize,1,pre_label_token,2,170,8,2.2652305717575927,6,3.8608290468890623,2,0.9994899034500122
capitalize_first_letter,1,pre_label_token,2,170,8,3.0760663506796364,6,4.921342313856014,2,0.9995077252388
commonsense_qa,1,pre_label_token,3,170,37,3.369353238384871,13,7.131807637293301,3,0.9951124787330627
national_parks,1,pre_label_token,3,170,37,5.39713030758347,18,13.290583054685095,6,0.9942213892936707
capitalize,1,pre_label_token,3,170,37,7.394349537889276,14,13.81104408716439,6,0.9297881126403809
capitalize_first_letter,1,pre_label_token,3,170,37,9.21451945099217,14,14.768892880104477,6,0.9284893274307251
commonsense_qa,1,pre_label_token,4,170,11,3.033574656662649,6,5.088717308996903,2,0.9993375539779663
national_parks,1,pre_label_token,4,170,11,2.8108107675621765,7,5.2261137922218985,2,0.9994527697563171
capitalize,1,pre_label_token,4,170,11,2.1224177598835783,6,3.6826423222860294,2,0.9984560012817383
capitalize_first_letter,1,pre_label_token,4,170,11,2.2390388899792777,6,3.8972591881913417,2,0.9983993172645569
commonsense_qa,1,pre_label_token,5,170,11,3.1217462822624045,6,5.19212294202974,2,0.9990020394325256
national_parks,1,pre_label_token,5,170,11,2.709322419362703,7,5.05864771121942,2,0.9990591406822205
capitalize,1,pre_label_token,5,170,11,2.0597969815875965,6,3.553716075219926,2,0.9972297549247742
capitalize_first_letter,1,pre_label_token,5,170,11,2.212688477334888,6,3.841309075414711,2,0.997142493724823
commonsense_qa,1,pre_label_token,6,170,11,3.0696911544000565,7,5.219273130397287,2,0.9986119270324707
national_parks,1,pre_label_token,6,170,11,2.803347742587243,7,5.2681934491553895,2,0.998701810836792
capitalize,1,pre_label_token,6,170,11,2.1524791459640604,6,3.782632507330958,2,0.9965115189552307
capitalize_first_letter,1,pre_label_token,6,170,11,2.3152863526602614,7,4.067271526773882,2,0.9964473843574524
commonsense_qa,1,pre_label_token,7,170,11,3.2162729862055235,7,5.496024293022929,2,0.998452365398407
national_parks,1,pre_label_token,7,170,11,2.8596207965789704,7,5.355761507478078,2,0.9984642863273621
capitalize,1,pre_label_token,7,170,11,2.255857597723366,7,4.043889505691868,2,0.9961803555488586
capitalize_first_letter,1,pre_label_token,7,170,11,2.487819547584743,7,4.382297968936892,2,0.9961077570915222
commonsense_qa,1,pre_label_token,8,170,12,3.082210162674371,7,5.552881640345953,2,0.9978926777839661
national_parks,1,pre_label_token,8,170,12,3.3923189901591173,8,6.035185200303503,3,0.9978798627853394
capitalize,1,pre_label_token,8,170,12,1.951024005096847,7,3.364569664273563,1,0.9942330718040466
capitalize_first_letter,1,pre_label_token,8,170,12,2.2419434717181765,7,4.010467128461011,2,0.9941492676734924
commonsense_qa,1,pre_label_token,9,170,12,3.08119209147962,7,5.570784841530124,2,0.9973500370979309
national_parks,1,pre_label_token,9,170,12,3.238923807409442,7,5.8968752875040265,3,0.9974600672721863
