family,direction,layer,alpha,target_rate,unsteered,unscorable
py_snake_camel,nat2alt,0,0.5,0.34,0.0,0.0
py_snake_camel,nat2alt,0,1.0,0.8,0.0,0.0
py_snake_camel,nat2alt,0,2.0,0.78,0.0,0.0
py_snake_camel,nat2alt,0,4.0,0.22,0.0,0.1
py_snake_camel,nat2alt,1,0.5,0.08,0.0,0.0
py_snake_camel,nat2alt,1,1.0,0.84,0.0,0.0
py_snake_camel,nat2alt,1,2.0,0.42,0.0,0.1
py_snake_camel,nat2alt,1,4.0,0.04,0.0,0.36
py_snake_camel,nat2alt,2,0.5,0.26,0.0,0.0
py_snake_camel,nat2alt,2,1.0,0.86,0.0,0.0
py_snake_camel,nat2alt,2,2.0,0.86,0.0,0.02
py_snake_camel,nat2alt,2,4.0,0.64,0.0,0.02
py_snake_camel,nat2alt,3,0.5,0.22,0.0,0.0
py_snake_camel,nat2alt,3,1.0,0.9,0.0,0.0
py_snake_camel,nat2alt,3,2.0,0.74,0.0,0.06
py_snake_camel,nat2alt,3,4.0,0.04,0.0,0.24
py_snake_camel,nat2alt,4,0.5,0.2,0.0,0.02
py_snake_camel,nat2alt,4,1.0,0.82,0.0,0.02
py_snake_camel,nat2alt,4,2.0,0.8,0.0,0.04
py_snake_camel,nat2alt,4,4.0,0.76,0.0,0.02
py_snake_camel,nat2alt,5,0.5,0.26,0.0,0.0
py_snake_camel,nat2alt,5,1.0,0.8,0.0,0.0
py_snake_camel,nat2alt,5,2.0,0.86,0.0,0.0
py_snake_camel,nat2alt,5,4.0,0.8,0.0,0.02
py_snake_camel,nat2alt,6,0.5,0.14,0.0,0.04
py_snake_camel,nat2alt,6,1.0,0.74,0.0,0.02
py_snake_camel,nat2alt,6,2.0,0.84,0.0,0.0
py_snake_camel,nat2alt,6,4.0,0.78,0.0,0.0
py_snake_camel,nat2alt,7,0.5,0.12,0.0,0.02
py_snake_camel,nat2alt,7,1.0,0.72,0.0,0.04
py_snake_camel,nat2alt,7,2.0,0.86,0.0,0.0
py_snake_camel,nat2alt,7,4.0,0.84,0.0,0.0
py_snake_camel,nat2alt,8,0.5,0.06,0.0,0.0
py_snake_camel,nat2alt,8,1.0,0.74,0.0,0.02
py_snake_camel,nat2alt,8,2.0,0.76,0.0,0.0
py_snake_camel,nat2alt,8,4.0,0.78,0.0,0.0
py_snake_camel,nat2alt,9,0.5,0.02,0.0,0.0
py_snake_camel,nat2alt,9,1.0,0.82,0.0,0.0
py_snake_camel,nat2alt,9,2.0,0.76,0.0,0.0
py_snake_camel,nat2alt,9,4.0,0.94,0.0,0.0
py_snake_camel,nat2alt,10,0.5,0.12,0.0,0.02
py_snake_camel,nat2alt,10,1.0,0.86,0.0,0.0
py_snake_camel,nat2alt,10,2.0,0.86,0.0,0.0
py_snake_camel,nat2alt,10,4.0,0.78,0.0,0.02
py_snake_camel,nat2alt,11,0.5,0.04,0.0,0.02
py_snake_camel,nat2alt,11,1.0,0.72,0.0,0.0
py_snake_camel,nat2alt,11,2.0,0.76,0.0,0.0
py_snake_camel,nat2alt,11,4.0,0.84,0.0,0.02
py_snake_camel,nat2alt,12,0.5,0.06,0.0,0.0
py_snake_camel,nat2alt,12,1.0,0.88,0.0,0.0
py_snake_camel,nat2alt,12,2.0,0.8,0.0,0.0
py_snake_camel,nat2alt,12,4.0,0.8,0.0,0.0
py_snake_camel,nat2alt,13,0.5,0.04,0.0,0.0
py_snake_camel,nat2alt,13,1.0,0.7,0.0,0.02
py_snake_camel,nat2alt,13,2.0,0.86,0.0,0.0
py_snake_camel,nat2alt,13,4.0,0.86,0.0,0.0
py_snake_camel,nat2alt,14,0.5,0.1,0.0,0.0
py_snake_camel,nat2alt,14,1.0,0.74,0.0,0.02
py_snake_camel,nat2alt,14,2.0,0.86,0.0,0.0
py_snake_camel,nat2alt,14,4.0,0.8,0.0,0.0
py_snake_camel,nat2alt,15,0.5,0.06,0.0,0.02
py_snake_camel,nat2alt,15,1.0,0.7,0.0,0.0
py_snake_camel,nat2alt,15,2.0,0.72,0.0,0.0
py_snake_camel,nat2alt,15,4.0,0.78,0.0,0.02
py_snake_camel,nat2alt,16,0.5,0.04,0.0,0.0
py_snake_camel,nat2alt,16,1.0,0.78,0.0,0.0
py_snake_camel,nat2alt,16,2.0,0.86,0.0,0.0
py_snake_camel,nat2alt,16,4.0,0.76,0.0,0.02
py_snake_camel,nat2alt,17,0.5,0.0,0.0,0.0
py_snake_camel,nat2alt,17,1.0,0.72,0.0,0.0
py_snake_camel,nat2alt,17,2.0,0.84,0.0,0.0
py_snake_camel,nat2alt,17,4.0,0.84,0.0,0.0
py_snake_camel,nat2alt,18,0.5,0.06,0.0,0.0
py_snake_camel,nat2alt,18,1.0,0.68,0.0,0.0
py_snake_camel,nat2alt,18,2.0,0.74,0.0,0.02
py_snake_camel,nat2alt,18,4.0,0.7,0.0,0.0
py_snake_camel,nat2alt,19,0.5,0.06,0.0,0.0
py_snake_camel,nat2alt,19,1.0,0.7,0.0,0.02
py_snake_camel,nat2alt,19,2.0,0.76,0.0,0.0
py_snake_camel,nat2alt,19,4.0,0.4,0.0,0.3
py_snake_camel,nat2alt,20,0.5,0.04,0.0,0.0
py_snake_camel,nat2alt,20,1.0,0.6,0.0,0.0
py_snake_camel,nat2alt,20,2.0,0.74,0.0,0.02
py_snake_camel,nat2alt,20,4.0,0.26,0.0,0.02
py_snake_camel,nat2alt,21,0.5,0.0,0.0,0.0
py_snake_camel,nat2alt,21,1.0,0.36,0.0,0.0
py_snake_camel,nat2alt,21,2.0,0.26,0.0,0.0
py_snake_camel,nat2alt,21,4.0,0.0,0.0,0.0
py_snake_camel,nat2alt,22,0.5,0.04,0.0,0.0
py_snake_camel,nat2alt,22,1.0,0.24,0.0,0.0
py_snake_camel,nat2alt,22,2.0,0.5,0.0,0.04
py_snake_camel,nat2alt,22,4.0,0.5,0.0,0.0
py_snake_camel,nat2alt,23,0.5,0.02,0.0,0.0
py_snake_camel,nat2alt,23,1.0,0.06,0.0,0.02
py_snake_camel,nat2alt,23,2.0,0.0,0.0,0.0
py_snake_camel,nat2alt,23,4.0,0.0,0.0,0.04
py_snake_camel,nat2alt,24,0.5,0.02,0.0,0.0
py_snake_camel,nat2alt,24,1.0,0.0,0.0,0.02
py_snake_camel,nat2alt,24,2.0,0.24,0.0,0.0
py_snake_camel,nat2alt,24,4.0,0.84,0.0,0.0
py_snake_camel,nat2alt,25,0.5,0.0,0.0,0.0
py_snake_camel,nat2alt,25,1.0,0.0,0.0,0.0
py_snake_camel,nat2alt,25,2.0,0.0,0.0,0.0
py_snake_camel,nat2alt,25,4.0,0.02,0.0,0.0
