family,direction,context,target,k_ctx,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,unsteered_accuracy,unsteered_ci_lo,unsteered_ci_hi,unsteered_judge_ok,cf_accuracy,reference,reach,pass_50,sig_vs_unsteered
py2_print,alt2nat,alt,nat,1,6,4.0,200,0.355,0.292,0.423,0.435,0.005,0.56,0.73,0.0,0.0,0.019,0.78,,0.37,0.959,True,True
py2_print,nat2alt,nat,alt,1,2,4.0,200,0.355,0.292,0.423,0.455,0.01,0.535,0.75,0.005,0.001,0.028,0.885,,0.34,1.044,True,True
py2_iter,alt2nat,alt,nat,1,2,2.0,144,0.681,0.601,0.751,0.778,0.007,0.215,0.854,0.271,0.205,0.349,0.882,,0.674,1.01,True,True
py2_iter,nat2alt,nat,alt,1,1,4.0,144,0.403,0.326,0.484,0.479,0.278,0.243,0.785,0.0,0.0,0.026,0.826,,0.333,1.21,True,True
py2_except,alt2nat,alt,nat,1,5,4.0,177,0.864,0.806,0.907,0.87,0.0,0.13,0.989,0.051,0.027,0.094,0.994,,0.819,1.055,True,True
py2_except,nat2alt,nat,alt,1,9,2.0,177,0.802,0.737,0.854,0.847,0.0,0.153,0.955,0.0,0.0,0.021,1.0,,0.757,1.059,True,True
js_var,alt2nat,alt,nat,1,2,1.0,200,0.61,0.541,0.675,0.66,0.0,0.34,0.875,0.185,0.137,0.245,0.845,,0.64,0.953,True,True
js_var,nat2alt,nat,alt,1,23,4.0,200,0.52,0.451,0.588,0.57,0.09,0.34,0.86,0.01,0.003,0.036,0.88,,0.41,1.268,True,True
js_arrow,alt2nat,alt,nat,1,2,4.0,196,0.648,0.579,0.711,0.878,0.0,0.122,0.735,0.199,0.149,0.26,0.811,,0.724,0.895,True,True
js_arrow,nat2alt,nat,alt,1,1,4.0,193,0.14,0.098,0.196,0.197,0.244,0.56,0.731,0.005,0.001,0.029,0.876,,0.219,0.639,True,True
js_semicolons,alt2nat,alt,nat,1,1,2.0,146,0.726,0.649,0.792,0.753,0.027,0.219,0.904,0.089,0.053,0.146,0.836,,0.712,1.02,True,True
js_semicolons,nat2alt,nat,alt,1,8,4.0,146,0.637,0.556,0.711,0.719,0.075,0.205,0.836,0.034,0.015,0.078,0.959,,0.651,0.978,True,True
js_strict_eq,alt2nat,alt,nat,1,13,4.0,107,0.869,0.792,0.92,0.879,0.028,0.093,0.963,0.252,0.18,0.342,0.944,,0.897,0.969,True,True
js_strict_eq,nat2alt,nat,alt,1,24,4.0,107,0.85,0.771,0.906,0.869,0.047,0.084,0.972,0.0,0.0,0.035,0.916,,0.57,1.491,True,True
