family,context,base,own_zero,own_mean,cf_zero,cf_mean
bash_subst,alt,3.208,-2.023,-0.911,2.75,3.273
bash_test,alt,4.787,-1.325,-0.822,4.775,4.766
blank_lines,alt,7.911,-0.256,-0.034,7.9,7.834
c_comment_style,alt,3.794,5.767,4.094,3.783,3.734
comma_space,alt,1.436,-7.691,-8.133,1.183,1.347
comment_case,alt,3.61,-5.324,-3.073,3.641,3.673
comment_language,alt,4.142,1.998,-3.967,4.229,4.138
docstring_quotes,alt,5.109,-0.75,-2.125,4.636,4.598
docstring_style,alt,7.461,4.856,4.739,7.264,7.559
float_literals,alt,1.328,-3.472,-2.997,1.15,1.337
hex_constants,alt,2.466,0.347,-0.361,2.455,2.417
js_arrow,alt,3.748,0.825,-0.325,3.684,3.397
js_camel_snake,alt,5.57,0.612,1.079,5.885,5.687
js_func_pascal,alt,5.785,-2.549,-6.02,5.737,5.755
js_quotes,alt,6.531,0.077,0.17,6.887,6.747
js_semicolons,alt,5.134,-4.313,-1.786,5.063,5.039
js_strict_eq,alt,3.741,-3.083,-1.031,3.777,3.747
js_template,alt,4.041,1.892,1.533,4.166,4.066
js_var,alt,4.809,-2.687,-3.686,4.75,4.748
line_wrap,alt,4.253,1.406,2.428,4.239,4.238
num_separators,alt,4.216,-6.38,-7.234,4.116,4.225
operator_spaces,alt,2.311,-4.086,-3.884,2.361,2.327
php_array,alt,7.088,-6.536,-7.062,7.048,6.662
py2_except,alt,6.734,-6.875,-7.916,6.894,6.703
py2_iter,alt,2.391,-0.859,-3.294,2.156,2.398
py2_print,alt,8.053,-9.501,-9.53,7.947,7.938
py_builtin_generics,alt,6.578,3.147,2.264,6.675,6.662
py_class_naming,alt,3.984,-3.134,-1.116,3.732,3.874
py_comprehension,alt,1.686,0.442,0.677,1.731,1.513
py_const_naming,alt,7.834,-4.882,0.488,7.662,8.013
py_enumerate,alt,3.733,3.205,2.683,3.778,3.719
py_fstring,alt,5.422,1.459,2.258,5.463,5.392
py_indent,alt,8.167,-0.328,0.006,8.255,8.173
py_is_none,alt,2.713,-2.081,-1.144,2.647,2.662
py_join_concat,alt,5.764,5.284,5.544,5.729,5.683
py_literal_ctor,alt,5.811,2.627,1.139,5.939,5.906
py_loop_vars,alt,2.953,-0.95,-2.853,3.041,2.794
py_not_in,alt,-0.153,0.013,-0.1,-0.162,-0.15
py_optional,alt,4.669,3.484,2.138,4.628,4.65
py_paren_if,alt,3.508,-3.261,-3.473,3.495,3.519
py_private,alt,0.238,0.02,-0.167,0.197,0.241
py_quotes,alt,6.666,0.352,1.67,6.539,6.641
py_self_name,alt,7.545,-7.019,-10.472,7.831,7.659
py_snake_camel,alt,6.026,-1.696,-3.484,6.018,6.026
py_tabs,alt,7.652,6.697,4.98,7.172,7.558
py_type_hints,alt,4.295,1.896,1.941,4.358,4.334
py_with_open,alt,2.336,1.009,1.015,2.106,2.297
r_assignment,alt,6.988,2.936,6.099,7.598,7.338
rust_question,alt,0.459,0.733,0.188,0.25,0.448
sql_bool_case,alt,6.288,-5.508,-3.614,6.366,6.291
sql_join_style,alt,4.756,4.322,4.641,4.762,4.744
sql_keyword_case,alt,6.078,-1.312,-0.412,5.717,5.95
trailing_commas,alt,3.714,0.83,0.819,3.748,3.719
