family,context,arm,direction_family,n,success,convention_rate,judge_ok,unscorable,margin_ctx,top1_ctx,proj_before_L8,n_evidence
py2_except,alt,base,py2_except,40,0.95,0.975,0.975,0.025,6.734374988079071,1.0,,4.0
py2_except,alt,own_zero,py2_except,40,0.0,0.0,0.9,0.05,-6.875,0.0,3.5738183468580247,4.0
py2_except,alt,own_mean,py2_except,40,0.0,0.0,1.0,0.025,-7.915624976158142,0.0,5.592079281806946,4.0
py2_except,alt,cf_zero,comment_case,40,1.0,1.0,1.0,0.0,6.89375,1.0,0.4487829886376858,4.0
py2_except,alt,cf_mean,comment_case,40,1.0,1.0,1.0,0.0,6.703125,1.0,0.9618386939167977,4.0
js_quotes,alt,base,js_quotes,40,0.975,1.0,0.975,0.0,6.53125,0.975,,9.025
js_quotes,alt,own_zero,js_quotes,40,0.425,0.55,0.85,0.025,0.07656249850988388,0.525,-0.8028448082506656,9.025
js_quotes,alt,own_mean,js_quotes,40,0.525,0.525,0.975,0.0,0.17031250149011612,0.525,-0.2208251005038619,9.025
js_quotes,alt,cf_zero,comma_space,40,0.875,1.0,0.875,0.0,6.887499988079071,0.975,1.4315444737672807,9.025
js_quotes,alt,cf_mean,comma_space,40,0.825,1.0,0.825,0.0,6.746875,0.975,4.597061783075333,9.025
sql_bool_case,alt,base,sql_bool_case,40,0.85,0.9,0.9,0.0,6.287500008940697,0.825,,7.1
sql_bool_case,alt,own_zero,sql_bool_case,40,0.075,0.1,0.925,0.0,-5.507812491059303,0.0,-0.17295798468403517,7.1
sql_bool_case,alt,own_mean,sql_bool_case,40,0.125,0.15,0.925,0.0,-3.6140625044703483,0.0,1.5665473133325576,7.1
sql_bool_case,alt,cf_zero,py_not_in,40,0.85,0.9,0.925,0.05,6.365624982118606,0.825,-2.1974964529275893,7.1
sql_bool_case,alt,cf_mean,py_not_in,40,0.9,0.925,0.925,0.05,6.290624967217445,0.825,-3.991788297891617,7.1
docstring_style,alt,base,docstring_style,40,0.875,0.875,0.925,0.125,7.4609375,1.0,,291.35
docstring_style,alt,own_zero,docstring_style,40,0.675,0.775,0.8,0.225,4.856249988079071,1.0,0.7367331579327583,291.35
docstring_style,alt,own_mean,docstring_style,40,0.725,0.85,0.8,0.1,4.7390625,1.0,1.5068053960800172,291.35
docstring_style,alt,cf_zero,comment_case,40,0.875,0.875,0.9,0.125,7.264062511920929,1.0,0.2676105860620737,291.35
docstring_style,alt,cf_mean,comment_case,40,0.825,0.825,0.875,0.175,7.558593738079071,1.0,0.8972304672002792,291.35
js_semicolons,alt,base,js_semicolons,40,0.9,0.975,0.925,0.0,5.134374994039535,1.0,,4.025
js_semicolons,alt,own_zero,js_semicolons,40,0.0,0.025,0.85,0.0,-4.312500008940697,0.0,0.8556298024952411,4.025
js_semicolons,alt,own_mean,js_semicolons,40,0.25,0.25,0.95,0.0,-1.7859375014901162,0.075,2.139625605940819,4.025
js_semicolons,alt,cf_zero,py_quotes,40,0.875,0.975,0.9,0.0,5.062500007450581,1.0,0.2700873281806707,4.025
js_semicolons,alt,cf_mean,py_quotes,40,0.9,0.975,0.925,0.0,5.039062502980232,1.0,0.14118938241153955,4.025
py_indent,alt,base,py_indent,40,0.775,0.95,0.825,0.025,8.1671875,1.0,,10.1
py_indent,alt,own_zero,py_indent,40,0.2,0.225,0.625,0.075,-0.328125,0.2,1.0191728509962559,10.1
py_indent,alt,own_mean,py_indent,40,0.125,0.2,0.65,0.1,0.0062499985098838804,0.2,2.561695283651352,10.1
py_indent,alt,cf_zero,py2_except,40,0.75,1.0,0.75,0.0,8.2546875,1.0,1.5331957548856736,10.1
py_indent,alt,cf_mean,py2_except,40,0.825,1.0,0.825,0.0,8.1734375,1.0,2.778248369693756,10.1
py_self_name,alt,base,py_self_name,40,0.875,1.0,0.875,0.0,7.545312505960465,0.925,,14.75
py_self_name,alt,own_zero,py_self_name,40,0.0,0.0,0.9,0.0,-7.018749988079071,0.0,-1.8502440392971038,14.75
py_self_name,alt,own_mean,py_self_name,40,0.0,0.0,0.8,0.0,-10.471875,0.0,4.02004222869873,14.75
py_self_name,alt,cf_zero,py_fstring,40,0.925,1.0,0.925,0.0,7.83125,0.925,1.317596361041069,14.75
py_self_name,alt,cf_mean,py_fstring,40,0.925,1.0,0.925,0.0,7.6585937410593035,0.925,3.2354829907417297,14.75
py_tabs,alt,base,py_tabs,40,0.8,0.95,0.85,0.0,7.651562511920929,0.95,,15.875
py_tabs,alt,own_zero,py_tabs,40,0.875,1.0,0.875,0.0,6.696874988079071,0.925,-0.587305118329823,15.875
py_tabs,alt,own_mean,py_tabs,40,0.75,0.95,0.8,0.05,4.979687488079071,0.925,3.9722137689590453,15.875
py_tabs,alt,cf_zero,py_literal_ctor,40,0.9,1.0,0.9,0.0,7.171874988079071,0.95,1.9439703583717347,15.875
py_tabs,alt,cf_mean,py_literal_ctor,40,0.925,1.0,0.925,0.0,7.557812511920929,0.95,4.48870307803154,15.875
bash_test,alt,base,bash_test,40,0.8,0.9,0.85,0.025,4.787499997019768,0.975,,8.0
bash_test,alt,own_zero,bash_test,40,0.225,0.25,0.925,0.05,-1.3250000029802322,0.025,-0.08567696809768677,8.0
bash_test,alt,own_mean,bash_test,40,0.4,0.4,0.875,0.075,-0.8218750014901162,0.175,-2.121593764424324,8.0
bash_test,alt,cf_zero,js_camel_snake,40,0.9,0.925,0.925,0.05,4.774999998509884,0.975,0.10397245176136494,8.0
bash_test,alt,cf_mean,js_camel_snake,40,0.875,0.95,0.9,0.025,4.765624994039536,0.975,-0.21292373333126308,8.0
py_const_naming,alt,base,py_const_naming,40,0.95,0.95,0.975,0.05,7.83359375,0.675,,14.75
py_const_naming,alt,own_zero,py_const_naming,40,0.025,0.025,0.925,0.05,-4.8820312291383745,0.025,-0.15234110283490737,14.75
py_const_naming,alt,own_mean,py_const_naming,40,0.5,0.525,0.95,0.1,0.48750000149011613,0.35,-3.161403900384903,14.75
py_const_naming,alt,cf_zero,py_class_naming,40,0.75,0.85,0.9,0.15,7.6615234315395355,0.675,0.20347958505153657,14.75
py_const_naming,alt,cf_mean,py_class_naming,40,0.75,0.775,0.925,0.225,8.012695324420928,0.675,-0.6017212249338627,14.75
docstring_quotes,alt,base,docstring_quotes,40,0.9,0.9,1.0,0.1,5.109375,1.0,,8.125
docstring_quotes,alt,own_zero,docstring_quotes,40,0.1,0.15,0.9,0.125,-0.7499999925494194,0.25,2.0638814896345137,8.125
docstring_quotes,alt,own_mean,docstring_quotes,40,0.125,0.15,0.925,0.125,-2.124999988079071,0.0,3.962647008895874,8.125
docstring_quotes,alt,cf_zero,py_type_hints,40,0.775,0.9,0.85,0.075,4.635937505960465,0.8,0.18140689916908742,8.125
docstring_quotes,alt,cf_mean,py_type_hints,40,0.85,0.9,0.95,0.1,4.598437511920929,0.9,-0.5314019308425486,8.125
num_separators,alt,base,num_separators,40,0.85,0.85,0.975,0.0,4.215624998509884,0.9,,4.825
num_separators,alt,own_zero,num_separators,40,0.05,0.05,0.925,0.05,-6.379687510430813,0.0,-0.47932651049050035,4.825
num_separators,alt,own_mean,num_separators,40,0.025,0.025,0.9,0.075,-7.234375013411045,0.0,2.924201971292496,4.825
num_separators,alt,cf_zero,py_not_in,40,0.875,0.875,0.975,0.05,4.115625010430813,0.875,0.25337365325540306,4.825
num_separators,alt,cf_mean,py_not_in,40,0.85,0.85,1.0,0.025,4.224999997019768,0.9,-1.709271962940693,4.825
py_quotes,alt,base,py_quotes,40,0.9,0.975,0.925,0.0,6.665625002980232,0.95,,10.7
py_quotes,alt,own_zero,py_quotes,40,0.425,0.425,0.975,0.025,0.3515625029802322,0.5,0.1007274438161403,10.7
py_quotes,alt,own_mean,py_quotes,40,0.725,0.725,0.95,0.0,1.669531235843897,0.85,-0.0333589703659527,10.7
py_quotes,alt,cf_zero,py_enumerate,40,0.85,0.975,0.85,0.0,6.5390625,0.95,1.2484736248850823,10.7
py_quotes,alt,cf_mean,py_enumerate,40,0.9,0.95,0.95,0.025,6.64140625,0.95,-0.8408818416297436,10.7
trailing_commas,alt,base,trailing_commas,40,0.725,0.825,0.9,0.075,3.7140624940395357,0.875,,4.5
trailing_commas,alt,own_zero,trailing_commas,40,0.625,0.65,0.975,0.075,0.8296875022351742,0.775,0.4025133813265711,4.5
trailing_commas,alt,own_mean,trailing_commas,40,0.7,0.7,1.0,0.025,0.818749999254942,0.775,2.0952873528003693,4.5
trailing_commas,alt,cf_zero,py_loop_vars,40,0.75,0.85,0.9,0.05,3.748437486588955,0.875,1.3530129313468933,4.5
trailing_commas,alt,cf_mean,py_loop_vars,40,0.875,0.925,0.95,0.025,3.71875,0.875,1.950620174407959,4.5
blank_lines,alt,base,blank_lines,40,0.875,0.975,0.875,0.025,7.910937476158142,1.0,,4.0
blank_lines,alt,own_zero,blank_lines,40,0.3,0.35,0.85,0.025,-0.2562500059604645,0.375,0.11899409182369709,4.0
blank_lines,alt,own_mean,blank_lines,40,0.425,0.45,0.9,0.0,-0.03437500149011612,0.45,-3.999808633327484,4.0
blank_lines,alt,cf_zero,c_comment_style,40,0.85,1.0,0.85,0.0,7.899999988079071,1.0,-0.10143942665308714,4.0
blank_lines,alt,cf_mean,c_comment_style,40,0.925,0.975,0.925,0.025,7.834374988079071,1.0,2.6852374196052553,4.0
py_optional,alt,base,py_optional,40,0.775,0.825,0.875,0.15,4.668749997019768,0.875,,15.8
py_optional,alt,own_zero,py_optional,40,0.775,0.85,0.875,0.125,3.4843749940395354,0.8,-0.5431211482617073,15.8
py_optional,alt,own_mean,py_optional,40,0.725,0.725,0.925,0.225,2.137500002235174,0.7,-2.3538555055856705,15.8
py_optional,alt,cf_zero,py_quotes,40,0.9,0.9,1.0,0.075,4.628125,0.875,-0.42203363087028267,15.8
py_optional,alt,cf_mean,py_quotes,40,0.775,0.85,0.925,0.125,4.650000001490116,0.85,-0.5469047978520394,15.8
py_snake_camel,alt,base,py_snake_camel,40,0.725,0.9,0.775,0.05,6.026171851158142,0.55,,32.625
py_snake_camel,alt,own_zero,py_snake_camel,40,0.275,0.275,0.825,0.05,-1.6960937589406968,0.125,-0.19036828689277172,32.625
py_snake_camel,alt,own_mean,py_snake_camel,40,0.05,0.05,0.85,0.025,-3.483593738079071,0.05,1.1396583914756775,32.625
py_snake_camel,alt,cf_zero,js_var,40,0.775,0.9,0.85,0.05,6.0179687440395355,0.55,0.6587367050349713,32.625
py_snake_camel,alt,cf_mean,js_var,40,0.8,0.95,0.825,0.05,6.026171886920929,0.55,0.7776736371219158,32.625
js_strict_eq,alt,base,js_strict_eq,40,0.825,0.9,0.9,0.05,3.7406249940395355,0.875,,4.075
js_strict_eq,alt,own_zero,js_strict_eq,40,0.0,0.0,1.0,0.025,-3.0828124940395356,0.05,2.3637469589710234,4.075
js_strict_eq,alt,own_mean,js_strict_eq,40,0.275,0.275,0.925,0.075,-1.0312499940395354,0.225,2.6036067068576814,4.075
js_strict_eq,alt,cf_zero,js_quotes,40,0.8,0.925,0.875,0.075,3.776562471687794,0.875,-0.8266901925206185,4.075
js_strict_eq,alt,cf_mean,js_quotes,40,0.75,0.875,0.875,0.05,3.7468750044703483,0.9,-0.29097689371556046,4.075
py_builtin_generics,alt,base,py_builtin_generics,40,0.875,1.0,0.875,0.0,6.578125,0.975,,12.55
py_builtin_generics,alt,own_zero,py_builtin_generics,40,0.7,0.8,0.825,0.125,3.1468749955296516,0.9,-3.070170259475708,12.55
py_builtin_generics,alt,own_mean,py_builtin_generics,40,0.7,0.825,0.825,0.1,2.2640624970197676,0.775,0.14656963323650415,12.55
py_builtin_generics,alt,cf_zero,py_with_open,40,0.825,0.95,0.85,0.05,6.675,0.975,1.0340680062770844,12.55
py_builtin_generics,alt,cf_mean,py_with_open,40,0.8,0.975,0.825,0.025,6.662499988079071,0.975,-0.5614676281809807,12.55
js_camel_snake,alt,base,js_camel_snake,40,0.75,0.925,0.825,0.05,5.569726520776749,0.45,,22.875
js_camel_snake,alt,own_zero,js_camel_snake,40,0.45,0.525,0.9,0.05,0.6121093928813934,0.3,0.4536516396328807,22.875
js_camel_snake,alt,own_mean,js_camel_snake,40,0.45,0.475,0.925,0.125,1.0789062604308128,0.325,0.08260791617212818,22.875
js_camel_snake,alt,cf_zero,comment_language,40,0.775,0.875,0.85,0.075,5.8847656577825544,0.475,-0.7803852559626193,22.875
js_camel_snake,alt,cf_mean,comment_language,40,0.75,0.95,0.8,0.025,5.687109357118606,0.475,8.246431958675384,22.875
py_literal_ctor,alt,base,py_literal_ctor,40,0.825,0.95,0.825,0.05,5.810937482118606,0.925,,8.0
py_literal_ctor,alt,own_zero,py_literal_ctor,40,0.825,0.9,0.9,0.05,2.626562501490116,0.85,-2.125510883331299,8.0
py_literal_ctor,alt,own_mean,py_literal_ctor,40,0.75,0.8,0.9,0.025,1.1390624970197678,0.825,1.5126938372850418,8.0
py_literal_ctor,alt,cf_zero,py_with_open,40,0.925,0.975,0.925,0.025,5.939062502980232,0.925,1.0221422985196114,8.0
py_literal_ctor,alt,cf_mean,py_with_open,40,0.8,0.95,0.825,0.05,5.906250005960464,0.925,-0.6730668544769287,8.0
py2_print,alt,base,py2_print,40,0.775,0.8,0.975,0.2,8.053125,0.975,,8.925
py2_print,alt,own_zero,py2_print,40,0.0,0.0,0.625,0.2,-9.500781255960465,0.025,-0.184684035833925,8.925
py2_print,alt,own_mean,py2_print,40,0.0,0.0,0.825,0.175,-9.529687505960464,0.025,-1.090218684077263,8.925
py2_print,alt,cf_zero,blank_lines,40,0.8,0.85,0.95,0.15,7.946874994039535,0.975,0.13359545858111233,8.925
py2_print,alt,cf_mean,blank_lines,40,0.75,0.8,0.925,0.2,7.937500011920929,0.975,-3.3992526054382326,8.925
py_is_none,alt,base,py_is_none,40,0.725,0.8,0.875,0.15,2.7125000029802324,0.675,,4.0
py_is_none,alt,own_zero,py_is_none,40,0.15,0.15,0.875,0.15,-2.0812499940395357,0.025,-0.16411039866507054,4.0
py_is_none,alt,own_mean,py_is_none,40,0.25,0.275,0.85,0.2,-1.1437499985098838,0.125,-2.8154650926589966,4.0
py_is_none,alt,cf_zero,blank_lines,40,0.7,0.75,0.9,0.175,2.6468750119209288,0.675,0.54703015871346,4.0
py_is_none,alt,cf_mean,blank_lines,40,0.775,0.8,0.975,0.075,2.6624999970197676,0.675,-2.9707654058933257,4.0
sql_keyword_case,alt,base,sql_keyword_case,40,0.675,0.775,0.9,0.225,6.078124997019768,0.9,,12.25
sql_keyword_case,alt,own_zero,sql_keyword_case,40,0.15,0.15,0.9,0.175,-1.3124999940395354,0.1,-0.8588690131902694,12.25
sql_keyword_case,alt,own_mean,sql_keyword_case,40,0.175,0.175,0.925,0.175,-0.4124999962747097,0.175,0.6414405919611454,12.25
sql_keyword_case,alt,cf_zero,py_optional,40,0.65,0.675,0.925,0.3,5.717187508940697,0.9,0.34137485790997746,12.25
sql_keyword_case,alt,cf_mean,py_optional,40,0.65,0.725,0.875,0.25,5.950000017881393,0.9,-1.364195290207863,12.25
js_arrow,alt,base,js_arrow,40,0.7,0.85,0.825,0.0,3.7484374970197676,0.85,,24.4
js_arrow,alt,own_zero,js_arrow,40,0.425,0.525,0.775,0.0,0.825,0.65,1.2027960658073424,24.4
js_arrow,alt,own_mean,js_arrow,40,0.3,0.4,0.725,0.025,-0.3250000014901161,0.45,3.163290810585022,24.4
js_arrow,alt,cf_zero,py_join_concat,40,0.7,0.825,0.8,0.0,3.6843749940395356,0.85,-0.49688055999577047,24.4
js_arrow,alt,cf_mean,py_join_concat,40,0.675,0.825,0.825,0.025,3.3968749940395355,0.85,-2.445876199007034,24.4
py_fstring,alt,base,py_fstring,40,0.925,0.975,0.95,0.025,5.421875,0.825,,28.675
py_fstring,alt,own_zero,py_fstring,40,0.55,0.65,0.85,0.1,1.4593749955296516,0.625,0.4885655764490366,28.675
py_fstring,alt,own_mean,py_fstring,40,0.6,0.825,0.725,0.1,2.2578125059604646,0.8,2.5752031207084656,28.675
py_fstring,alt,cf_zero,py_comprehension,40,0.75,0.9,0.825,0.1,5.462500002980232,0.8,0.3590511274524033,28.675
py_fstring,alt,cf_mean,py_comprehension,40,0.725,0.9,0.8,0.1,5.392187482118606,0.825,-0.7456015154719353,28.675
bash_subst,alt,base,bash_subst,40,0.75,0.75,0.875,0.05,3.207812486588955,0.825,,8.625
bash_subst,alt,own_zero,bash_subst,40,0.25,0.25,0.95,0.125,-2.0226562529802323,0.15,-1.0656792879104615,8.625
bash_subst,alt,own_mean,bash_subst,40,0.15,0.2,0.85,0.125,-0.9109375044703484,0.3,2.445022904872894,8.625
bash_subst,alt,cf_zero,comment_case,40,0.6,0.65,0.9,0.075,2.750000001490116,0.725,-0.5163248147815466,8.625
bash_subst,alt,cf_mean,comment_case,40,0.725,0.775,0.925,0.075,3.2734374895691873,0.825,-0.035786617733538154,8.625
comment_case,alt,base,comment_case,40,0.65,0.825,0.75,0.075,3.6103759825229647,0.225,,88.825
comment_case,alt,own_zero,comment_case,40,0.025,0.025,0.625,0.025,-5.3242187917232515,0.0,0.3035571239888668,88.825
comment_case,alt,own_mean,comment_case,40,0.275,0.325,0.85,0.0,-3.0734375,0.025,0.8957655996084213,88.825
