family,context,base,own_zero,own_mean,cf_zero,cf_mean
bash_subst,alt,0.75,0.25,0.15,0.6,0.725
bash_test,alt,0.8,0.225,0.4,0.9,0.875
blank_lines,alt,0.875,0.3,0.425,0.85,0.925
c_comment_style,alt,0.5,0.45,0.525,0.525,0.4
comma_space,alt,0.65,0.0,0.0,0.65,0.75
comment_case,alt,0.65,0.025,0.275,0.75,0.7
comment_language,alt,0.3,0.225,0.0,0.225,0.275
docstring_quotes,alt,0.9,0.1,0.125,0.775,0.85
docstring_style,alt,0.875,0.675,0.725,0.875,0.825
float_literals,alt,0.575,0.05,0.15,0.575,0.55
hex_constants,alt,0.675,0.075,0.05,0.7,0.7
js_arrow,alt,0.7,0.425,0.3,0.7,0.675
js_camel_snake,alt,0.75,0.45,0.45,0.775,0.75
js_func_pascal,alt,0.75,0.2,0.0,0.675,0.775
js_quotes,alt,0.975,0.425,0.525,0.875,0.825
js_semicolons,alt,0.9,0.0,0.25,0.875,0.9
js_strict_eq,alt,0.825,0.0,0.275,0.8,0.75
js_template,alt,0.625,0.475,0.5,0.75,0.725
js_var,alt,0.7,0.025,0.0,0.75,0.675
line_wrap,alt,0.7,0.55,0.725,0.65,0.675
num_separators,alt,0.85,0.05,0.025,0.875,0.85
operator_spaces,alt,0.825,0.05,0.05,0.775,0.825
php_array,alt,0.775,0.0,0.0,0.85,0.825
py2_except,alt,0.95,0.0,0.0,1.0,1.0
py2_iter,alt,0.75,0.425,0.225,0.75,0.65
py2_print,alt,0.775,0.0,0.0,0.8,0.75
py_builtin_generics,alt,0.875,0.7,0.7,0.825,0.8
py_class_naming,alt,0.775,0.025,0.3,0.65,0.7
py_comprehension,alt,0.6,0.45,0.525,0.65,0.7
py_const_naming,alt,0.95,0.025,0.5,0.75,0.75
py_enumerate,alt,0.675,0.475,0.45,0.725,0.575
py_fstring,alt,0.925,0.55,0.6,0.75,0.725
py_indent,alt,0.775,0.2,0.125,0.75,0.825
py_is_none,alt,0.725,0.15,0.25,0.7,0.775
py_join_concat,alt,0.725,0.45,0.525,0.7,0.75
py_literal_ctor,alt,0.825,0.825,0.75,0.925,0.8
py_loop_vars,alt,0.825,0.625,0.525,0.85,0.875
py_not_in,alt,0.325,0.425,0.275,0.325,0.375
py_optional,alt,0.775,0.775,0.725,0.9,0.775
py_paren_if,alt,0.65,0.05,0.025,0.6,0.625
py_private,alt,0.675,0.65,0.75,0.8,0.6
py_quotes,alt,0.9,0.425,0.725,0.85,0.9
py_self_name,alt,0.875,0.0,0.0,0.925,0.925
py_snake_camel,alt,0.725,0.275,0.05,0.775,0.8
py_tabs,alt,0.8,0.875,0.75,0.9,0.925
py_type_hints,alt,0.55,0.125,0.1,0.725,0.575
py_with_open,alt,0.65,0.45,0.525,0.65,0.7
r_assignment,alt,0.75,0.6,0.675,0.625,0.7
rust_question,alt,0.625,0.525,0.4,0.525,0.475
sql_bool_case,alt,0.85,0.075,0.125,0.85,0.9
sql_join_style,alt,0.65,0.475,0.575,0.65,0.7
sql_keyword_case,alt,0.675,0.15,0.175,0.65,0.65
trailing_commas,alt,0.725,0.625,0.7,0.75,0.875
