family,direction,layer,alpha,target_rate,unsteered
all_caps,alt2nat,27,4.0,0.36,0.0
all_caps,nat2alt,0,0.5,0.0,0.0
all_caps,nat2alt,0,1.0,0.0,0.0
all_caps,nat2alt,0,2.0,0.96,0.0
all_caps,nat2alt,0,4.0,0.32,0.0
all_caps,nat2alt,1,0.5,0.0,0.0
all_caps,nat2alt,1,1.0,0.0,0.0
all_caps,nat2alt,1,2.0,0.98,0.0
all_caps,nat2alt,1,4.0,0.42,0.0
all_caps,nat2alt,2,0.5,0.0,0.0
all_caps,nat2alt,2,1.0,0.32,0.0
all_caps,nat2alt,2,2.0,0.92,0.0
all_caps,nat2alt,2,4.0,0.48,0.0
all_caps,nat2alt,3,0.5,0.0,0.0
all_caps,nat2alt,3,1.0,0.62,0.0
all_caps,nat2alt,3,2.0,0.9,0.0
all_caps,nat2alt,3,4.0,0.28,0.0
all_caps,nat2alt,4,0.5,0.0,0.0
all_caps,nat2alt,4,1.0,0.78,0.0
all_caps,nat2alt,4,2.0,0.9,0.0
all_caps,nat2alt,4,4.0,0.26,0.0
all_caps,nat2alt,5,0.5,0.0,0.0
all_caps,nat2alt,5,1.0,0.84,0.0
all_caps,nat2alt,5,2.0,0.8,0.0
all_caps,nat2alt,5,4.0,0.26,0.0
all_caps,nat2alt,6,0.5,0.0,0.0
all_caps,nat2alt,6,1.0,0.8,0.0
all_caps,nat2alt,6,2.0,0.94,0.0
all_caps,nat2alt,6,4.0,0.34,0.0
all_caps,nat2alt,7,0.5,0.0,0.0
all_caps,nat2alt,7,1.0,0.8,0.0
all_caps,nat2alt,7,2.0,0.94,0.0
all_caps,nat2alt,7,4.0,0.4,0.0
all_caps,nat2alt,8,0.5,0.0,0.0
all_caps,nat2alt,8,1.0,0.78,0.0
all_caps,nat2alt,8,2.0,0.96,0.0
all_caps,nat2alt,8,4.0,0.52,0.0
all_caps,nat2alt,9,0.5,0.0,0.0
all_caps,nat2alt,9,1.0,0.58,0.0
all_caps,nat2alt,9,2.0,0.84,0.0
all_caps,nat2alt,9,4.0,0.26,0.0
all_caps,nat2alt,10,0.5,0.0,0.0
all_caps,nat2alt,10,1.0,0.78,0.0
all_caps,nat2alt,10,2.0,0.64,0.0
all_caps,nat2alt,10,4.0,0.08,0.0
