family,direction,layer,alpha,target_rate,unsteered,unscorable
sentence_caps,nat2alt,2,0.5,0.0,0.0,0.0
sentence_caps,nat2alt,2,1.0,0.86,0.0,0.0
sentence_caps,nat2alt,2,2.0,0.88,0.0,0.0
sentence_caps,nat2alt,2,4.0,0.22,0.0,0.0
sentence_caps,nat2alt,4,0.5,0.0,0.0,0.0
sentence_caps,nat2alt,4,1.0,0.92,0.0,0.0
sentence_caps,nat2alt,4,2.0,0.9,0.0,0.0
sentence_caps,nat2alt,4,4.0,0.86,0.0,0.0
sentence_caps,nat2alt,6,0.5,0.0,0.0,0.0
sentence_caps,nat2alt,6,1.0,0.5,0.0,0.0
sentence_caps,nat2alt,6,2.0,0.64,0.0,0.0
sentence_caps,nat2alt,6,4.0,0.38,0.0,0.0
sentence_caps,nat2alt,8,0.5,0.0,0.0,0.0
sentence_caps,nat2alt,8,1.0,0.08,0.0,0.0
sentence_caps,nat2alt,8,2.0,0.86,0.0,0.0
sentence_caps,nat2alt,8,4.0,0.98,0.0,0.0
sentence_caps,nat2alt,10,0.5,0.0,0.0,0.0
sentence_caps,nat2alt,10,1.0,0.02,0.0,0.0
sentence_caps,nat2alt,10,2.0,0.24,0.0,0.0
sentence_caps,nat2alt,10,4.0,0.52,0.0,0.0
sentence_caps,nat2alt,12,0.5,0.0,0.0,0.0
sentence_caps,nat2alt,12,1.0,0.0,0.0,0.0
sentence_caps,nat2alt,12,2.0,0.18,0.0,0.0
sentence_caps,nat2alt,12,4.0,0.48,0.0,0.0
sentence_caps,nat2alt,16,0.5,0.0,0.0,0.0
sentence_caps,nat2alt,16,1.0,0.0,0.0,0.0
sentence_caps,nat2alt,16,2.0,0.1,0.0,0.0
sentence_caps,nat2alt,16,4.0,0.62,0.0,0.0
sentence_caps,nat2alt,20,0.5,0.0,0.0,0.0
sentence_caps,nat2alt,20,1.0,0.0,0.0,0.0
sentence_caps,nat2alt,20,2.0,0.08,0.0,0.0
sentence_caps,nat2alt,20,4.0,0.78,0.0,0.0
sentence_caps,nat2alt,24,0.5,0.0,0.0,0.0
sentence_caps,nat2alt,24,1.0,0.0,0.0,0.0
sentence_caps,nat2alt,24,2.0,0.0,0.0,0.0
sentence_caps,nat2alt,24,4.0,0.28,0.0,0.0
sentence_caps,alt2nat,2,0.5,0.82,0.1,0.0
sentence_caps,alt2nat,2,1.0,0.98,0.1,0.0
sentence_caps,alt2nat,2,2.0,1.0,0.1,0.0
sentence_caps,alt2nat,2,4.0,1.0,0.1,0.0
sentence_caps,alt2nat,4,0.5,0.4,0.1,0.0
sentence_caps,alt2nat,4,1.0,0.98,0.1,0.0
sentence_caps,alt2nat,4,2.0,1.0,0.1,0.0
sentence_caps,alt2nat,4,4.0,1.0,0.1,0.0
sentence_caps,alt2nat,6,0.5,0.36,0.1,0.0
sentence_caps,alt2nat,6,1.0,0.94,0.1,0.0
sentence_caps,alt2nat,6,2.0,0.96,0.1,0.0
sentence_caps,alt2nat,6,4.0,1.0,0.1,0.0
sentence_caps,alt2nat,8,0.5,0.24,0.1,0.0
sentence_caps,alt2nat,8,1.0,0.74,0.1,0.0
sentence_caps,alt2nat,8,2.0,0.9,0.1,0.0
sentence_caps,alt2nat,8,4.0,0.58,0.1,0.0
sentence_caps,alt2nat,10,0.5,0.08,0.1,0.0
sentence_caps,alt2nat,10,1.0,0.18,0.1,0.0
sentence_caps,alt2nat,10,2.0,0.34,0.1,0.0
sentence_caps,alt2nat,10,4.0,0.94,0.1,0.0
sentence_caps,alt2nat,12,0.5,0.06,0.1,0.0
sentence_caps,alt2nat,12,1.0,0.2,0.1,0.0
sentence_caps,alt2nat,12,2.0,0.36,0.1,0.0
sentence_caps,alt2nat,12,4.0,0.94,0.1,0.0
sentence_caps,alt2nat,16,0.5,0.08,0.1,0.0
sentence_caps,alt2nat,16,1.0,0.08,0.1,0.0
sentence_caps,alt2nat,16,2.0,0.1,0.1,0.0
sentence_caps,alt2nat,16,4.0,0.12,0.1,0.0
sentence_caps,alt2nat,20,0.5,0.06,0.1,0.0
sentence_caps,alt2nat,20,1.0,0.08,0.1,0.0
sentence_caps,alt2nat,20,2.0,0.1,0.1,0.0
sentence_caps,alt2nat,20,4.0,0.12,0.1,0.0
sentence_caps,alt2nat,24,0.5,0.06,0.1,0.0
sentence_caps,alt2nat,24,1.0,0.08,0.1,0.0
sentence_caps,alt2nat,24,2.0,0.08,0.1,0.0
sentence_caps,alt2nat,24,4.0,0.08,0.1,0.0
all_caps,nat2alt,2,0.5,0.0,0.0,0.0
all_caps,nat2alt,2,1.0,0.32,0.0,0.08
all_caps,nat2alt,2,2.0,0.92,0.0,0.0
all_caps,nat2alt,2,4.0,0.48,0.0,0.16
all_caps,nat2alt,4,0.5,0.0,0.0,0.0
all_caps,nat2alt,4,1.0,0.78,0.0,0.04
all_caps,nat2alt,4,2.0,0.9,0.0,0.0
all_caps,nat2alt,4,4.0,0.26,0.0,0.1
all_caps,nat2alt,6,0.5,0.0,0.0,0.0
all_caps,nat2alt,6,1.0,0.8,0.0,0.02
all_caps,nat2alt,6,2.0,0.94,0.0,0.02
all_caps,nat2alt,6,4.0,0.34,0.0,0.2
all_caps,nat2alt,8,0.5,0.0,0.0,0.0
all_caps,nat2alt,8,1.0,0.78,0.0,0.04
all_caps,nat2alt,8,2.0,0.96,0.0,0.0
all_caps,nat2alt,8,4.0,0.52,0.0,0.06
all_caps,nat2alt,10,0.5,0.0,0.0,0.0
all_caps,nat2alt,10,1.0,0.78,0.0,0.0
all_caps,nat2alt,10,2.0,0.64,0.0,0.04
all_caps,nat2alt,10,4.0,0.08,0.0,0.14
all_caps,nat2alt,12,0.5,0.0,0.0,0.0
