family,direction,context,target,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,capped,n_positions,step3_genuine_k3,step3_context_k3
sentence_caps,nat2alt,nat,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.985,0.015,0.69,0.02,3.0,0.665,0.705
sentence_caps,nat2alt,nat,alt,nat2alt_top1,8,4.0,,200,0.575,0.506,0.641,0.945,0.05,0.005,0.605,0.04,3.0,0.665,0.705
sentence_caps,nat2alt,nat,alt,nat2alt_top2,4,1.0,,200,0.595,0.526,0.661,0.77,0.225,0.005,0.775,0.025,3.0,0.665,0.705
sentence_caps,nat2alt,nat,alt,nat2alt_cf,8,4.0,all_caps,200,0.0,0.0,0.019,0.0,0.99,0.01,0.725,0.03,3.0,0.665,0.705
sentence_caps,alt2nat,alt,nat,base,0,0.0,,200,0.04,0.02,0.077,0.07,0.925,0.005,0.715,0.03,3.0,0.705,0.665
sentence_caps,alt2nat,alt,nat,alt2nat_top1,2,2.0,,200,0.67,0.602,0.731,0.995,0.0,0.005,0.67,0.025,3.0,0.705,0.665
sentence_caps,alt2nat,alt,nat,alt2nat_top2,4,2.0,,200,0.755,0.691,0.809,0.995,0.0,0.005,0.755,0.035,3.0,0.705,0.665
sentence_caps,alt2nat,alt,nat,alt2nat_cf,2,2.0,all_caps,200,0.26,0.204,0.325,0.385,0.605,0.01,0.735,0.025,3.0,0.705,0.665
all_caps,nat2alt,nat,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.995,0.005,0.73,0.025,76.9,0.36,0.71
all_caps,nat2alt,nat,alt,nat2alt_top1,8,2.0,,200,0.15,0.107,0.206,0.96,0.025,0.015,0.165,0.33,76.9,0.36,0.71
all_caps,nat2alt,nat,alt,nat2alt_top2,6,2.0,,200,0.215,0.164,0.277,0.92,0.06,0.02,0.25,0.335,76.9,0.36,0.71
all_caps,nat2alt,nat,alt,nat2alt_cf,8,2.0,double_space,200,0.0,0.0,0.019,0.0,0.865,0.135,0.41,0.065,76.9,0.36,0.71
all_caps,alt2nat,alt,nat,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.995,0.005,0.34,0.35,130.1,0.71,0.36
all_caps,alt2nat,alt,nat,alt2nat_top1,2,1.0,,200,0.15,0.107,0.206,0.995,0.0,0.005,0.15,0.09,130.1,0.71,0.36
all_caps,alt2nat,alt,nat,alt2nat_top2,4,1.0,,200,0.345,0.283,0.413,1.0,0.0,0.0,0.345,0.05,130.1,0.71,0.36
all_caps,alt2nat,alt,nat,alt2nat_cf,2,1.0,double_space,200,0.005,0.001,0.028,0.005,0.99,0.005,0.24,0.375,130.1,0.71,0.36
double_space,nat2alt,nat,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.995,0.005,0.725,0.015,3.0,0.595,0.69
double_space,nat2alt,nat,alt,nat2alt_top1,10,4.0,,200,0.405,0.339,0.474,0.645,0.265,0.09,0.57,0.03,3.0,0.595,0.69
double_space,nat2alt,nat,alt,nat2alt_top2,6,4.0,,200,0.285,0.227,0.351,0.48,0.5,0.02,0.66,0.045,3.0,0.595,0.69
double_space,nat2alt,nat,alt,nat2alt_cf,10,4.0,us_uk,200,0.0,0.0,0.019,0.0,1.0,0.0,0.73,0.03,3.0,0.595,0.69
double_space,alt2nat,alt,nat,base,0,0.0,,200,0.04,0.02,0.077,0.055,0.935,0.01,0.715,0.03,6.0,0.69,0.595
double_space,alt2nat,alt,nat,alt2nat_top1,4,2.0,,200,0.74,0.675,0.796,1.0,0.0,0.0,0.74,0.02,6.0,0.69,0.595
double_space,alt2nat,alt,nat,alt2nat_top2,8,2.0,,200,0.72,0.654,0.778,0.975,0.025,0.0,0.74,0.025,6.0,0.69,0.595
double_space,alt2nat,alt,nat,alt2nat_cf,4,2.0,us_uk,200,0.085,0.054,0.132,0.14,0.855,0.005,0.68,0.02,6.0,0.69,0.595
us_uk,nat2alt,nat,alt,base,0,0.0,,200,0.05,0.027,0.09,0.055,0.805,0.14,0.815,0.0,3.0,0.58,0.65
us_uk,nat2alt,nat,alt,nat2alt_top1,10,2.0,,200,0.68,0.612,0.741,0.765,0.09,0.145,0.89,0.01,3.0,0.58,0.65
us_uk,nat2alt,nat,alt,nat2alt_top2,20,2.0,,200,0.67,0.602,0.731,0.795,0.025,0.18,0.85,0.005,3.0,0.58,0.65
us_uk,nat2alt,nat,alt,nat2alt_cf,10,2.0,ise_ize,200,0.63,0.561,0.694,0.705,0.12,0.175,0.855,0.0,3.0,0.58,0.65
us_uk,alt2nat,alt,nat,base,0,0.0,,200,0.135,0.094,0.189,0.155,0.685,0.16,0.85,0.0,3.3,0.65,0.58
us_uk,alt2nat,alt,nat,alt2nat_top1,6,2.0,,200,0.63,0.561,0.694,0.78,0.065,0.155,0.79,0.0,3.3,0.65,0.58
us_uk,alt2nat,alt,nat,alt2nat_top2,12,2.0,,200,0.665,0.597,0.727,0.75,0.08,0.17,0.855,0.0,3.3,0.65,0.58
us_uk,alt2nat,alt,nat,alt2nat_cf,6,2.0,ise_ize,200,0.65,0.582,0.713,0.775,0.07,0.155,0.855,0.0,3.3,0.65,0.58
ise_ize,nat2alt,nat,alt,base,0,0.0,,200,0.015,0.005,0.043,0.015,0.82,0.165,0.865,0.0,3.0,0.6,0.68
ise_ize,nat2alt,nat,alt,nat2alt_top1,4,2.0,,200,0.605,0.536,0.67,0.665,0.13,0.205,0.88,0.01,3.0,0.6,0.68
ise_ize,nat2alt,nat,alt,nat2alt_top2,20,2.0,,200,0.65,0.582,0.713,0.745,0.06,0.195,0.85,0.01,3.0,0.6,0.68
ise_ize,nat2alt,nat,alt,nat2alt_cf,4,2.0,brit_t_past,200,0.465,0.397,0.534,0.545,0.25,0.205,0.815,0.005,3.0,0.6,0.68
ise_ize,alt2nat,alt,nat,base,0,0.0,,200,0.16,0.116,0.217,0.175,0.65,0.175,0.835,0.0,4.1,0.68,0.6
ise_ize,alt2nat,alt,nat,alt2nat_top1,12,1.0,,200,0.705,0.638,0.764,0.78,0.04,0.18,0.905,0.005,4.1,0.68,0.6
ise_ize,alt2nat,alt,nat,alt2nat_top2,12,4.0,,200,0.71,0.644,0.768,0.815,0.0,0.185,0.865,0.01,4.1,0.68,0.6
ise_ize,alt2nat,alt,nat,alt2nat_cf,12,1.0,brit_t_past,200,0.55,0.481,0.617,0.63,0.185,0.185,0.85,0.0,4.1,0.68,0.6
brit_t_past,nat2alt,nat,alt,base,0,0.0,,200,0.075,0.046,0.12,0.095,0.58,0.325,0.805,0.005,3.1,0.17,0.43
brit_t_past,nat2alt,nat,alt,nat2alt_top1,8,2.0,,200,0.165,0.12,0.223,0.185,0.48,0.335,0.79,0.0,3.1,0.17,0.43
brit_t_past,nat2alt,nat,alt,nat2alt_top2,12,2.0,,200,0.135,0.094,0.189,0.19,0.45,0.36,0.755,0.005,3.1,0.17,0.43
brit_t_past,nat2alt,nat,alt,nat2alt_cf,8,2.0,sentence_caps,200,0.08,0.05,0.126,0.105,0.6,0.295,0.76,0.0,3.1,0.17,0.43
brit_t_past,alt2nat,alt,nat,base,0,0.0,,200,0.38,0.316,0.449,0.47,0.21,0.32,0.79,0.005,4.8,0.43,0.17
brit_t_past,alt2nat,alt,nat,alt2nat_top1,10,4.0,,200,0.49,0.422,0.559,0.605,0.075,0.32,0.825,0.005,4.8,0.43,0.17
brit_t_past,alt2nat,alt,nat,alt2nat_top2,4,1.0,,200,0.475,0.407,0.544,0.59,0.125,0.285,0.81,0.0,4.8,0.43,0.17
brit_t_past,alt2nat,alt,nat,alt2nat_cf,10,4.0,sentence_caps,200,0.47,0.402,0.539,0.585,0.095,0.32,0.77,0.0,4.8,0.43,0.17
whilst,nat2alt,nat,alt,base,0,0.0,,200,0.05,0.027,0.09,0.075,0.685,0.24,0.805,0.01,3.0,0.525,0.585
whilst,nat2alt,nat,alt,nat2alt_top1,20,4.0,,200,0.59,0.521,0.656,0.805,0.085,0.11,0.755,0.005,3.0,0.525,0.585
whilst,nat2alt,nat,alt,nat2alt_top2,4,2.0,,200,0.655,0.587,0.717,0.785,0.065,0.15,0.815,0.0,3.0,0.525,0.585
whilst,nat2alt,nat,alt,nat2alt_cf,20,4.0,contractions,200,0.07,0.042,0.114,0.085,0.69,0.225,0.845,0.005,3.0,0.525,0.585
whilst,alt2nat,alt,nat,base,0,0.0,,200,0.115,0.078,0.167,0.135,0.645,0.22,0.825,0.0,3.0,0.585,0.525
whilst,alt2nat,alt,nat,alt2nat_top1,10,4.0,,200,0.57,0.501,0.637,0.67,0.115,0.215,0.845,0.005,3.0,0.585,0.525
whilst,alt2nat,alt,nat,alt2nat_top2,4,1.0,,200,0.53,0.461,0.598,0.645,0.08,0.275,0.815,0.01,3.0,0.585,0.525
whilst,alt2nat,alt,nat,alt2nat_cf,10,4.0,contractions,200,0.215,0.164,0.277,0.295,0.42,0.285,0.82,0.01,3.0,0.585,0.525
contractions,nat2alt,nat,alt,base,0,0.0,,200,0.095,0.062,0.144,0.12,0.8,0.08,0.8,0.0,4.9,0.61,0.645
contractions,nat2alt,nat,alt,nat2alt_top1,6,4.0,,200,0.75,0.686,0.805,0.895,0.05,0.055,0.835,0.015,4.9,0.61,0.645
contractions,nat2alt,nat,alt,nat2alt_top2,10,2.0,,200,0.64,0.571,0.703,0.78,0.14,0.08,0.81,0.01,4.9,0.61,0.645
contractions,nat2alt,nat,alt,nat2alt_cf,6,4.0,ampersand,200,0.13,0.09,0.184,0.175,0.66,0.165,0.785,0.02,4.9,0.61,0.645
contractions,alt2nat,alt,nat,base,0,0.0,,200,0.12,0.082,0.172,0.14,0.74,0.12,0.835,0.0,4.8,0.645,0.61
contractions,alt2nat,alt,nat,alt2nat_top1,2,4.0,,200,0.59,0.521,0.656,0.745,0.165,0.09,0.795,0.01,4.8,0.645,0.61
contractions,alt2nat,alt,nat,alt2nat_top2,2,2.0,,200,0.625,0.556,0.689,0.785,0.13,0.085,0.82,0.015,4.8,0.645,0.61
contractions,alt2nat,alt,nat,alt2nat_cf,2,4.0,ampersand,200,0.28,0.222,0.346,0.33,0.525,0.145,0.81,0.005,4.8,0.645,0.61
ampersand,nat2alt,nat,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.925,0.075,0.86,0.0,3.0,0.655,0.77
ampersand,nat2alt,nat,alt,nat2alt_top1,10,2.0,,200,0.69,0.623,0.75,0.925,0.025,0.05,0.735,0.015,3.0,0.655,0.77
ampersand,nat2alt,nat,alt,nat2alt_top2,6,4.0,,200,0.81,0.75,0.858,0.94,0.005,0.055,0.86,0.0,3.0,0.655,0.77
ampersand,nat2alt,nat,alt,nat2alt_cf,10,2.0,oxford_comma,200,0.0,0.0,0.019,0.0,0.935,0.065,0.845,0.005,3.0,0.655,0.77
ampersand,alt2nat,alt,nat,base,0,0.0,,200,0.15,0.107,0.206,0.16,0.79,0.05,0.845,0.01,3.0,0.77,0.655
ampersand,alt2nat,alt,nat,alt2nat_top1,8,1.0,,200,0.81,0.75,0.858,0.95,0.0,0.05,0.85,0.0,3.0,0.77,0.655
ampersand,alt2nat,alt,nat,alt2nat_top2,10,1.0,,200,0.81,0.75,0.858,0.93,0.005,0.065,0.855,0.005,3.0,0.77,0.655
ampersand,alt2nat,alt,nat,alt2nat_cf,8,1.0,oxford_comma,200,0.105,0.07,0.155,0.14,0.795,0.065,0.845,0.005,3.0,0.77,0.655
oxford_comma,nat2alt,nat,alt,base,0,0.0,,200,0.065,0.038,0.108,0.085,0.9,0.015,0.885,0.0,6.0,0.705,0.77
