family,direction,unsteered,best_layer,best_alpha,best_rate,best_layer_9,best_alpha_9,best_rate_9,rate_L0,gain_full_vs_9
sentence_caps,nat2alt,0.0,8,4.0,0.98,8,4.0,0.98,0.96,0.0
sentence_caps,alt2nat,0.1,0,2.0,1.0,2,2.0,1.0,1.0,0.0
all_caps,nat2alt,0.0,1,2.0,0.98,8,2.0,0.96,0.96,0.02
all_caps,alt2nat,0.0,2,1.0,1.0,2,1.0,1.0,0.86,0.0
double_space,nat2alt,0.0,0,4.0,0.72,10,4.0,0.7,0.72,0.02
double_space,alt2nat,0.08,1,2.0,1.0,4,2.0,1.0,0.98,0.0
us_uk,nat2alt,0.04,19,2.0,0.9,10,2.0,0.86,0.76,0.04
us_uk,alt2nat,0.18,3,2.0,0.94,6,2.0,0.86,0.82,0.08
ise_ize,nat2alt,0.0,4,2.0,0.8,4,2.0,0.8,0.58,0.0
ise_ize,alt2nat,0.2,1,4.0,0.92,12,1.0,0.88,0.86,0.04
brit_t_past,nat2alt,0.1,9,4.0,0.28,8,2.0,0.24,0.12,0.04
brit_t_past,alt2nat,0.5,7,2.0,0.76,10,4.0,0.76,0.72,0.0
whilst,nat2alt,0.04,3,4.0,0.92,20,4.0,0.9,0.88,0.02
whilst,alt2nat,0.06,5,2.0,0.8,10,4.0,0.8,0.7,0.0
contractions,nat2alt,0.24,6,4.0,0.92,6,4.0,0.92,0.8,0.0
contractions,alt2nat,0.14,1,4.0,0.84,2,4.0,0.74,0.78,0.1
ampersand,nat2alt,0.0,11,2.0,0.98,10,2.0,0.96,0.94,0.02
ampersand,alt2nat,0.22,8,1.0,0.98,8,1.0,0.98,0.94,0.0
oxford_comma,nat2alt,0.06,6,4.0,1.0,6,4.0,1.0,0.9,0.0
oxford_comma,alt2nat,0.14,3,2.0,0.86,6,2.0,0.84,0.66,0.02
curly_quotes,nat2alt,0.0,3,2.0,0.86,4,2.0,0.76,0.66,0.1
curly_quotes,alt2nat,0.08,0,1.0,1.0,6,2.0,1.0,1.0,0.0
quote_punct,nat2alt,0.04,0,1.0,0.86,6,2.0,0.86,0.86,0.0
quote_punct,alt2nat,0.02,1,2.0,0.96,2,2.0,0.94,0.96,0.02
em_dash,nat2alt,0.0,5,2.0,0.92,4,2.0,0.88,0.18,0.04
em_dash,alt2nat,0.04,0,1.0,1.0,2,1.0,1.0,1.0,0.0
ellipsis,nat2alt,0.0,1,2.0,1.0,20,4.0,1.0,0.96,0.0
ellipsis,alt2nat,0.14,0,1.0,1.0,2,1.0,1.0,1.0,0.0
num_words,nat2alt,0.02,25,4.0,0.86,2,4.0,0.74,0.64,0.12
num_words,alt2nat,0.62,7,1.0,0.96,4,4.0,0.96,0.92,0.0
percent_sign,nat2alt,0.0,0,2.0,1.0,2,2.0,1.0,1.0,0.0
percent_sign,alt2nat,0.06,0,0.5,1.0,2,2.0,1.0,1.0,0.0
ordinal_words,nat2alt,0.0,7,2.0,1.0,12,2.0,1.0,0.94,0.0
ordinal_words,alt2nat,0.14,3,1.0,0.98,12,1.0,0.98,0.8,0.0
