icl_example_index,token_role,layer,activation_k,fv_k,feature_dim,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
1,pre_label_token,0,32,16,48,2600,1170,219.55435180664062,261.9427795410156,2.521834373474121,3.212959051132202,0.1967194378376007
1,pre_label_token,1,32,16,48,2600,1170,10.179422378540039,9.10909366607666,0.12320718914270401,0.3001715838909149,0.1967194378376007
1,pre_label_token,2,32,16,48,2600,1170,9.187016487121582,9.523198127746582,0.1118924543261528,0.3053436279296875,0.1967194378376007
1,pre_label_token,3,32,16,48,2600,1170,8.67162036895752,9.919612884521484,0.10589901357889175,0.3093562722206116,0.1967194378376007
1,pre_label_token,4,32,16,48,2600,1170,8.280834197998047,10.158616065979004,0.10135050863027573,0.3121738135814667,0.1967194378376007
1,pre_label_token,5,32,16,48,2600,1170,8.5774507522583,10.641853332519531,0.10421303659677505,0.3137780427932739,0.1967194378376007
1,pre_label_token,6,32,16,48,2600,1170,8.330912590026855,10.440913200378418,0.10125596076250076,0.3117353618144989,0.1967194378376007
1,pre_label_token,7,32,16,48,2600,1170,8.247581481933594,10.638586044311523,0.10011432319879532,0.3133604824542999,0.1967194378376007
1,pre_label_token,8,32,16,48,2600,1170,8.237394332885742,10.504388809204102,0.09994864463806152,0.31322813034057617,0.1967194378376007
1,pre_label_token,9,32,16,48,2600,1170,8.167530059814453,10.630229949951172,0.09875775873661041,0.31358644366264343,0.1967194378376007
1,pre_label_token,10,32,16,48,2600,1170,8.002028465270996,11.011573791503906,0.09681760519742966,0.31722503900527954,0.1967194378376007
1,pre_label_token,11,32,16,48,2600,1170,7.895946025848389,11.042019844055176,0.09581177681684494,0.3186292052268982,0.1967194378376007
1,pre_label_token,12,32,16,48,2600,1170,7.79979944229126,11.201240539550781,0.0946340262889862,0.31998053193092346,0.1967194378376007
1,pre_label_token,13,32,16,48,2600,1170,7.667457580566406,11.892536163330078,0.09209813177585602,0.3233412206172943,0.1967194378376007
1,pre_label_token,14,32,16,48,2600,1170,7.623425483703613,12.401061058044434,0.08992122113704681,0.32407400012016296,0.1967194378376007
1,pre_label_token,15,32,16,48,2600,1170,7.637778282165527,11.903728485107422,0.0907309502363205,0.32187315821647644,0.1967194378376007
1,pre_label_token,16,32,16,48,2600,1170,7.6575093269348145,12.097823143005371,0.09072351455688477,0.3233894407749176,0.1967194378376007
1,pre_label_token,17,32,16,48,2600,1170,7.7301483154296875,12.255066871643066,0.0911087617278099,0.32335278391838074,0.1967194378376007
1,pre_label_token,18,32,16,48,2600,1170,7.687077522277832,12.209470748901367,0.09071439504623413,0.3231698274612427,0.1967194378376007
1,pre_label_token,19,32,16,48,2600,1170,7.714505672454834,12.544930458068848,0.0907500758767128,0.3252147436141968,0.1967194378376007
1,pre_label_token,20,32,16,48,2600,1170,7.766366004943848,12.533493995666504,0.0915970653295517,0.3262331187725067,0.1967194378376007
1,pre_label_token,21,32,16,48,2600,1170,7.709386825561523,12.491838455200195,0.09129337966442108,0.3279949426651001,0.1967194378376007
1,pre_label_token,22,32,16,48,2600,1170,7.73093843460083,12.528194427490234,0.09177390486001968,0.32852721214294434,0.1967194378376007
1,pre_label_token,23,32,16,48,2600,1170,7.718990325927734,12.490681648254395,0.09180367738008499,0.3290647566318512,0.1967194378376007
1,pre_label_token,24,32,16,48,2600,1170,7.676669597625732,12.454222679138184,0.09139575809240341,0.3287143409252167,0.1967194378376007
1,pre_label_token,25,32,16,48,2600,1170,7.6462016105651855,12.59762954711914,0.09100931137800217,0.3294519782066345,0.1967194378376007
1,pre_label_token,26,32,16,48,2600,1170,7.6346845626831055,12.602875709533691,0.09092873334884644,0.33003556728363037,0.1967194378376007
1,pre_label_token,27,32,16,48,2600,1170,7.685572624206543,12.473894119262695,0.09158746898174286,0.3288945257663727,0.1967194378376007
1,pre_label_token,28,32,16,48,2600,1170,7.791499614715576,12.498826026916504,0.0928279235959053,0.32928356528282166,0.1967194378376007
1,first_label_token,0,32,16,48,2600,1170,8.682223320007324,8.741159439086914,0.10651010274887085,0.29697778820991516,0.1967194378376007
1,first_label_token,1,32,16,48,2600,1170,7.265976905822754,8.852018356323242,0.09001810103654861,0.29874834418296814,0.1967194378376007
1,first_label_token,2,32,16,48,2600,1170,6.336784362792969,7.681210041046143,0.07918126881122589,0.28484880924224854,0.1967194378376007
1,first_label_token,3,32,16,48,2600,1170,5.941603183746338,7.4860405921936035,0.07465925067663193,0.28273385763168335,0.1967194378376007
1,first_label_token,4,32,16,48,2600,1170,5.194807529449463,7.039096832275391,0.06590314209461212,0.27738168835639954,0.1967194378376007
1,first_label_token,5,32,16,48,2600,1170,4.815745830535889,6.502179145812988,0.06145124137401581,0.2708877623081207,0.1967194378376007
1,first_label_token,6,32,16,48,2600,1170,4.404928684234619,6.4889678955078125,0.056670427322387695,0.27043500542640686,0.1967194378376007
1,first_label_token,7,32,16,48,2600,1170,4.090507507324219,6.026266574859619,0.05278818681836128,0.26455146074295044,0.1967194378376007
1,first_label_token,8,32,16,48,2600,1170,3.966214656829834,5.639567852020264,0.05142214894294739,0.2599904239177704,0.1967194378376007
1,first_label_token,9,32,16,48,2600,1170,4.015474319458008,5.615481376647949,0.05175945162773132,0.25911766290664673,0.1967194378376007
1,first_label_token,10,32,16,48,2600,1170,4.067251205444336,5.652492523193359,0.052287135273218155,0.2594018876552582,0.1967194378376007
1,first_label_token,11,32,16,48,2600,1170,4.080554962158203,5.754602432250977,0.05241470783948898,0.2608858644962311,0.1967194378376007
1,first_label_token,12,32,16,48,2600,1170,4.109915733337402,5.800473690032959,0.052743587642908096,0.2611851692199707,0.1967194378376007
1,first_label_token,13,32,16,48,2600,1170,4.066857814788818,5.7533464431762695,0.05230298638343811,0.2607646882534027,0.1967194378376007
1,first_label_token,14,32,16,48,2600,1170,4.168939113616943,6.046604633331299,0.053295381367206573,0.2637506425380707,0.1967194378376007
