condition,mean_logit_diff,recovery
baseline,-1.5073,
demo2_prelabel.open,-1.4483,0.0125
demo2_prelabel.isolated,-1.5558,-0.0102
both_labels.open,3.2302,1.0009
both_labels.isolated,3.0614,0.9652
target_ceiling,3.2262,
