task,group,cf_task,baseline,uniq_own_mean,uniq_own_zero,uniq_cf_mean,carrier_mean,carrier_zero,span2_own_mean,span2_cf_mean,full_own_mean,full_own_zero,full_cf_mean,full_cf_zero,full_baseline,cos_uniq_own_cf,cos_fv_carrier,uniq_share_fv_norm2,meanabl_shift_ratio_full,meanabl_shift_ratio_uniq
count_digits,heldout,us-city-state,0.7933,0.7133,0.7733,0.78,0.7667,0.5667,0.7733,0.7733,0.7867,0.2067,0.8067,0.6867,0.7467,-0.0286,0.742,0.4495,0.1095,1.5497
count_words,train,german-english,0.68,0.5533,0.4933,0.66,0.66,0.2067,0.5667,0.6467,0.5867,0.0133,0.6533,0.4267,0.62,-0.2797,0.8089,0.3457,0.0877,0.8086
country-capital,train,remove_first_letter,0.8667,0.5933,0.7667,0.8467,0.7733,0.5533,0.6067,0.8067,0.8333,0.0333,0.8533,0.72,0.86,-0.114,0.725,0.4744,0.3237,1.4817
day_after_textual_date,train,first_three_letters,0.9933,0.96,0.9867,1.0,0.9867,0.6667,0.9867,0.9867,0.9733,0.08,0.9867,0.94,0.9733,-0.1802,0.7269,0.4717,0.236,1.1384
double_no_carry,heldout,first_letter_second_word,0.96,0.94,0.9667,0.98,0.9667,0.4867,0.9267,0.9867,0.9333,0.1067,0.96,0.82,0.9467,-0.09,0.7432,0.4477,0.0592,1.0611
double_number,train,compound_first,0.9667,0.9067,0.8533,0.92,0.9667,0.4933,0.94,0.96,0.9067,0.0533,0.96,0.7133,0.9333,-0.2421,0.7261,0.4728,0.1185,1.1837
ends_with_ing,train,next_in_group,0.6933,0.6067,0.4067,0.6733,0.6867,0.0267,0.6333,0.6867,0.6267,0.0,0.6667,0.6,0.7133,-0.1316,0.7295,0.4678,0.1057,0.6883
english-french,train,last_vowel,0.7467,0.5133,0.62,0.7333,0.74,0.3933,0.5267,0.7467,0.7133,0.1067,0.7467,0.64,0.7067,-0.0365,0.8324,0.3071,0.1933,1.098
english-german,train,adjective_to_adverb,0.42,0.2533,0.2933,0.46,0.4267,0.22,0.2667,0.4333,0.4133,0.08,0.4467,0.1533,0.4533,0.1847,0.8165,0.3332,0.1975,0.9455
english-italian,train,person_place_thing,0.7267,0.4667,0.6667,0.7667,0.6733,0.5867,0.4533,0.6933,0.7267,0.0533,0.7467,0.6933,0.7733,-0.0965,0.7972,0.3645,0.2287,1.4615
english-portuguese,train,adjective_to_noun,0.8,0.52,0.6467,0.7867,0.76,0.64,0.54,0.8,0.76,0.04,0.8067,0.3,0.8133,0.2151,0.8307,0.3099,0.2324,1.2997
english-spanish,train,adjective_to_adverb,0.7067,0.48,0.52,0.7333,0.7267,0.5467,0.54,0.74,0.7333,0.0733,0.76,0.44,0.7533,0.2058,0.8406,0.2934,0.1958,1.1211
first_digit,train,verb_to_third_person,0.9733,1.0,0.98,0.9733,0.9933,0.9,0.9733,0.9867,0.9933,0.22,0.9733,0.9667,0.9933,-0.144,0.7979,0.3634,0.112,1.4443
first_letter_second_word,heldout,double_no_carry,0.6467,0.4,0.4333,0.66,0.66,0.2267,0.4333,0.7,0.64,0.0067,0.66,0.34,0.6733,-0.09,0.8278,0.3148,0.1247,0.9169
first_three_letters,train,singular_or_plural,0.5933,0.32,0.38,0.6333,0.5933,0.32,0.3133,0.6,0.4267,0.0267,0.5933,0.3667,0.6133,-0.1646,0.7955,0.3672,0.1847,0.8873
first_two_letters,train,day_after_textual_date,0.8533,0.38,0.5,0.8267,0.8267,0.42,0.3467,0.8067,0.7467,0.02,0.8667,0.62,0.8333,-0.1527,0.783,0.3869,0.1798,1.4127
first_vowel,train,person_place_thing,0.4733,0.1133,0.2467,0.4333,0.5133,0.1533,0.0933,0.4533,0.36,0.0067,0.46,0.4867,0.4667,-0.1244,0.816,0.3342,0.1242,1.5992
french-english,heldout,larger_of_pair,0.86,0.84,0.8267,0.84,0.88,0.36,0.8333,0.84,0.8467,0.0867,0.86,0.7467,0.8533,-0.3742,0.8963,0.1966,0.1832,1.2184
french_noun_gender,heldout,english-italian,0.8933,0.6533,0.7533,0.9533,0.8733,0.0933,0.54,0.9533,0.7,0.02,0.88,0.34,0.8733,0.1241,0.6883,0.5262,0.2703,1.2971
german-english,train,french_noun_gender,0.8933,0.8,0.84,0.9067,0.8867,0.3467,0.7867,0.8867,0.8267,0.0867,0.88,0.3,0.8867,0.0256,0.8973,0.1949,0.1673,1.0488
german_noun_gender,train,first_two_letters,0.9467,0.5733,0.5133,0.9467,0.9467,0.3467,0.5333,0.9333,0.8667,0.0,0.9067,0.6333,0.9467,0.0364,0.7614,0.4203,0.1632,1.0564
gerund_to_base,train,sentiment,0.9467,0.92,0.9333,0.9533,0.98,0.3533,0.9133,0.9533,0.9533,0.0467,0.9733,0.84,0.9667,-0.187,0.8807,0.2244,0.1625,0.8374
