quantity,mean,lo,hi
baseline,0.8011,0.762,0.8375
uniq_own_mean,0.5792,0.525,0.6309
uniq_own_zero,0.558,0.5018,0.6137
uniq_cf_mean,0.8007,0.7625,0.8374
carrier_mean,0.7919,0.7517,0.8301
carrier_zero,0.3405,0.2967,0.3847
span2_own_mean,0.5734,0.5206,0.6267
span2_cf_mean,0.7934,0.7532,0.831
full_own_mean,0.7391,0.6979,0.7782
full_own_zero,0.0561,0.0402,0.0739
full_cf_mean,0.7965,0.7562,0.834
full_cf_zero,0.5431,0.4875,0.5995
full_baseline,0.7977,0.7587,0.8346
cos_uniq_own_cf,-0.0577,-0.0816,-0.0331
cos_fv_carrier,0.7907,0.7794,0.8024
uniq_share_fv_norm2,0.3715,0.3533,0.3898
meanabl_shift_ratio_full,0.1752,0.1636,0.187
meanabl_shift_ratio_uniq,1.0637,1.0066,1.1229
drop_uniq_own_mean,0.2219,0.1822,0.2638
drop_uniq_cf_mean,0.0004,-0.0056,0.0067
drop_uniq_own_minus_cf_mean,0.2215,0.1828,0.2604
n_tasks_uniq_own_drop_gt_cf,86.0,,
n_tasks,96.0,,
