property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_coherentonly,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_coherentonly,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,16,6,32.0,32.0,0.005,0.372,0.88,0.016,0.99,0.0,0.412,0.837,0.901,0.508,199,0.071,0.935,0.974,0.984,0.04,199,0.01,0.01,0.377
ampersand,20,20,16.0,32.0,0.0,0.0,0.12,0.761,0.325,0.667,0.972,1.0,1.0,0.028,144,0.0,0.993,1.0,1.0,0.007,144,0.0,0.0,0.326
contractions,24,16,32.0,32.0,0.04,0.029,0.12,0.78,0.16,0.83,0.511,0.511,0.978,0.0,174,0.477,0.149,0.152,0.812,0.017,174,0.813,0.08,0.069
curly_quotes,20,24,32.0,32.0,0.0,0.096,0.306,0.674,0.312,0.684,0.084,0.086,0.7,0.024,167,0.877,0.611,1.0,1.0,0.389,167,0.0,0.006,0.072
double_space,10,6,32.0,8.0,0.0,0.91,0.655,0.196,0.715,0.278,0.905,0.923,1.0,0.02,200,0.077,0.905,0.914,1.0,0.01,200,0.086,0.0,0.9
em_dash,20,20,32.0,32.0,0.0,0.0,0.433,0.536,0.433,0.527,0.99,1.0,1.0,0.01,99,0.0,1.0,1.0,1.0,0.0,99,0.0,0.01,0.03
num_words,20,20,16.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.938,0.938,1.0,0.0,81,0.062,0.679,0.679,1.0,0.0,81,0.321,0.074,0.148
ordinal_words,24,16,16.0,32.0,0.035,0.0,0.169,0.831,0.169,0.759,0.815,0.827,1.0,0.015,200,0.173,0.045,0.045,0.529,0.005,200,0.915,0.115,0.01
oxford_comma,16,6,16.0,32.0,0.0,0.0,0.5,0.455,0.591,0.364,1.0,1.0,1.0,0.0,67,0.0,0.478,0.478,0.842,0.0,67,0.433,0.134,0.478
percent_sign,16,8,32.0,32.0,0.0,0.308,0.695,0.288,0.831,0.169,0.99,1.0,1.0,0.01,104,0.0,0.99,1.0,1.0,0.01,104,0.0,0.077,0.433
quote_punct,16,24,32.0,8.0,0.04,0.744,0.744,0.053,0.917,0.035,0.968,1.0,1.0,0.032,125,0.0,0.976,0.976,0.992,0.0,125,0.016,0.016,0.888
sentence_caps,10,2,32.0,32.0,0.0,0.815,0.695,0.03,0.96,0.03,0.88,1.0,1.0,0.12,200,0.0,0.895,0.904,1.0,0.01,200,0.096,0.0,0.845
us_uk,24,24,16.0,32.0,0.027,0.041,0.15,0.833,0.233,0.767,0.473,0.476,0.986,0.007,146,0.517,0.753,0.833,0.991,0.096,146,0.159,0.017,0.217
