task,condition,n,top1,d_top1,mean_gold_logit,d_gold_logit
antonym,clean,1491,0.1321,0.0000,11.5254,0.0000
antonym,ko_demo2_prelabel,1491,0.1429,0.0107,11.4491,-0.0763
antonym,ko_both_labels,1491,0.0074,-0.1247,8.3560,-3.1694
antonym,ko_demo2_qcolon,1491,0.1348,0.0027,11.4911,-0.0343
synonym,clean,1894,0.0866,0.0000,11.1173,0.0000
synonym,ko_demo2_prelabel,1894,0.0839,-0.0026,11.0018,-0.1155
synonym,ko_both_labels,1894,0.0042,-0.0824,8.6881,-2.4292
synonym,ko_demo2_qcolon,1894,0.0876,0.0011,11.1018,-0.0154
next_number_digits,clean,200,0.3050,0.0000,15.2432,0.0000
next_number_digits,ko_demo2_prelabel,200,0.3150,0.0100,15.3308,0.0876
next_number_digits,ko_both_labels,200,0.0000,-0.3050,9.0212,-6.2220
next_number_digits,ko_demo2_qcolon,200,0.3300,0.0250,15.2368,-0.0064
prev_number_digits,clean,200,0.2700,0.0000,14.7023,0.0000
prev_number_digits,ko_demo2_prelabel,200,0.2900,0.0200,14.6489,-0.0534
prev_number_digits,ko_both_labels,200,0.0000,-0.2700,8.9324,-5.7699
prev_number_digits,ko_demo2_qcolon,200,0.2750,0.0050,14.6804,-0.0219
