layer,input,cue,label,query_cue
0,0.53031,0.55923,0.59220,0.55931
1,0.49514,0.53936,0.58710,0.54078
2,0.46329,0.51124,0.58452,0.52057
3,0.49447,0.52277,0.64213,0.53562
4,0.54156,0.55311,0.70953,0.57126
5,0.54862,0.56556,0.74241,0.57829
6,0.56859,0.56865,0.80486,0.59277
7,0.53234,0.52949,0.74633,0.54935
8,0.50702,0.50004,0.70933,0.52062
9,0.46669,0.44528,0.65836,0.46247
10,0.42985,0.42553,0.61353,0.44206
11,0.38611,0.39456,0.56067,0.40716
12,0.34355,0.34271,0.51202,0.35264
13,0.31990,0.31675,0.48570,0.32484
14,0.29890,0.28716,0.46782,0.29463
15,0.29066,0.26746,0.45100,0.27532
16,0.28573,0.25007,0.43451,0.25367
17,0.26757,0.21630,0.40894,0.21608
18,0.26401,0.20867,0.39781,0.20748
19,0.24655,0.19590,0.37077,0.19279
20,0.23635,0.17824,0.34005,0.17445
21,0.22157,0.16209,0.31583,0.15757
22,0.21396,0.15301,0.30072,0.14850
23,0.21133,0.15758,0.29554,0.15507
24,0.17992,0.13758,0.26147,0.13577
25,0.15241,0.12716,0.23015,0.12832
26,0.11671,0.08786,0.18791,0.09044
27,0.13041,0.10739,0.20208,0.10993
