snapshot,n_fam,k0,k4,write_L24a2,read_L8a4,read_3shot_ref
pre-clean-up (09-19),53,0.273,0.728,0.514,0.575,0.717
pre-regen8 (09-22),53,0.287,0.723,0.551,0.591,0.716
now (regen8),53,0.296,0.763,0.56,0.6,0.758
