analysis,n_rows,n90_pcs,n95_pcs,stable_rank_raw,stable_rank_centered
literal_r_task,55,4,5,,
literal_pooled_perprompt,8250,4,6,1.62,1.63
literal_within_task_median,150,4,6,,
literal_task_mean_of_r,55,4,5,,
rank90_r_task,55,29,36,,
rank90_pooled_perprompt,8250,338,570,3.64,8.65
rank90_within_task_median,150,89,112,,
rank90_task_mean_of_r,55,28,35,,
