accuracy,arm,family,n,alpha,cf_family,ci_hi,ci_lo,judge_ok,lam,layer,n_heads,style_only,unscorable
0.013,base,ampersand,80,,,0.067,0.002,0.925,0.001,20,0,0.013,0.075
0.55,sparse_w,ampersand,80,,,0.654,0.441,0.812,0.001,20,114,0.675,0.025
0.512,sparse_unw,ampersand,80,,,0.619,0.405,0.875,0.001,20,114,0.637,0.025
0.512,sparse_unw_hi,ampersand,80,,,0.619,0.405,0.912,0.001,20,94,0.562,0.037
0.0,sparse_cf,ampersand,80,,oxford_comma,0.046,-0.0,0.838,0.001,20,114,0.0,0.013
0.825,resid4,ampersand,80,4.0,,0.893,0.727,0.863,,24,,0.963,0.037
0.0,base_step4,ampersand,80,,,0.046,-0.0,0.912,,,,0.0,0.075
0.613,icl_k4,ampersand,80,,,0.712,0.503,0.838,,,,0.775,0.037
0.613,base,oxford_comma,80,,,0.712,0.503,0.85,0.001,20,0,0.725,0.05
0.75,sparse_w,oxford_comma,80,,,0.832,0.645,0.812,0.001,20,114,0.887,0.025
0.85,sparse_unw,oxford_comma,80,,,0.912,0.756,0.912,0.001,20,114,0.925,0.025
0.775,sparse_unw_hi,oxford_comma,80,,,0.853,0.672,0.863,0.001,20,94,0.887,0.05
0.713,sparse_cf,oxford_comma,80,,curly_quotes,0.8,0.605,0.887,0.001,20,114,0.8,0.05
0.85,resid4,oxford_comma,80,1.0,,0.912,0.756,0.863,,20,,0.963,0.025
0.575,base_step4,oxford_comma,80,,,0.677,0.466,0.825,,,,0.713,0.05
0.725,icl_k4,oxford_comma,80,,,0.811,0.619,0.875,,,,0.812,0.025
0.138,base,curly_quotes,80,,,0.23,0.079,0.7,0.001,20,0,0.2,0.425
0.362,sparse_w,curly_quotes,80,,,0.472,0.266,0.738,0.001,20,114,0.55,0.25
0.388,sparse_unw,curly_quotes,80,,,0.497,0.288,0.713,0.001,20,114,0.625,0.188
0.388,sparse_unw_hi,curly_quotes,80,,,0.497,0.288,0.7,0.001,20,94,0.525,0.163
0.05,sparse_cf,curly_quotes,80,,quote_punct,0.122,0.02,0.662,0.001,20,114,0.075,0.575
0.225,resid4,curly_quotes,80,2.0,,0.328,0.147,0.738,,24,,0.338,0.613
0.062,base_step4,curly_quotes,80,,,0.138,0.027,0.6,,,,0.15,0.375
0.675,icl_k4,curly_quotes,80,,,0.768,0.566,0.713,,,,0.938,0.05
0.4,base,quote_punct,80,,,0.51,0.3,0.812,0.001,20,0,0.45,0.188
0.575,sparse_w,quote_punct,80,,,0.677,0.466,0.838,0.001,20,114,0.613,0.375
0.562,sparse_unw,quote_punct,80,,,0.666,0.453,0.838,0.001,20,114,0.6,0.4
0.613,sparse_unw_hi,quote_punct,80,,,0.712,0.503,0.825,0.001,20,94,0.688,0.3
0.5,sparse_cf,quote_punct,80,,whilst,0.607,0.393,0.812,0.001,20,114,0.588,0.175
0.625,resid4,quote_punct,80,1.0,,0.723,0.515,0.825,,20,,0.713,0.275
0.4,base_step4,quote_punct,80,,,0.51,0.3,0.838,,,,0.475,0.275
0.812,icl_k4,quote_punct,80,,,0.883,0.713,0.938,,,,0.875,0.1
0.037,base,em_dash,80,,,0.105,0.013,0.688,0.001,20,0,0.062,0.163
0.45,sparse_w,em_dash,80,,,0.559,0.346,0.662,0.001,20,114,0.625,0.113
0.45,sparse_unw,em_dash,80,,,0.559,0.346,0.762,0.001,20,114,0.6,0.163
0.35,sparse_unw_hi,em_dash,80,,,0.459,0.255,0.738,0.001,20,94,0.45,0.125
0.0,sparse_cf,em_dash,80,,ellipsis,0.046,-0.0,0.75,0.001,20,114,0.0,0.062
0.5,resid4,em_dash,80,4.0,,0.607,0.393,0.613,,24,,0.75,0.188
0.025,base_step4,em_dash,80,,,0.087,0.007,0.725,,,,0.037,0.2
0.65,icl_k4,em_dash,80,,,0.745,0.541,0.725,,,,0.9,0.05
0.013,base,ellipsis,80,,,0.067,0.002,0.925,0.001,20,0,0.013,0.05
0.55,sparse_w,ellipsis,80,,,0.654,0.441,0.812,0.001,20,114,0.713,0.013
0.675,sparse_unw,ellipsis,80,,,0.768,0.566,0.85,0.001,20,114,0.812,0.025
0.55,sparse_unw_hi,ellipsis,80,,,0.654,0.441,0.8,0.001,20,94,0.713,0.025
0.1,sparse_cf,ellipsis,80,,num_words,0.185,0.052,0.975,0.001,20,114,0.1,0.062
0.688,resid4,ellipsis,80,4.0,,0.778,0.579,0.713,,20,,0.925,0.062
0.013,base_step4,ellipsis,80,,,0.067,0.002,0.487,,,,0.025,0.037
0.675,icl_k4,ellipsis,80,,,0.768,0.566,0.725,,,,0.812,0.075
0.075,base,num_words,80,,,0.154,0.035,0.738,0.001,20,0,0.1,0.2
0.25,sparse_w,num_words,80,,,0.355,0.168,0.825,0.001,20,114,0.325,0.05
0.237,sparse_unw,num_words,80,,,0.341,0.158,0.762,0.001,20,114,0.275,0.1
