icl_example_index,token_role,layer,target_mode,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,train_r2,test_mse_fv,test_r2_fv,test_r2_fv_testmean_baseline,test_mse_pp,test_r2_pp,test_r2_pp_testmean_baseline
6,pre_label_token,0,perprompt,0.1,0.604552149772644,True,3400,1190,0.5626044273376465,0.0,0.3455448278859884,-0.03815165559923428,-0.23616634560151195,0.726439096146271,-5.143666270690517e-08,-0.0936764862374746
6,pre_label_token,1,perprompt,100000.0,0.5095223188400269,False,3400,1190,0.25627410411834717,0.544486158185626,0.3003747074543929,0.09755703260937665,-0.07457289028656455,0.6699130114387063,0.07781251112356624,-0.008574720608820474
6,pre_label_token,2,perprompt,10000.0,0.4997681677341461,False,3400,1190,0.18528811633586884,0.670660045793297,0.3123046586493484,0.061714798592933495,-0.11725159065113333,0.6733124676872703,0.07313289456458061,-0.01369270694073843
6,pre_label_token,3,perprompt,10000.0,0.47514858841896057,False,3400,1190,0.17688444256782532,0.6855971372197036,0.30317953414275867,0.08913023748698912,-0.08460699318029041,0.6613042238379727,0.08966317842549165,0.004386074898858561
6,pre_label_token,4,perprompt,10000.0,0.4355624318122864,False,3400,1190,0.1654832810163498,0.7058621067035522,0.28479182620008453,0.14437409559983805,-0.018826046984264044,0.6341655282413259,0.12702170873662222,0.045244218958925386
6,pre_label_token,5,perprompt,10000.0,0.42034608125686646,False,3400,1190,0.15809184312820435,0.7190000016951064,0.2580661052415351,0.2246686021909069,0.07678365151134303,0.5983265532165014,0.1763568519831601,0.0992009022974697
6,pre_label_token,6,perprompt,10000.0,0.4066217839717865,False,3400,1190,0.15615880489349365,0.7224358762470685,0.2548376980949851,0.23436799848818024,0.088333088639024,0.5917907971293986,0.18535382978618875,0.10904068486171714
6,pre_label_token,7,perprompt,10000.0,0.3923054039478302,False,3400,1190,0.15320654213428497,0.7276833691848319,0.24542838745758314,0.2626372435410662,0.1219943453171427,0.5773106647138836,0.2052868609750954,0.13084097125112848
6,pre_label_token,8,perprompt,10000.0,0.3856947422027588,False,3400,1190,0.1514238715171814,0.7308519731461258,0.23628570492528067,0.29010543360368723,0.1547017555946889,0.5666857230563124,0.21991292152228736,0.14683714893508792
6,pre_label_token,9,perprompt,10000.0,0.3588012456893921,False,3400,1190,0.1481820046901703,0.7366142221962306,0.19969064007286264,0.40005130486943874,0.28561845274921827,0.5176747169815191,0.28738039244415425,0.22062473167285734
