icl_example_index,token_role,layer,k_act,k_fv,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,pca_train_mse,pca_test_mse,fv_recon_floor_test_mse,train_mean_squared_l2,test_mean_squared_l2
9,pre_label_token,0,16,16,16,16,0.01,55.73133850097656,True,3400,1190,0.19782810098984663,0.21711736246317376,50.29753934972427,30.189668953518908,0.09918887168169022,810.3039039522059,889.312762605042
9,pre_label_token,1,16,16,16,16,1000.0,46.84735107421875,False,3400,1190,0.05359803634531358,0.20083290869448364,13.374665724810432,26.0208570977219,0.09918887168169022,219.5375537109375,822.611580882353
9,pre_label_token,2,16,16,16,16,1000.0,45.2352180480957,False,3400,1190,0.0578735266012304,0.1972340832237436,14.469191607306986,25.099556853991597,0.09918887168169022,237.04996725643383,807.8707917542017
9,pre_label_token,3,16,16,16,16,1000.0,43.45173263549805,False,3400,1190,0.05223094140782076,0.19621753051501362,13.024690013212316,24.839321001838236,0.09918887168169022,213.93793600643383,803.7070049894958
9,pre_label_token,4,16,16,16,16,316.22776601683796,36.80839920043945,False,3400,1190,0.02764403728877797,0.18278805227840647,6.7304551427504595,21.401381548713236,0.09918887168169022,113.22997587316176,748.699875262605
9,pre_label_token,5,16,16,16,16,316.22776601683796,35.10553741455078,False,3400,1190,0.01939393120653489,0.1586043726496336,4.618429987290327,15.210364641462053,0.09918887168169022,79.4375394933364,649.6435202205882
9,pre_label_token,6,16,16,16,16,100.0,33.67237854003906,False,3400,1190,0.016592849142411176,0.1556691193780979,3.901358243156882,14.458940675879727,0.09918887168169022,67.96430951286764,637.6207162552521
9,pre_label_token,7,16,16,16,16,100.0,33.713836669921875,False,3400,1190,0.014158625760499168,0.14948722454680113,3.2781977978874655,12.87637734292936,0.09918887168169022,57.99373093548943,612.2996454831933
9,pre_label_token,8,16,16,16,16,100.0,33.155921936035156,False,3400,1190,0.013897030888234867,0.14307985225645434,3.211229966107537,11.236087523388262,0.09918887168169022,56.92223848230699,586.055068277311
9,pre_label_token,9,16,16,16,16,100.0,31.929813385009766,False,3400,1190,0.009051854137112113,0.12052095317039169,1.9708643610337202,5.461011614118304,0.09918887168169022,37.07639468922335,493.6538307510504
9,pre_label_token,10,16,16,16,16,100.0,32.86942672729492,False,3400,1190,0.008937529868939344,0.11798961663446507,1.941597817364861,4.812987922219669,0.09918887168169022,36.60812327665441,483.28546645220587
9,pre_label_token,11,16,16,16,16,100.0,32.64516830444336,False,3400,1190,0.008773015176548677,0.1176367399071445,1.8994819169885973,4.72265307001707,0.09918887168169022,35.934270306755515,481.84007681197477
9,pre_label_token,12,16,16,16,16,100.0,33.37428283691406,False,3400,1190,0.008968705955673667,0.11783261499485048,1.9495784243415384,4.772794733127626,0.09918887168169022,36.7358200970818,482.6423959427521
9,pre_label_token,13,16,16,16,16,100.0,34.34572219848633,False,3400,1190,0.00824868167147917,0.11549350273709337,1.7652521066104665,4.173981430951287,0.09918887168169022,33.786599910960476,473.0613773634454
9,pre_label_token,14,16,16,16,16,100.0,33.763004302978516,False,3400,1190,0.010993190232445212,0.12084477368523093,2.4678462084601906,5.543903459821428,0.09918887168169022,45.028107156192554,494.9801683954832
9,pre_label_token,15,16,16,16,16,316.22776601683796,34.99833679199219,False,3400,1190,0.013061271187137156,0.1214108034342277,2.997270269954906,5.688807537175026,0.09918887168169022,53.49896764418658,497.29864758403363
9,pre_label_token,16,16,16,16,16,100.0,35.39466857910156,False,3400,1190,0.011622724611969556,0.12091087733998018,2.6290068637623505,5.560828252199317,0.09918887168169022,47.60667893353631,495.2509470194328
9,pre_label_token,17,16,16,16,16,100.0,33.62929153442383,False,3400,1190,0.012918706431108363,0.12377714670004965,2.9607776148179,6.294591131130186,0.09918887168169022,52.91502078785616,506.9911994485294
9,pre_label_token,18,16,16,16,16,100.0,34.80805587768555,False,3400,1190,0.012664146230501288,0.1264294912835129,2.8956102505852193,6.973589882730436,0.09918887168169022,51.87234346277574,517.8551962972689
9,pre_label_token,19,16,16,16,16,100.0,36.46413803100586,False,3400,1190,0.012875875225838492,0.13021766358063,2.9498127477309284,7.943362298532694,0.09918887168169022,52.739585284064795,533.3715713629201
9,pre_label_token,20,16,16,16,16,316.22776601683796,39.630287170410156,False,3400,1190,0.017184058638180004,0.13807927620511096,4.052700666539809,9.955928642208837,0.09918887168169022,70.38590511546415,565.5726956407563
9,pre_label_token,21,16,16,16,16,316.22776601683796,41.76553726196289,False,3400,1190,0.017714260763981762,0.14346762625109247,4.188431728587431,11.33534745929622,0.09918887168169022,72.55761094037224,587.6434102547269
9,pre_label_token,22,16,16,16,16,316.22776601683796,42.53895568847656,False,3400,1190,0.016654993541100446,0.14041926840774152,3.9172603293026196,10.554968518168986,0.09918887168169022,68.2188531853171,575.1573201155462
9,pre_label_token,23,16,16,16,16,316.22776601683796,44.204795837402344,False,3400,1190,0.016565486788749695,0.14043060350818795,3.894346663531135,10.557870457753413,0.09918887168169022,67.85223352768841,575.203774947479
9,pre_label_token,24,16,16,16,16,316.22776601683796,45.27159881591797,False,3400,1190,0.016795204527237834,0.14111086661074343,3.953154005162856,10.732015350085346,0.09918887168169022,68.79315759995404,577.9900997899159
9,pre_label_token,25,16,16,16,16,1000.0,46.78757095336914,False,3400,1190,0.023968972037820255,0.14541836826741195,5.789629067813649,11.834736081932773,0.09918887168169022,98.1769091796875,595.6336479122899
9,pre_label_token,26,16,16,16,16,1000.0,47.54553985595703,False,3400,1190,0.024017073406892665,0.14599298268807034,5.801943485035616,11.981837681361608,0.09918887168169022,98.37393353630515,597.9872620141807
9,pre_label_token,27,16,16,16,16,1000.0,48.53583526611328,False,3400,1190,0.02501224069034352,0.1483966763280019,6.0567063095990346,12.597181611902574,0.09918887168169022,102.45013700597427,607.8327681853991
