train_accuracy,test_accuracy,train_log_loss,test_log_loss,icl_example_index,layer,train_records,test_records
0.5446670276123443,0.5451263537906137,0.6882460451019675,0.6912440113836696,1,0,3694,1108
0.5481862479696805,0.5532490974729242,0.6882844348834668,0.6886621967570938,1,1,3694,1108
0.5590146182999458,0.5595667870036101,0.6854385145684408,0.6855858672730971,1,2,3694,1108
0.5468327016783974,0.546028880866426,0.6862129521369829,0.6856571515675801,1,3,3694,1108
0.5330265295073091,0.5306859205776173,0.6868662496172037,0.6868498141521724,1,4,3694,1108
0.6250676773145641,0.6588447653429603,0.6541397570380848,0.6403051857225655,1,5,3694,1108
0.6897671900378993,0.7030685920577617,0.5992499715924849,0.5860524914045212,1,6,3694,1108
0.7211694639956686,0.7472924187725631,0.5491436284953988,0.5311799511737142,1,7,3694,1108
0.8383865728207904,0.8546931407942239,0.3695426798398265,0.34055491286019146,1,8,3694,1108
0.8754737412019491,0.8799638989169675,0.3082662986393826,0.2917123809971822,1,9,3694,1108
0.8854899837574445,0.8862815884476535,0.28711290536449474,0.2859275690971269,1,10,3694,1108
0.8768272874932322,0.871841155234657,0.31993249232698134,0.3064621207531491,1,11,3694,1108
0.876285868976719,0.8727436823104693,0.3189999331258593,0.3093156698622693,1,12,3694,1108
0.8684353004872767,0.8700361010830325,0.326783291604751,0.3338324080892198,1,13,3694,1108
0.8613968597726043,0.8691335740072202,0.331675047173144,0.3356095795332733,1,14,3694,1108
0.8410936654033568,0.8492779783393501,0.3631717876585325,0.35614258651039876,1,15,3694,1108
0.8186247969680563,0.822202166064982,0.38779470135895466,0.3809409396219555,1,16,3694,1108
0.8164591229020033,0.8339350180505415,0.3960007051187501,0.38706932306182057,1,17,3694,1108
0.8113156469951273,0.8176895306859205,0.41451270271287277,0.402990248702395,1,18,3694,1108
0.8012994044396319,0.8231046931407943,0.42282305909024803,0.4089918291518818,1,19,3694,1108
0.7996751488900921,0.8194945848375451,0.4279351423139201,0.41183163653054594,1,20,3694,1108
0.7950730914997293,0.8167870036101083,0.4405540751234821,0.4284058185635254,1,21,3694,1108
0.78938819707634,0.8005415162454874,0.44349727638565833,0.43542828830822383,1,22,3694,1108
0.7855982674607471,0.7978339350180506,0.4520814473817647,0.4441643387394264,1,23,3694,1108
0.7807255008121278,0.7933212996389891,0.45602020811668276,0.45083219946184194,1,24,3694,1108
0.7850568489442339,0.7897111913357401,0.458159006054034,0.45462386196487253,1,25,3694,1108
0.7796426637791013,0.7851985559566786,0.46674397814049184,0.47178930627113375,1,26,3694,1108
0.76367081754196,0.7752707581227437,0.4987229368504137,0.5052859685192087,1,27,3694,1108
0.7482403898213319,0.7265342960288809,0.5274192473111337,0.5435844083856282,1,28,3694,1108
0.5457498646453709,0.5451263537906137,0.6887332750417381,0.6902584091946812,2,0,3694,1108
0.5527883053600433,0.5351985559566786,0.6864751029564146,0.6902234069973661,2,1,3694,1108
0.5546832701678397,0.5361010830324909,0.6834084458971744,0.6859964227958737,2,2,3694,1108
0.5498105035192203,0.5478339350180506,0.6849943045227311,0.6832680663857296,2,3,3694,1108
0.5503519220357336,0.5541516245487365,0.6841185211959394,0.6831946374090202,2,4,3694,1108
0.6662154845695722,0.6462093862815884,0.6144211348885708,0.6292208160757619,2,5,3694,1108
0.7314564158094207,0.7310469314079422,0.536986891114004,0.556495948911643,2,6,3694,1108
0.7815376285868977,0.7924187725631769,0.4611081121375905,0.4622742537268173,2,7,3694,1108
0.8649160801299405,0.8628158844765343,0.32148988703311343,0.32156059900663514,2,8,3694,1108
