task,group,n_heads,zs_base,zs_best,zs_bestL,shuf_base,shuf_best,shuf_bestL,mix_base,mix_best,mix_bestL
adjective_to_adverb,train,234,0.0,0.96,8,0.14,0.96,10,0.0,0.82,10
ag_news,train,234,0.0,0.78,5,0.64,0.84,15,0.0,0.78,8
agent_noun_to_verb,train,234,0.04,0.94,6,0.1,0.92,9,0.2,0.92,14
animal_class,train,234,0.02,0.98,10,0.3,1.0,10,0.12,0.92,19
animal_plant_object,train,234,0.0,0.82,8,0.64,0.92,9,0.06,0.66,9
antonym,train,234,0.0,0.72,8,0.38,0.7,9,0.04,0.64,9
article_choice,train,234,0.0,0.92,16,0.9,0.94,10,0.0,0.86,16
capitalize,train,234,0.06,1.0,16,0.38,1.0,6,0.0,0.98,13
capitalize_first_letter,train,234,0.02,1.0,7,0.22,0.94,9,0.0,1.0,10
city-country,train,234,0.28,0.88,12,0.08,1.0,15,0.54,0.92,15
commonsense_qa,train,234,0.76,0.84,13,0.76,0.84,1,0.9,0.9,26
compound_first,train,234,0.28,0.76,19,0.12,0.86,10,0.38,0.8,18
concrete_abstract,train,234,0.0,0.96,10,0.94,0.96,1,0.0,0.82,9
contains_letter_e,train,234,0.0,0.54,21,0.5,0.56,4,0.0,0.56,21
count_digits,train,234,0.08,0.84,11,0.4,0.56,11,0.1,0.78,11
count_words,train,234,0.0,0.34,14,0.4,0.56,11,0.0,0.42,12
country-capital,train,234,0.0,0.9286,19,0.0,0.8571,16,0.0,0.9286,16
double_last_letter,train,234,0.0,0.2,11,0.2,0.72,9,0.0,0.04,10
double_number,train,234,0.0,1.0,5,0.16,0.96,9,0.0,0.84,9
ends_with_ing,train,234,0.0,0.44,9,0.46,0.62,19,0.0,0.38,17
english-french,train,234,0.0,0.74,9,0.14,0.72,13,0.02,0.42,11
english-italian,train,234,0.0,0.72,13,0.16,0.78,13,0.0,0.38,13
english-portuguese,train,234,0.0,0.82,13,0.16,0.84,13,0.0,0.26,18
first_digit,train,234,1.0,1.0,9,0.12,0.42,11,0.68,0.92,10
first_letter_second_word,train,234,0.0,0.88,10,0.2,0.88,9,0.02,0.82,13
first_three_letters,train,234,0.0,0.84,10,0.22,0.82,9,0.0,0.76,15
first_two_letters,train,234,0.0,0.94,19,0.3,0.98,9,0.04,0.84,18
first_vowel,train,234,0.0,0.72,18,0.64,0.8,9,0.02,0.7,17
french-english,train,234,0.34,0.84,16,0.24,0.92,14,0.46,0.8,12
french_noun_gender,train,234,0.0,0.86,4,0.98,1.0,4,0.0,0.94,13
german_noun_gender,train,234,0.0,0.84,11,0.98,1.0,1,0.0,0.74,10
gerund_to_base,train,234,0.26,1.0,13,0.12,0.96,13,0.66,1.0,8
gerund_to_past,train,234,0.04,1.0,5,0.14,0.98,10,0.04,1.0,7
halve_even_number,train,234,0.0,0.98,9,0.12,0.78,9,0.0,0.82,10
hypernym_category,train,234,0.0,0.74,17,0.38,0.74,17,0.12,0.74,14
initials_two_words,train,234,0.0,0.98,16,0.54,0.98,9,0.0,0.98,17
iso_date_to_month,train,234,0.0,1.0,0,0.22,1.0,10,0.04,1.0,6
iso_date_year_plus_one,train,234,0.0,0.96,9,0.2,0.58,10,0.0,0.32,10
landmark-country,train,234,0.14,0.84,12,0.14,0.88,14,0.3,0.8,10
language_identification,train,234,0.0,1.0,16,0.64,1.0,10,0.0,0.98,17
larger_of_pair,train,234,0.52,0.7,15,0.2,0.72,9,0.48,0.56,8
larger_than_1000,train,234,0.0,0.78,9,0.52,0.6,27,0.0,0.46,17
largest_digit,train,234,0.28,0.54,6,0.36,0.48,9,0.2,0.54,10
last_vowel,train,234,0.0,0.56,17,0.64,0.7,26,0.0,0.5,17
lowercase_first_letter,train,234,0.0,1.0,7,0.02,0.78,18,0.08,1.0,18
lowercase_last_letter,train,234,0.0,0.66,17,0.46,0.7,17,0.0,0.7,17
lowercase_word,train,234,0.1,1.0,6,0.32,1.0,5,0.42,1.0,5
national_parks,train,234,0.02,0.74,5,0.08,0.78,16,0.32,0.76,9
nato_first_letter,train,234,0.0,0.62,10,0.26,0.72,15,0.0,0.18,10
natural_manmade,train,234,0.0,0.66,16,0.88,0.98,2,0.0,0.56,21
next_in_period,train,234,0.0,0.7143,14,0.0714,0.5714,10,0.0,0.6429,12
