condition,task_group,mean_acc,median_acc
zero_shot,train,0.0019,0.0
zero_shot,heldout,0.001,0.0
zero_shot,all,0.0017,0.0
dummy1_unsteered,train,0.0006,0.0
dummy1_unsteered,heldout,0.0024,0.0
dummy1_unsteered,all,0.001,0.0
dummy1_steered_best,train,0.1202,0.0533
dummy1_steered_best,heldout,0.1486,0.07
dummy1_steered_best,all,0.126,0.0533
dummy1_shared_best,train,0.0099,0.0067
dummy1_shared_best,heldout,0.0243,0.0034
dummy1_shared_best,all,0.0129,0.0067
real_1shot,train,0.2082,0.1867
real_1shot,heldout,0.2071,0.2
real_1shot,all,0.208,0.1867
dummy1_steer_a0.5,train,0.0081,0.0
dummy1_steer_a0.5,heldout,0.0181,0.0067
dummy1_steer_a0.5,all,0.0101,0.0
dummy1_steer_a1.0,train,0.049,0.0133
dummy1_steer_a1.0,heldout,0.0714,0.0133
dummy1_steer_a1.0,all,0.0535,0.0133
dummy1_steer_a2.0,train,0.1061,0.0533
dummy1_steer_a2.0,heldout,0.1357,0.0566
dummy1_steer_a2.0,all,0.1121,0.0533
dummy1_steer_a4.0,train,0.0938,0.0267
dummy1_steer_a4.0,heldout,0.1238,0.0367
dummy1_steer_a4.0,all,0.0999,0.0267
dummy1_shared_a0.5,train,0.0017,0.0
dummy1_shared_a0.5,heldout,0.0019,0.0
dummy1_shared_a0.5,all,0.0017,0.0
dummy1_shared_a1.0,train,0.003,0.0
dummy1_shared_a1.0,heldout,0.0057,0.0
dummy1_shared_a1.0,all,0.0036,0.0
dummy1_shared_a2.0,train,0.0055,0.0
dummy1_shared_a2.0,heldout,0.0209,0.0034
dummy1_shared_a2.0,all,0.0086,0.0
dummy1_shared_a4.0,train,0.0079,0.0
dummy1_shared_a4.0,heldout,0.0171,0.0034
dummy1_shared_a4.0,all,0.0098,0.0
