task,group,zero_shot,dummy1_unsteered,dummy1_steered_best,dummy1_shared_best,real_1shot,dummy1_steer_a0.5,dummy1_steer_a1.0,dummy1_steer_a2.0,dummy1_steer_a4.0,dummy1_shared_a0.5,dummy1_shared_a1.0,dummy1_shared_a2.0,dummy1_shared_a4.0
adjective_to_adverb,train,0.0,0.0,0.1067,0.0067,0.2533,0.0067,0.0533,0.1067,0.0267,0.0067,0.0,0.0067,0.0
adjective_to_noun,train,0.0,0.0,0.2067,0.0467,0.12,0.04,0.0733,0.1867,0.2067,0.0,0.0133,0.04,0.0467
ag_news,heldout,0.0,0.0,0.0067,0.0,0.1533,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0
agent_noun_to_verb,train,0.0,0.0,0.2067,0.0267,0.2333,0.0267,0.1533,0.2067,0.1467,0.0,0.02,0.0267,0.02
animal_class,train,0.0,0.0,0.08,0.0267,0.2333,0.0,0.0533,0.08,0.0267,0.0133,0.0,0.0,0.0267
animal_plant_object,train,0.0,0.0,0.0267,0.0067,0.08,0.0,0.0,0.0267,0.0,0.0,0.0,0.0,0.0067
antonym,train,0.0133,0.0067,0.04,0.0067,0.0333,0.0133,0.0133,0.0267,0.04,0.0067,0.0067,0.0,0.0
article_choice,train,0.0,0.0,0.0267,0.0,0.06,0.0,0.0133,0.0267,0.0133,0.0,0.0,0.0,0.0
capitalize,train,0.0,0.0,0.2667,0.0067,0.2733,0.0333,0.0867,0.2,0.2667,0.0,0.0067,0.0,0.0
capitalize_first_letter,train,0.0,0.0,0.12,0.0,0.0733,0.0067,0.0533,0.12,0.0267,0.0,0.0,0.0,0.0
city-country,train,0.0067,0.0,0.06,0.0067,0.3533,0.0,0.04,0.04,0.06,0.0,0.0,0.0,0.0067
compound_first,train,0.0,0.0,0.1333,0.0667,0.1133,0.02,0.0533,0.0867,0.1333,0.02,0.0133,0.0533,0.0667
concrete_abstract,train,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
contains_letter_e,train,0.0267,0.0,0.0333,0.0067,0.2267,0.0133,0.02,0.0333,0.0067,0.0,0.0,0.0,0.0067
country-capital,train,0.0,0.0067,0.24,0.0067,0.46,0.0467,0.2,0.24,0.1733,0.0067,0.0067,0.0,0.0
day_after_textual_date,train,0.0,0.0,0.0,0.0,0.4267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ends_with_ing,heldout,0.0067,0.0,0.04,0.0067,0.26,0.0067,0.0,0.04,0.0067,0.0067,0.0,0.0067,0.0067
english-french,heldout,0.0,0.0,0.1333,0.0,0.1867,0.0,0.0133,0.1333,0.0867,0.0,0.0,0.0,0.0
english-italian,train,0.0,0.0,0.2467,0.0067,0.2333,0.0,0.0067,0.1067,0.2467,0.0,0.0,0.0067,0.0
english-portuguese,train,0.0,0.0,0.1933,0.0,0.28,0.0,0.02,0.1133,0.1933,0.0,0.0,0.0,0.0
english-spanish,train,0.0,0.0,0.2733,0.0,0.2933,0.0,0.0333,0.1,0.2733,0.0,0.0,0.0,0.0
first_digit,heldout,0.0067,0.0067,0.0533,0.0333,0.06,0.0067,0.0133,0.0533,0.02,0.0,0.0067,0.0333,0.02
first_three_letters,train,0.0,0.0,0.14,0.0067,0.1,0.0,0.04,0.1067,0.14,0.0,0.0,0.0,0.0067
french-english,heldout,0.0,0.0067,0.3933,0.08,0.4533,0.0267,0.14,0.3467,0.3933,0.0,0.0267,0.0333,0.08
french_noun_gender,train,0.0,0.0,0.02,0.0,0.1867,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
german-english,train,0.0,0.0,0.42,0.0267,0.2933,0.0133,0.0933,0.3067,0.42,0.0,0.0133,0.02,0.0267
