analysis,n_rows,n90_pcs,n95_pcs,stable_rank_raw,stable_rank_centered
dot_perhead__unit_r_task,55,24,32,,
dot_perhead__unit_pooled_perprompt,8250,139,309,3.0,5.9
dot_perhead__unit_within_task_median,150,75,100,,
dot_perhead__unit_task_mean_of_r,55,24,31,,
