layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout,mean_shared_control
0,0.5,0.0018,0.0,0.0017,0.0024,0.0016
0,1.0,0.0073,0.0,0.0058,0.0129,0.0029
0,2.0,0.0154,0.0067,0.0155,0.0148,0.0034
0,4.0,0.0087,0.0067,0.0081,0.011,0.0044
0,best,0.0179,0.0133,0.0179,0.0176,
1,0.5,0.002,0.0,0.0017,0.0033,0.0015
1,1.0,0.0098,0.0067,0.0092,0.0119,0.0037
1,2.0,0.0301,0.02,0.032,0.0229,0.0047
1,4.0,0.0206,0.0133,0.0199,0.0233,0.0056
1,best,0.0322,0.0267,0.0337,0.0262,
2,0.5,0.0038,0.0,0.0038,0.0038,0.0014
2,1.0,0.0127,0.0067,0.0119,0.0157,0.0034
2,2.0,0.0349,0.0267,0.0345,0.0362,0.0047
2,4.0,0.0215,0.0133,0.0221,0.0195,0.0049
2,best,0.0368,0.0267,0.0366,0.0376,
3,0.5,0.0046,0.0,0.0028,0.0119,0.0012
3,1.0,0.0294,0.0133,0.0273,0.0376,0.005
3,2.0,0.0839,0.0467,0.0833,0.0862,0.0084
3,4.0,0.0699,0.0333,0.0685,0.0752,0.0078
3,best,0.0895,0.06,0.0898,0.0881,
4,0.5,0.0038,0.0,0.0034,0.0052,0.0022
4,1.0,0.0258,0.0067,0.0251,0.0286,0.0044
4,2.0,0.0828,0.04,0.0819,0.0862,0.0078
4,4.0,0.0573,0.0267,0.057,0.0586,0.0083
4,best,0.0849,0.0467,0.0841,0.0881,
5,0.5,0.0054,0.0,0.0039,0.0114,0.0021
5,1.0,0.0324,0.0067,0.0295,0.0438,0.0026
5,2.0,0.0988,0.0467,0.0943,0.1167,0.009
5,4.0,0.082,0.0333,0.0789,0.0943,0.007
5,best,0.1048,0.0533,0.1012,0.1191,
6,0.5,0.0101,0.0,0.0081,0.0181,0.0017
6,1.0,0.0535,0.0133,0.049,0.0714,0.0036
6,2.0,0.1121,0.0533,0.1061,0.1357,0.0086
6,4.0,0.0999,0.0267,0.0938,0.1238,0.0098
6,best,0.126,0.0533,0.1202,0.1486,
7,0.5,0.0069,0.0,0.0053,0.0129,0.0021
7,1.0,0.0427,0.02,0.0394,0.0557,0.0019
7,2.0,0.1059,0.06,0.1013,0.1238,0.0074
7,4.0,0.1016,0.0333,0.093,0.1357,0.0076
7,best,0.1251,0.0667,0.1164,0.1595,
8,0.5,0.0052,0.0,0.005,0.0062,0.0015
8,1.0,0.0278,0.0133,0.0246,0.0405,0.002
8,2.0,0.0611,0.0333,0.055,0.0848,0.0049
8,4.0,0.0507,0.0133,0.0404,0.0914,0.0052
8,best,0.0697,0.0333,0.0615,0.1019,
9,0.5,0.0044,0.0,0.0041,0.0057,0.0023
9,1.0,0.0219,0.0067,0.0216,0.0233,0.0026
9,2.0,0.0385,0.0133,0.0354,0.0505,0.004
9,4.0,0.0259,0.0067,0.0232,0.0367,0.0046
9,best,0.0432,0.0267,0.0405,0.0538,
10,0.5,0.0047,0.0,0.004,0.0076,0.0023
10,1.0,0.0173,0.0067,0.0171,0.0181,0.0028
10,2.0,0.0416,0.02,0.0386,0.0538,0.0039
10,4.0,0.035,0.0133,0.0324,0.0452,0.0051
10,best,0.0481,0.0267,0.0464,0.0548,
11,0.5,0.0021,0.0,0.0015,0.0048,0.0015
11,1.0,0.0098,0.0,0.0082,0.0157,0.002
11,2.0,0.0165,0.0067,0.0136,0.0281,0.0032
11,4.0,0.0187,0.0067,0.0152,0.0329,0.0038
11,best,0.0234,0.0133,0.0201,0.0362,
12,0.5,0.0015,0.0,0.0007,0.0048,0.0008
12,1.0,0.0032,0.0,0.0029,0.0043,0.0005
12,2.0,0.0067,0.0,0.0058,0.01,0.0021
12,4.0,0.007,0.0,0.0045,0.0167,0.002
12,best,0.0098,0.0067,0.0079,0.0171,
13,0.5,0.0014,0.0,0.0013,0.0014,0.0015
13,1.0,0.0015,0.0,0.0012,0.0028,0.0009
13,2.0,0.0042,0.0,0.0035,0.0071,0.0018
13,4.0,0.0061,0.0,0.0042,0.0133,0.0021
13,best,0.0081,0.0067,0.0065,0.0143,
14,0.5,0.0018,0.0,0.0015,0.0033,0.0009
14,1.0,0.0028,0.0,0.0024,0.0043,0.001
14,2.0,0.0041,0.0,0.0032,0.0076,0.0029
14,4.0,0.0054,0.0,0.0051,0.0067,0.0021
14,best,0.0077,0.0067,0.0072,0.01,
15,0.5,0.0013,0.0,0.0011,0.0019,0.0015
15,1.0,0.0014,0.0,0.0011,0.0024,0.0012
15,2.0,0.0025,0.0,0.0022,0.0038,0.0015
15,4.0,0.0038,0.0,0.0032,0.0062,0.0014
15,best,0.0055,0.0,0.0046,0.0091,
16,0.5,0.001,0.0,0.0009,0.0014,0.0013
16,1.0,0.0014,0.0,0.001,0.0029,0.0015
16,2.0,0.0022,0.0,0.0021,0.0029,0.0013
16,4.0,0.0028,0.0,0.0027,0.0033,0.0016
16,best,0.0049,0.0,0.0045,0.0067,
17,0.5,0.0012,0.0,0.0008,0.0024,0.0015
17,1.0,0.0014,0.0,0.0016,0.0005,0.001
17,2.0,0.0013,0.0,0.0009,0.0029,0.0014
17,4.0,0.0005,0.0,0.0002,0.0014,0.0016
17,best,0.0033,0.0,0.0029,0.0048,
18,0.5,0.0014,0.0,0.0013,0.0014,0.0012
18,1.0,0.0013,0.0,0.0009,0.0029,0.0012
18,2.0,0.0018,0.0,0.0015,0.0033,0.0013
18,4.0,0.0013,0.0,0.0015,0.0005,0.0008
18,best,0.004,0.0,0.0034,0.0062,
19,0.5,0.0012,0.0,0.001,0.0019,0.0008
19,1.0,0.0012,0.0,0.0007,0.0029,0.0013
19,2.0,0.0013,0.0,0.001,0.0024,0.0008
19,4.0,0.0016,0.0,0.0012,0.0029,0.0015
19,best,0.0033,0.0,0.0027,0.0057,
20,0.5,0.001,0.0,0.0011,0.0005,0.0015
20,1.0,0.0009,0.0,0.0011,0.0,0.0015
20,2.0,0.0016,0.0,0.0015,0.0024,0.0009
20,4.0,0.0013,0.0,0.001,0.0024,0.0016
20,best,0.0035,0.0,0.0033,0.0043,
21,0.5,0.0009,0.0,0.0007,0.0014,0.001
21,1.0,0.0011,0.0,0.0006,0.0029,0.0019
21,2.0,0.001,0.0,0.001,0.001,0.0013
21,4.0,0.0021,0.0,0.0017,0.0038,0.0011
21,best,0.0035,0.0,0.0028,0.0062,
22,0.5,0.0015,0.0,0.0013,0.0019,0.001
22,1.0,0.0008,0.0,0.0007,0.001,0.0014
22,2.0,0.0015,0.0,0.0013,0.0024,0.0016
22,4.0,0.0013,0.0,0.0013,0.001,0.0012
22,best,0.0031,0.0,0.0029,0.0038,
23,0.5,0.0015,0.0,0.0013,0.0024,0.0015
23,1.0,0.0009,0.0,0.001,0.0005,0.001
23,2.0,0.0011,0.0,0.0011,0.001,0.0011
23,4.0,0.0012,0.0,0.0012,0.001,0.0008
23,best,0.003,0.0,0.0029,0.0033,
24,0.5,0.0006,0.0,0.0006,0.0005,0.0011
24,1.0,0.0013,0.0,0.0013,0.001,0.0012
24,2.0,0.0017,0.0,0.0021,0.0005,0.0008
24,4.0,0.0016,0.0,0.0016,0.0019,0.0015
24,best,0.0032,0.0,0.0033,0.0029,
25,0.5,0.001,0.0,0.001,0.001,0.0014
25,1.0,0.0011,0.0,0.0007,0.0024,0.0012
25,2.0,0.0011,0.0,0.0009,0.0019,0.0014
25,4.0,0.0012,0.0,0.0013,0.0005,0.0018
25,best,0.0027,0.0,0.0027,0.0029,
26,0.5,0.0013,0.0,0.0007,0.0033,0.0013
26,1.0,0.0017,0.0,0.0016,0.0024,0.0009
26,2.0,0.0012,0.0,0.001,0.0019,0.0012
26,4.0,0.0014,0.0,0.0016,0.0005,0.0004
26,best,0.003,0.0,0.0026,0.0048,
27,0.5,0.0014,0.0,0.0012,0.0019,0.001
27,1.0,0.0012,0.0,0.0012,0.001,0.0012
27,2.0,0.0012,0.0,0.0011,0.0014,0.0014
27,4.0,0.0016,0.0,0.0016,0.0019,0.0011
27,best,0.0031,0.0,0.0029,0.0038,
