task,group,zero_shot,unsteered,real_1shot,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,best_layer,best_acc
adjective_to_adverb,train,0.0,0.0,0.2533,0.0067,0.06,0.06,0.2,0.1467,0.2533,0.1067,0.1133,0.0267,0.04,0.0467,0.02,0.0133,0.0067,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,5,0.2533
adjective_to_noun,train,0.0,0.0,0.12,0.02,0.0533,0.0867,0.14,0.1267,0.1733,0.2067,0.1867,0.08,0.0533,0.0733,0.0733,0.02,0.0133,0.02,0.0,0.0133,0.02,0.0133,0.0067,0.0067,0.0067,0.0067,0.0133,0.0067,0.0133,0.0133,0.0067,6,0.2067
ag_news,heldout,0.0,0.0,0.1533,0.0067,0.0067,0.0267,0.0067,0.0267,0.0067,0.0067,0.0267,0.0133,0.0067,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0267
agent_noun_to_verb,train,0.0,0.0,0.2333,0.02,0.06,0.0733,0.1867,0.1467,0.1267,0.2067,0.14,0.0867,0.08,0.0667,0.0267,0.0067,0.0067,0.0133,0.0067,0.0067,0.0,0.0067,0.0133,0.0067,0.0067,0.0133,0.0067,0.0067,0.0067,0.0067,0.0067,6,0.2067
animal_class,train,0.0,0.0,0.2333,0.02,0.0667,0.04,0.0467,0.1133,0.0867,0.08,0.1667,0.0733,0.0733,0.08,0.0133,0.0067,0.0133,0.0067,0.0067,0.0,0.0,0.0067,0.0,0.0067,0.0133,0.0,0.0067,0.0133,0.0067,0.0067,0.0,7,0.1667
animal_plant_object,train,0.0,0.0,0.08,0.0133,0.0067,0.02,0.0133,0.0133,0.0133,0.0267,0.02,0.0067,0.0133,0.0467,0.02,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0467
antonym,train,0.0133,0.0067,0.0333,0.0267,0.0133,0.0133,0.02,0.04,0.02,0.04,0.0933,0.0333,0.0533,0.0267,0.0,0.0133,0.0,0.0067,0.02,0.0133,0.0067,0.0067,0.0,0.0067,0.0,0.0133,0.0,0.0067,0.0067,0.0067,0.0133,7,0.0933
article_choice,train,0.0,0.0,0.06,0.0133,0.04,0.04,0.0333,0.0067,0.0333,0.0267,0.02,0.0267,0.0267,0.02,0.02,0.0067,0.0133,0.02,0.0067,0.0067,0.0,0.0067,0.0067,0.0,0.0067,0.0067,0.0,0.0067,0.0,0.0067,0.0,1,0.04
capitalize,train,0.0,0.0,0.2733,0.0,0.0067,0.0267,0.1933,0.2333,0.32,0.2667,0.16,0.06,0.0733,0.1867,0.02,0.0267,0.0133,0.0133,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0067,0.0067,0.0,0.0,5,0.32
capitalize_first_letter,train,0.0,0.0,0.0733,0.0133,0.0133,0.0667,0.06,0.02,0.04,0.12,0.1467,0.1133,0.0333,0.0133,0.0133,0.02,0.0133,0.0133,0.0133,0.0067,0.0067,0.0067,0.0,0.0067,0.0067,0.0067,0.0067,0.0,0.0,0.0,0.0,7,0.1467
city-country,train,0.0067,0.0,0.3533,0.0467,0.0533,0.0533,0.0933,0.0333,0.0867,0.06,0.08,0.0333,0.0467,0.04,0.0067,0.0133,0.0133,0.0067,0.0133,0.0133,0.0067,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0933
compound_first,train,0.0,0.0,0.1133,0.0267,0.04,0.0533,0.0867,0.0867,0.0933,0.1333,0.1267,0.0667,0.06,0.0667,0.02,0.0067,0.0067,0.0133,0.0067,0.0133,0.0133,0.0,0.0067,0.0067,0.0067,0.0133,0.0067,0.0067,0.0067,0.0067,0.0133,6,0.1333
concrete_abstract,train,0.0,0.0,0.02,0.0067,0.0133,0.0067,0.0067,0.0067,0.0067,0.02,0.0267,0.0,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,7,0.0267
contains_letter_e,train,0.0267,0.0,0.2267,0.04,0.04,0.0667,0.08,0.0533,0.0467,0.0333,0.04,0.0867,0.06,0.0867,0.0467,0.0267,0.02,0.02,0.0267,0.0267,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0133,0.0,0.0133,8,0.0867
country-capital,train,0.0,0.0067,0.46,0.0267,0.0267,0.06,0.2933,0.18,0.2933,0.24,0.28,0.3133,0.2533,0.3267,0.0733,0.04,0.0133,0.0067,0.0067,0.0,0.0,0.0067,0.0,0.0133,0.0,0.0133,0.0067,0.0067,0.0,0.0067,0.0,10,0.3267
day_after_textual_date,train,0.0,0.0,0.4267,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0067
