icl_index,token_role,layer,old_test_mse_fv,old_test_r2_fv,new_test_mse_fv,new_test_r2_fv,new_test_mse_pp,new_test_r2_pp,new_train_mse,new_train_r2,new_best_alpha,alpha_pinned
1,first_label_token,0,0.28348915837392086,0.14828789491815997,0.28737405568611724,0.13661606943442683,0.657571379076533,0.09480173026452043,0.29802072048187256,0.4702837268946415,100000.0,False
1,first_label_token,1,0.27807800709700387,0.16454510585142723,0.2957945238642332,0.11131769343640419,0.6612855574663947,0.0896888741412607,0.23491935431957245,0.5824431111727,31622.776601683792,False
1,first_label_token,2,0.2621787872635016,0.212312569239533,0.2769762327691086,0.16785519155342954,0.6391414834671661,0.12017191842634845,0.2233905792236328,0.6029349070700342,31622.776601683792,False
1,first_label_token,3,0.26470640487029773,0.2047186191743008,0.27942970339991463,0.16048400729083145,0.6416040564785485,0.11678199468585493,0.2209526002407074,0.6072682874425677,31622.776601683792,False
1,first_label_token,4,0.25600661510179024,0.2308561840110187,0.2691343323523257,0.19141532396963123,0.6288566781693146,0.1343297547562322,0.2099277526140213,0.6268643785697879,31622.776601683792,False
1,first_label_token,5,0.2479093407382484,0.25518355735099285,0.26009618534761314,0.21856944846889148,0.6154480910100857,0.1527877203586535,0.2029379904270172,0.6392883159712069,31622.776601683792,False
1,first_label_token,6,0.24984333134498918,0.24937309454414702,0.2620908288394704,0.21257676017987726,0.6182884600983948,0.14887773086404033,0.1995648890733719,0.6452838275415789,31622.776601683792,False
1,first_label_token,7,0.24517747574493665,0.26339114630289195,0.2551058504761768,0.23356236397705132,0.6096093314034599,0.16082522816615796,0.19383898377418518,0.6554613253019197,31622.776601683792,False
1,first_label_token,8,0.2423488721126268,0.2718893758928189,0.25030129376579735,0.24799712931217754,0.604593559072799,0.16772982982549034,0.19245390594005585,0.6579232288469803,31622.776601683792,False
1,first_label_token,9,0.23880052085684128,0.2825500083310042,0.24634584699358258,0.25988083667463957,0.5990708968218635,0.17533220497889312,0.1932450830936432,0.6565169527582346,31622.776601683792,False
