icl_example_index,token_role,k,feature_dim,target_dim,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
2,pre_label_token,1,2,2,2600,1170,38.412296295166016,34.43144226074219,76.82459259033203,68.86288452148438
2,pre_label_token,2,4,4,2600,1170,24.587743759155273,22.30694580078125,98.35096740722656,89.22777557373047
2,pre_label_token,3,6,6,2600,1170,18.71255874633789,18.7939510345459,112.27536010742188,112.76370239257812
2,pre_label_token,4,8,8,2600,1170,14.300464630126953,17.03713035583496,114.40370178222656,136.2970428466797
2,pre_label_token,5,10,10,2600,1170,10.663262367248535,14.805170059204102,106.63262176513672,148.0517120361328
2,pre_label_token,6,12,12,2600,1170,8.830891609191895,12.726787567138672,105.97069549560547,152.72145080566406
2,pre_label_token,7,14,14,2600,1170,7.372214317321777,11.435942649841309,103.21099853515625,160.1031951904297
2,pre_label_token,8,16,16,2600,1170,6.42262077331543,10.83385181427002,102.76193237304688,173.3416290283203
2,pre_label_token,9,18,18,2600,1170,5.864347457885742,10.215715408325195,105.55826568603516,183.88287353515625
2,pre_label_token,10,20,20,2600,1170,5.231194496154785,9.705395698547363,104.62389373779297,194.10791015625
2,first_label_token,1,2,2,2600,1170,38.2595329284668,28.197772979736328,76.5190658569336,56.395545959472656
2,first_label_token,2,4,4,2600,1170,22.18140411376953,17.899492263793945,88.72561645507812,71.59798431396484
2,first_label_token,3,6,6,2600,1170,14.127824783325195,12.947752952575684,84.7669448852539,77.68651580810547
2,first_label_token,4,8,8,2600,1170,11.517217636108398,11.870416641235352,92.13774108886719,94.96334075927734
2,first_label_token,5,10,10,2600,1170,9.382158279418945,10.533411026000977,93.82157897949219,105.33412170410156
2,first_label_token,6,12,12,2600,1170,8.046160697937012,9.65363597869873,96.5539321899414,115.8436279296875
2,first_label_token,7,14,14,2600,1170,7.053129196166992,8.772411346435547,98.74380493164062,122.81375885009766
2,first_label_token,8,16,16,2600,1170,6.289702892303467,8.059326171875,100.63524627685547,128.94921875
2,first_label_token,9,18,18,2600,1170,5.843966960906982,7.368505001068115,105.19142150878906,132.63308715820312
2,first_label_token,10,20,20,2600,1170,4.96681022644043,6.902837753295898,99.33621215820312,138.05674743652344
2,last_label_token,1,2,2,2600,1170,37.573360443115234,32.87607192993164,75.14672088623047,65.75214385986328
2,last_label_token,2,4,4,2600,1170,13.28107738494873,17.282068252563477,53.12430953979492,69.1282730102539
2,last_label_token,3,6,6,2600,1170,11.338391304016113,15.662580490112305,68.03034973144531,93.97547912597656
2,last_label_token,4,8,8,2600,1170,9.15740966796875,14.539480209350586,73.25927734375,116.31584167480469
2,last_label_token,5,10,10,2600,1170,7.608961582183838,12.172578811645508,76.089599609375,121.72578430175781
2,last_label_token,6,12,12,2600,1170,7.027237892150879,10.458904266357422,84.32685852050781,125.50686645507812
2,last_label_token,7,14,14,2600,1170,5.820517063140869,9.305378913879395,81.48725128173828,130.2753143310547
2,last_label_token,8,16,16,2600,1170,5.100282669067383,8.3590726852417,81.60452270507812,133.7451629638672
2,last_label_token,9,18,18,2600,1170,4.586855411529541,7.677331924438477,82.56340789794922,138.19198608398438
2,last_label_token,10,20,20,2600,1170,3.820903778076172,6.727046012878418,76.41807556152344,134.54092407226562
