task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.07418,0.11013,0.10196,0.07786,0.0,0.03656,0.04936,0.04361,0.03254,0.0,7.71075,10.97962,9.73079,7.27788,0.0,4.20411,5.14089,4.0528,2.82636
adjective_to_noun,train,0.0,0.08085,0.11249,0.11037,0.08909,0.0,0.044,0.06148,0.05959,0.04598,0.0,8.7852,11.965,11.40326,9.03378,0.0,5.31091,7.08715,6.53951,4.91161
ag_news,heldout,0.0,0.03952,0.08213,0.10386,0.07352,0.0,0.01894,0.03855,0.04194,0.02886,0.0,3.93464,7.88531,9.39561,5.79209,0.0,2.17516,4.04527,3.90544,1.82689
agent_noun_to_verb,train,0.0,0.09179,0.12768,0.12139,0.09365,0.0,0.04745,0.06436,0.05939,0.04301,0.0,9.77116,13.28845,12.13459,9.09533,0.0,5.53973,7.15398,6.09964,4.14971
animal_class,train,0.0,0.04529,0.08698,0.09083,0.0723,0.0,0.02077,0.03999,0.03901,0.02878,0.0,4.42639,8.31801,8.20908,6.20451,0.0,2.15836,3.91394,3.29523,2.02172
animal_plant_object,train,0.0,0.03492,0.06461,0.06565,0.0512,0.0,0.02063,0.03592,0.03513,0.0274,0.0,3.43713,6.10432,5.91533,4.44046,0.0,2.11108,3.37789,2.96556,2.09533
antonym,train,0.0,0.0347,0.06057,0.07231,0.07157,0.0,0.01949,0.0315,0.0326,0.02739,0.0,3.58428,6.07001,7.17266,7.116,0.0,2.11443,3.24697,3.31553,2.82433
article_choice,train,0.0,0.02366,0.03622,0.02957,0.01128,0.0,0.01712,0.02583,0.02562,0.02016,0.0,2.35259,3.41747,2.51994,0.64031,0.0,1.71354,2.37531,2.06811,1.41343
capitalize,train,0.0,0.07075,0.09524,0.08735,0.06549,0.0,0.04248,0.05265,0.04632,0.03711,0.0,7.34721,9.39289,8.09241,5.81597,0.0,4.75193,5.33505,4.09885,2.9885
capitalize_first_letter,train,0.0,0.03722,0.05338,0.04424,0.01737,0.0,0.0248,0.03658,0.03487,0.02533,0.0,3.81793,5.30201,4.12393,1.33699,0.0,2.64025,3.68908,3.20209,2.04916
city-country,train,0.0,0.04203,0.08537,0.09611,0.08238,0.0,0.01552,0.02783,0.02356,0.01469,0.0,3.94389,7.49219,7.85239,6.44038,0.0,1.48495,2.07546,1.0136,0.01493
compound_first,train,0.0,0.05651,0.08049,0.08243,0.07025,0.0,0.03359,0.04815,0.04919,0.04194,0.0,6.01256,8.35308,8.40964,7.10881,0.0,3.87945,5.29338,5.24906,4.41936
concrete_abstract,train,0.0,0.04022,0.06252,0.05808,0.0399,0.0,0.02593,0.03752,0.03364,0.02521,0.0,4.06986,5.96022,5.07788,3.14783,0.0,2.73669,3.52248,2.59261,1.53414
contains_letter_e,train,0.0,0.02489,0.03787,0.03186,0.02202,0.0,0.01676,0.02193,0.01639,0.01103,0.0,2.37986,3.33801,2.60457,1.66085,0.0,1.59759,1.79483,1.10098,0.58285
country-capital,train,0.0,0.05017,0.09397,0.0949,0.07535,0.0,0.0159,0.02736,0.024,0.01763,0.0,5.05546,9.03822,8.45671,6.38332,0.0,1.88088,2.77069,1.76408,0.89539
day_after_textual_date,train,0.0,0.04131,0.08588,0.06295,0.04266,0.0,0.03297,0.04796,0.02766,0.01429,0.0,3.98074,8.00277,5.64125,3.74468,0.0,3.58781,4.43738,1.87117,0.45936
ends_with_ing,heldout,0.0,0.02789,0.0423,0.03408,0.02249,0.0,0.0174,0.02234,0.01482,0.00828,0.0,2.65999,3.6867,2.6719,1.54964,0.0,1.6189,1.69531,0.73785,0.10304
english-french,heldout,0.0,0.04656,0.08404,0.10506,0.1079,0.0,0.02613,0.04353,0.04196,0.0344,0.0,4.9197,8.4938,10.19389,10.32272,0.0,3.05784,4.61861,4.04974,3.15654
english-italian,train,0.0,0.04053,0.07934,0.10835,0.11103,0.0,0.02217,0.03972,0.0422,0.03483,0.0,4.33878,8.03358,10.49563,10.53099,0.0,2.73977,4.27459,4.03535,3.05197
english-portuguese,train,0.0,0.04369,0.0832,0.10892,0.11149,0.0,0.02471,0.04341,0.04556,0.03771,0.0,4.70975,8.4654,10.54416,10.4971,0.0,2.99215,4.62153,4.28874,3.195
english-spanish,train,0.0,0.0471,0.08874,0.11074,0.11247,0.0,0.02638,0.04463,0.0424,0.03316,0.0,5.04495,9.0616,10.86871,10.85894,0.0,3.12485,4.80999,4.20677,3.12596
first_digit,heldout,0.0,0.03813,0.05929,0.06091,0.04074,0.0,0.02061,0.03079,0.03013,0.01917,0.0,3.56968,5.26628,5.17774,3.19131,0.0,1.97504,2.62442,2.29807,1.11324
first_three_letters,train,0.0,0.06454,0.10765,0.11651,0.10636,0.0,0.03553,0.05441,0.05451,0.04487,0.0,6.66762,10.98238,11.55731,10.18638,0.0,3.95465,5.8857,5.55865,4.19728
