alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.20194,0.29802,0.0,0.0,19.28323,28.429,0.0,0.0
0.0,heldout,0.22559,0.30176,0.0,0.0,21.54548,28.81718,0.0,0.0
0.0,all,0.20674,0.29878,0.0,0.0,19.74223,28.50776,0.0,0.0
0.5,train,0.25502,0.32772,0.05308,0.0297,24.66181,31.66153,5.37859,3.23254
0.5,heldout,0.28024,0.33304,0.05465,0.03127,27.16463,32.27293,5.61915,3.45575
0.5,all,0.26014,0.3288,0.0534,0.03002,25.16963,31.78559,5.4274,3.27783
1.0,train,0.28949,0.34191,0.08754,0.0439,27.78277,32.78585,8.49954,4.35685
1.0,heldout,0.31079,0.34694,0.0852,0.04518,29.98126,33.45389,8.43579,4.63671
1.0,all,0.29381,0.34294,0.08707,0.04416,28.22884,32.92139,8.48661,4.41364
2.0,train,0.29009,0.3381,0.08815,0.04008,27.4238,31.92387,8.14058,3.49488
2.0,heldout,0.31176,0.34328,0.08617,0.04151,29.70385,32.68557,8.15838,3.86839
2.0,all,0.29449,0.33915,0.08775,0.04037,27.88642,32.07842,8.14419,3.57066
4.0,train,0.26959,0.32722,0.06765,0.0292,25.2457,30.58198,5.96248,2.15299
4.0,heldout,0.29205,0.33162,0.06646,0.02985,27.59212,31.28664,6.04664,2.46945
4.0,all,0.27415,0.32811,0.06741,0.02933,25.72179,30.72495,5.97956,2.2172
