task,group,cos_to_grandmean,fv_norm,within_task_rho,presence_n0,presence_n1,presence_n2,presence_n3,presence_n4,presence_n5,presence_n6,acc_n0,acc_n1,acc_n2,acc_n3,acc_n4,acc_n5,acc_n6
adjective_to_adverb,train,0.6314,69.16,1.0000,0.1682,0.3030,0.3554,0.3630,0.3710,0.3774,0.3824,0.0000,0.1000,0.4000,0.5400,0.6333,0.6867,0.7400
adjective_to_noun,train,0.8117,60.09,0.9910,0.2032,0.3250,0.3615,0.3704,0.3772,0.3836,0.3892,0.0067,0.0933,0.1800,0.2400,0.2800,0.3600,0.3600
ag_news,heldout,0.4368,59.27,0.9910,0.0684,0.2967,0.3461,0.3622,0.3728,0.3790,0.3842,0.0000,0.2200,0.2400,0.2933,0.3267,0.3267,0.3533
agent_noun_to_verb,train,0.7831,61.86,1.0000,0.1746,0.3105,0.3457,0.3550,0.3649,0.3719,0.3772,0.0000,0.1800,0.2933,0.3867,0.4733,0.5533,0.6267
animal_class,train,0.6701,64.42,1.0000,0.1862,0.3368,0.3786,0.3959,0.4085,0.4156,0.4204,0.0067,0.2600,0.4200,0.5000,0.6467,0.7133,0.7267
animal_plant_object,train,0.6641,69.67,1.0000,0.1863,0.3172,0.3625,0.3925,0.4094,0.4187,0.4243,0.0000,0.0800,0.1733,0.2667,0.4267,0.4600,0.6133
antonym,train,0.6727,55.50,0.9910,0.2720,0.3606,0.3987,0.4103,0.4165,0.4202,0.4229,0.0267,0.0600,0.1667,0.2200,0.2467,0.3067,0.3067
article_choice,train,0.6684,64.01,0.9643,0.1871,0.2831,0.3400,0.3830,0.4100,0.4252,0.4354,0.0000,0.1000,0.2467,0.4200,0.4400,0.4333,0.5733
capitalize,train,0.7346,58.57,0.9643,0.1720,0.2867,0.3343,0.3444,0.3541,0.3605,0.3654,0.0000,0.1267,0.6533,0.7200,0.8333,0.8800,0.8467
capitalize_first_letter,train,0.6412,57.12,1.0000,0.1821,0.2920,0.3425,0.3597,0.3714,0.3803,0.3861,0.0000,0.0933,0.2867,0.3667,0.5467,0.5533,0.6133
city-country,train,0.5842,51.62,1.0000,0.1813,0.3201,0.3438,0.3511,0.3607,0.3667,0.3715,0.0067,0.4800,0.6267,0.6400,0.6533,0.7267,0.7333
compound_first,train,0.7872,62.59,1.0000,0.1789,0.3098,0.3455,0.3527,0.3632,0.3720,0.3797,0.0000,0.1600,0.2133,0.4133,0.4267,0.4667,0.5867
concrete_abstract,train,0.5698,81.30,0.9643,0.1936,0.2775,0.3100,0.3641,0.3873,0.4033,0.4105,0.0000,0.0467,0.1400,0.2733,0.4267,0.4133,0.5667
contains_letter_e,train,0.5980,73.28,0.8214,0.2658,0.3569,0.4077,0.4357,0.4524,0.4644,0.4734,0.0067,0.1733,0.3800,0.3133,0.5000,0.4800,0.4600
country-capital,train,0.4918,44.67,0.8214,0.1867,0.2930,0.3147,0.3247,0.3330,0.3386,0.3424,0.0000,0.5267,0.6000,0.7467,0.6733,0.7667,0.7400
day_after_textual_date,train,0.5245,66.15,0.9643,0.0204,0.2013,0.2562,0.2729,0.2852,0.2960,0.3036,0.0000,0.3933,0.7067,0.8600,0.7867,0.9067,0.9333
ends_with_ing,heldout,0.5878,73.53,0.8571,0.2552,0.3623,0.4140,0.4368,0.4512,0.4616,0.4686,0.0000,0.1800,0.4133,0.4533,0.4467,0.4267,0.4933
english-french,heldout,0.6578,46.65,0.9643,0.1566,0.2989,0.3360,0.3417,0.3454,0.3479,0.3498,0.0000,0.2400,0.4600,0.4933,0.5000,0.5467,0.5133
english-italian,train,0.6441,45.71,0.8929,0.1366,0.2716,0.3082,0.3132,0.3159,0.3187,0.3204,0.0000,0.1733,0.3800,0.4933,0.4467,0.4867,0.5267
english-portuguese,train,0.6705,45.41,1.0000,0.1603,0.2883,0.3123,0.3176,0.3207,0.3232,0.3251,0.0000,0.2667,0.4000,0.4800,0.5400,0.5467,0.5800
english-spanish,train,0.6725,45.15,0.8571,0.1789,0.3178,0.3448,0.3508,0.3533,0.3551,0.3564,0.0000,0.2267,0.4733,0.4067,0.5200,0.6067,0.5000
first_digit,heldout,0.6374,58.57,0.9643,0.1295,0.2557,0.3181,0.3418,0.3567,0.3672,0.3742,0.0000,0.1200,0.1533,0.3133,0.3800,0.4733,0.4600
first_three_letters,train,0.6371,59.93,0.9643,0.1474,0.2871,0.3323,0.3443,0.3519,0.3590,0.3633,0.0000,0.1000,0.2200,0.2333,0.2933,0.2733,0.3533
french-english,heldout,0.7947,55.56,0.9643,0.2749,0.3846,0.4083,0.4157,0.4212,0.4261,0.4292,0.0067,0.3733,0.4600,0.4933,0.5933,0.5667,0.6267
french_noun_gender,train,0.5792,80.09,0.6429,0.1545,0.3047,0.3709,0.3943,0.4037,0.4102,0.4145,0.0000,0.3667,0.5133,0.6067,0.6000,0.5867,0.5733
german-english,train,0.7795,55.01,1.0000,0.2454,0.3715,0.3996,0.4082,0.4126,0.4170,0.4199,0.0000,0.3133,0.4667,0.5667,0.5800,0.6333,0.7000
german_noun_gender,train,0.6244,61.85,0.9286,0.1337,0.2519,0.3102,0.3375,0.3553,0.3672,0.3750,0.0000,0.1133,0.2333,0.4133,0.4000,0.4733,0.4600
gerund_to_base,heldout,0.7835,64.29,1.0000,0.1582,0.2922,0.3450,0.3589,0.3700,0.3804,0.3878,0.0200,0.1800,0.4733,0.6067,0.6400,0.7400,0.7600
gerund_to_past,train,0.7273,66.16,0.9910,0.1602,0.3033,0.3543,0.3692,0.3778,0.3849,0.3894,0.0067,0.0867,0.3200,0.3733,0.4667,0.6267,0.6267
hypernym_category,train,0.6851,61.71,1.0000,0.2124,0.3477,0.3726,0.3872,0.3977,0.4069,0.4150,0.0000,0.0933,0.1133,0.1600,0.2467,0.2600,0.3800
initials_two_words,heldout,0.5773,63.10,0.9643,0.1379,0.2880,0.3511,0.3689,0.3837,0.3943,0.4030,0.0000,0.0333,0.3333,0.4800,0.5533,0.6400,0.6267
iso_date_to_month,train,0.6205,65.60,0.9643,0.0716,0.2316,0.2898,0.3121,0.3286,0.3390,0.3460,0.0000,0.3467,0.7333,0.8600,0.9267,0.9067,0.9733
iso_date_year_plus_one,train,0.5307,57.77,0.9643,0.0734,0.2296,0.2846,0.3055,0.3207,0.3312,0.3386,0.0000,0.1867,0.4867,0.7067,0.7867,0.8867,0.8800
landmark-country,train,0.5639,52.10,0.9643,0.1671,0.3110,0.3553,0.3673,0.3780,0.3830,0.3876,0.0000,0.1867,0.4133,0.4600,0.4400,0.4800,0.5067
language_identification,train,0.5464,76.91,1.0000,0.1731,0.2941,0.3859,0.4137,0.4272,0.4361,0.4408,0.0000,0.1533,0.5067,0.5733,0.6867,0.7067,0.7267
larger_of_pair,train,0.6233,54.06,0.9643,0.1561,0.2859,0.3210,0.3325,0.3420,0.3496,0.3555,0.0000,0.2933,0.3133,0.3600,0.4800,0.4733,0.5000
larger_than_1000,train,0.5545,68.91,0.8929,0.2114,0.3416,0.3825,0.4088,0.4267,0.4365,0.4433,0.0000,0.2133,0.3467,0.4667,0.5000,0.5333,0.4867
lowercase_first_letter,train,0.6161,57.13,0.9643,0.0975,0.2519,0.3061,0.3195,0.3287,0.3361,0.3415,0.0000,0.1867,0.4667,0.4200,0.5667,0.6133,0.6867
lowercase_word,train,0.7765,60.06,0.9643,0.0907,0.2401,0.2831,0.2997,0.3115,0.3199,0.3267,0.0000,0.5000,0.7533,0.9000,0.9067,0.9600,0.9467
national_parks,train,0.5162,51.23,0.9643,0.1219,0.2943,0.3182,0.3299,0.3371,0.3422,0.3466,0.0000,0.3133,0.4733,0.4600,0.5200,0.5267,0.5400
natural_manmade,train,0.5724,71.86,1.0000,0.1894,0.2926,0.3326,0.3651,0.3827,0.3933,0.3990,0.0000,0.0533,0.1800,0.2733,0.4667,0.5067,0.6667
next_item,train,0.6444,55.23,1.0000,0.2421,0.3217,0.3532,0.3639,0.3704,0.3755,0.3788,0.0267,0.1333,0.2667,0.3133,0.3533,0.4333,0.4533
next_month_of_date,train,0.5299,62.84,1.0000,0.1202,0.2930,0.3391,0.3572,0.3682,0.3763,0.3815,0.0000,0.1400,0.2667,0.4200,0.4800,0.5533,0.5800
next_number_digits,train,0.5119,56.76,0.9643,0.0986,0.2456,0.2841,0.3024,0.3137,0.3229,0.3288,0.0067,0.3667,0.6667,0.7800,0.7400,0.8600,0.9267
number_word_to_digits,train,0.5880,63.26,1.0000,0.1119,0.2835,0.3193,0.3340,0.3440,0.3500,0.3558,0.0000,0.4333,0.6200,0.6667,0.6733,0.7000,0.7600
park-country,train,0.5070,49.90,0.7857,0.1431,0.3140,0.3375,0.3473,0.3538,0.3573,0.3604,0.0000,0.3267,0.5000,0.4533,0.4600,0.4667,0.5133
past_to_base,heldout,0.7810,65.44,1.0000,0.1520,0.2869,0.3395,0.3534,0.3653,0.3741,0.3805,0.0000,0.1800,0.4667,0.5800,0.6200,0.6733,0.7200
person-instrument,train,0.5622,62.77,0.8829,0.1805,0.3546,0.3921,0.4021,0.4112,0.4167,0.4207,0.0000,0.0933,0.1200,0.2000,0.1933,0.1933,0.2267
person-sport,train,0.5918,62.00,0.9643,0.1382,0.2929,0.3484,0.3665,0.3768,0.3844,0.3885,0.0000,0.3267,0.5133,0.5467,0.5600,0.6733,0.6533
person_place_thing,heldout,0.6433,76.44,1.0000,0.2364,0.3445,0.3940,0.4211,0.4398,0.4519,0.4591,0.0000,0.0467,0.2267,0.3733,0.4800,0.5600,0.6600
plural_to_singular,train,0.7959,60.97,1.0000,0.1866,0.3096,0.3546,0.3672,0.3772,0.3852,0.3913,0.0067,0.2000,0.5267,0.5933,0.7067,0.7533,0.8333
pos_label,heldout,0.6396,69.39,1.0000,0.1724,0.3199,0.3851,0.4096,0.4235,0.4303,0.4340,0.0000,0.1400,0.3933,0.4600,0.4667,0.5867,0.6000
present-past,train,0.6967,70.38,1.0000,0.1772,0.3027,0.3654,0.3861,0.3975,0.4062,0.4112,0.0000,0.2067,0.5600,0.6933,0.7533,0.8333,0.8933
prev_number_digits,train,0.5308,63.61,1.0000,0.0887,0.2571,0.3097,0.3287,0.3399,0.3482,0.3549,0.0000,0.1667,0.4867,0.6400,0.7133,0.8200,0.8467
product-company,train,0.5162,51.19,0.9910,0.1726,0.3099,0.3446,0.3606,0.3712,0.3780,0.3820,0.0000,0.1267,0.2733,0.3800,0.4333,0.4600,0.4600
sentiment,train,0.5265,86.06,1.0000,0.1207,0.3164,0.3694,0.3876,0.3972,0.4036,0.4084,0.0000,0.2267,0.4600,0.5667,0.5933,0.6133,0.7267
singular-plural,train,0.6781,63.99,0.9643,0.1271,0.2700,0.3044,0.3140,0.3246,0.3331,0.3403,0.0000,0.3467,0.6933,0.7000,0.8533,0.8467,0.8867
singular_or_plural,train,0.6048,76.17,1.0000,0.1773,0.3215,0.3727,0.3984,0.4139,0.4243,0.4280,0.0000,0.2200,0.3267,0.5267,0.5800,0.5933,0.6533
smaller_of_pair,heldout,0.6138,55.31,0.9009,0.1637,0.2936,0.3280,0.3399,0.3492,0.3558,0.3627,0.0000,0.2467,0.3333,0.3200,0.4067,0.4333,0.4067
spanish-english,heldout,0.7943,55.99,0.9910,0.2646,0.3759,0.3985,0.4064,0.4126,0.4178,0.4214,0.0067,0.4133,0.5733,0.6267,0.6333,0.6400,0.6400
spanish_noun_gender,train,0.5660,82.38,0.9643,0.1553,0.3119,0.3745,0.3957,0.4037,0.4106,0.4152,0.0000,0.3333,0.5333,0.5400,0.5800,0.5733,0.6133
starts_with_vowel,train,0.5919,83.99,0.8571,0.2038,0.3307,0.4036,0.4315,0.4443,0.4530,0.4584,0.0000,0.1400,0.3200,0.4000,0.4800,0.4667,0.4333
third_person_to_base,train,0.7915,65.98,1.0000,0.1635,0.2881,0.3429,0.3586,0.3712,0.3805,0.3887,0.0067,0.2600,0.5200,0.6600,0.7400,0.8067,0.8600
titlecase_phrase,train,0.6053,63.22,0.9643,0.1066,0.2525,0.3099,0.3256,0.3346,0.3416,0.3474,0.0000,0.1600,0.5867,0.7800,0.8400,0.8867,0.8733
uppercase_word,heldout,0.6444,63.86,0.8571,0.0981,0.2444,0.3087,0.3217,0.3295,0.3358,0.3409,0.0000,0.2867,0.8733,0.8667,0.8600,0.9267,0.9600
us-city-state,train,0.5518,53.15,0.9286,0.1595,0.3075,0.3335,0.3451,0.3536,0.3595,0.3630,0.0000,0.4133,0.5933,0.5733,0.6467,0.7267,0.6867
